CE10	EGYDAYS_20050226.1158-CE1
CE11	EGYDAYS_20050226.1158-CE2
CE12	EGYDAYS_20050226.1158-CE3
CE13	EGYDAYS_20050226.1158-CE4
CE1	EGYDAYS_20050226.1158-CE5
CE2	EGYDAYS_20050226.1158-CE6
CE3	EGYDAYS_20050226.1158-CE7
CE5	EGYDAYS_20050226.1158-CE8
CE6	EGYDAYS_20050226.1158-CE9
CE7	EGYDAYS_20050226.1158-CE10
CE8	EGYDAYS_20050226.1158-CE11
CE9	EGYDAYS_20050226.1158-CE12
E12	EGYDAYS_20050226.1158-E1
E13	EGYDAYS_20050226.1158-E2
E14	EGYDAYS_20050226.1158-E3
E15	EGYDAYS_20050226.1158-E4
E1	EGYDAYS_20050226.1158-E5
E2	EGYDAYS_20050226.1158-E6
E3	EGYDAYS_20050226.1158-E7
E5	EGYDAYS_20050226.1158-E8
E7	EGYDAYS_20050226.1158-E9
E8	EGYDAYS_20050226.1158-E10
E9	EGYDAYS_20050226.1158-E11
E10	EGYDAYS_20050226.1158-E12
E11	EGYDAYS_20050226.1158-E13
EM1	EGYDAYS_20050226.1158-E5-1
EM22	EGYDAYS_20050226.1158-E6-2
EM23	EGYDAYS_20050226.1158-E6-3
EM24	EGYDAYS_20050226.1158-E6-4
EM25	EGYDAYS_20050226.1158-E1-5
EM26	EGYDAYS_20050226.1158-E1-6
EM27	EGYDAYS_20050226.1158-E5-7
EM28	EGYDAYS_20050226.1158-E1-8
EM29	EGYDAYS_20050226.1158-E1-9
EM30	EGYDAYS_20050226.1158-E2-10
EM33	EGYDAYS_20050226.1158-E6-11
EM34	EGYDAYS_20050226.1158-E11-12
EM35	EGYDAYS_20050226.1158-E6-13
EM36	EGYDAYS_20050226.1158-E6-14
EM37	EGYDAYS_20050226.1158-E6-15
EM38	EGYDAYS_20050226.1158-E3-16
EM39	EGYDAYS_20050226.1158-E4-17
EM2	EGYDAYS_20050226.1158-E5-18
EM3	EGYDAYS_20050226.1158-E6-19
EM4	EGYDAYS_20050226.1158-E5-20
EM5	EGYDAYS_20050226.1158-E6-21
EM6	EGYDAYS_20050226.1158-E7-22
EM40	EGYDAYS_20050226.1158-E5-23
EM8	EGYDAYS_20050226.1158-E6-24
EM31	EGYDAYS_20050226.1158-E5-25
EM10	EGYDAYS_20050226.1158-E8-26
EM11	EGYDAYS_20050226.1158-E5-27
EM12	EGYDAYS_20050226.1158-E9-28
EM13	EGYDAYS_20050226.1158-E6-29
EM14	EGYDAYS_20050226.1158-E6-30
EM15	EGYDAYS_20050226.1158-E10-31
EM16	EGYDAYS_20050226.1158-E11-32
EM18	EGYDAYS_20050226.1158-E6-33
EM19	EGYDAYS_20050226.1158-E10-34
EM20	EGYDAYS_20050226.1158-E13-35
EM21	EGYDAYS_20050226.1158-E12-36
R1	EGYDAYS_20050226.1158-R1
R2	EGYDAYS_20050226.1158-R2
RM1	EGYDAYS_20050226.1158-R1-1
RM2	EGYDAYS_20050226.1158-R2-1
V1	EGYDAYS_20050226.1158-EV1
VM1	EGYDAYS_20050226.1158-EV1-1
Q1	EGYDAYS_20050226.1158-T1
Q2	EGYDAYS_20050226.1158-T2
Q3	EGYDAYS_20050226.1158-T3
Q4	EGYDAYS_20050226.1158-T4
Q5	EGYDAYS_20050226.1158-T5
Q6	EGYDAYS_20050226.1158-T6
