CE6	AZZAMOH_20041220.0328-CE1
CE7	AZZAMOH_20041220.0328-CE2
CE8	AZZAMOH_20041220.0328-CE3
CE9	AZZAMOH_20041220.0328-CE4
CE10	AZZAMOH_20041220.0328-CE5
CE11	AZZAMOH_20041220.0328-CE6
CE12	AZZAMOH_20041220.0328-CE7
CE13	AZZAMOH_20041220.0328-CE8
CE14	AZZAMOH_20041220.0328-CE9
CE15	AZZAMOH_20041220.0328-CE10
CE16	AZZAMOH_20041220.0328-CE11
CE17	AZZAMOH_20041220.0328-CE12
CE18	AZZAMOH_20041220.0328-CE13
CE19	AZZAMOH_20041220.0328-CE14
CE20	AZZAMOH_20041220.0328-CE15
CE21	AZZAMOH_20041220.0328-CE16
CE22	AZZAMOH_20041220.0328-CE17
CE23	AZZAMOH_20041220.0328-CE18
CE24	AZZAMOH_20041220.0328-CE19
CE25	AZZAMOH_20041220.0328-CE20
CE26	AZZAMOH_20041220.0328-CE21
CE27	AZZAMOH_20041220.0328-CE22
CE1	AZZAMOH_20041220.0328-CE23
CE28	AZZAMOH_20041220.0328-CE24
CE29	AZZAMOH_20041220.0328-CE25
CE30	AZZAMOH_20041220.0328-CE26
CE31	AZZAMOH_20041220.0328-CE27
CE32	AZZAMOH_20041220.0328-CE28
CE33	AZZAMOH_20041220.0328-CE29
CE34	AZZAMOH_20041220.0328-CE30
CE35	AZZAMOH_20041220.0328-CE31
CE36	AZZAMOH_20041220.0328-CE32
CE37	AZZAMOH_20041220.0328-CE33
CE38	AZZAMOH_20041220.0328-CE34
CE39	AZZAMOH_20041220.0328-CE35
CE40	AZZAMOH_20041220.0328-CE36
CE41	AZZAMOH_20041220.0328-CE37
CE42	AZZAMOH_20041220.0328-CE38
CE43	AZZAMOH_20041220.0328-CE39
CE44	AZZAMOH_20041220.0328-CE40
CE45	AZZAMOH_20041220.0328-CE41
CE46	AZZAMOH_20041220.0328-CE42
CE47	AZZAMOH_20041220.0328-CE43
CE48	AZZAMOH_20041220.0328-CE44
CE49	AZZAMOH_20041220.0328-CE45
CE51	AZZAMOH_20041220.0328-CE46
CE52	AZZAMOH_20041220.0328-CE47
CE53	AZZAMOH_20041220.0328-CE48
CE54	AZZAMOH_20041220.0328-CE49
CE55	AZZAMOH_20041220.0328-CE50
CE56	AZZAMOH_20041220.0328-CE51
CE57	AZZAMOH_20041220.0328-CE52
CE76	AZZAMOH_20041220.0328-CE53
CE58	AZZAMOH_20041220.0328-CE54
CE59	AZZAMOH_20041220.0328-CE55
CE77	AZZAMOH_20041220.0328-CE56
CE61	AZZAMOH_20041220.0328-CE57
CE62	AZZAMOH_20041220.0328-CE58
CE63	AZZAMOH_20041220.0328-CE59
CE64	AZZAMOH_20041220.0328-CE60
CE78	AZZAMOH_20041220.0328-CE61
CE65	AZZAMOH_20041220.0328-CE62
CE66	AZZAMOH_20041220.0328-CE63
CE67	AZZAMOH_20041220.0328-CE64
CE68	AZZAMOH_20041220.0328-CE65
CE69	AZZAMOH_20041220.0328-CE66
CE70	AZZAMOH_20041220.0328-CE67
CE71	AZZAMOH_20041220.0328-CE68
CE2	AZZAMOH_20041220.0328-CE69
CE50	AZZAMOH_20041220.0328-CE70
CE3	AZZAMOH_20041220.0328-CE71
CE75	AZZAMOH_20041220.0328-CE72
E8	AZZAMOH_20041220.0328-E1
E9	AZZAMOH_20041220.0328-E2
E10	AZZAMOH_20041220.0328-E3
E11	AZZAMOH_20041220.0328-E4
E12	AZZAMOH_20041220.0328-E5
E13	AZZAMOH_20041220.0328-E6
E14	AZZAMOH_20041220.0328-E7
E15	AZZAMOH_20041220.0328-E8
E16	AZZAMOH_20041220.0328-E9
E17	AZZAMOH_20041220.0328-E10
E18	AZZAMOH_20041220.0328-E11
E19	AZZAMOH_20041220.0328-E12
E20	AZZAMOH_20041220.0328-E13
E21	AZZAMOH_20041220.0328-E14
E22	AZZAMOH_20041220.0328-E15
E23	AZZAMOH_20041220.0328-E16
E24	AZZAMOH_20041220.0328-E17
E25	AZZAMOH_20041220.0328-E18
E1	AZZAMOH_20041220.0328-E19
E26	AZZAMOH_20041220.0328-E20
E27	AZZAMOH_20041220.0328-E21
E28	AZZAMOH_20041220.0328-E22
E29	AZZAMOH_20041220.0328-E23
E30	AZZAMOH_20041220.0328-E24
E56	AZZAMOH_20041220.0328-E25
E31	AZZAMOH_20041220.0328-E26
E32	AZZAMOH_20041220.0328-E27
E33	AZZAMOH_20041220.0328-E28
E34	AZZAMOH_20041220.0328-E29
E35	AZZAMOH_20041220.0328-E30
E36	AZZAMOH_20041220.0328-E31
E37	AZZAMOH_20041220.0328-E32
E38	AZZAMOH_20041220.0328-E33
E55	AZZAMOH_20041220.0328-E34
E39	AZZAMOH_20041220.0328-E35
E40	AZZAMOH_20041220.0328-E36
E41	AZZAMOH_20041220.0328-E37
E42	AZZAMOH_20041220.0328-E38
E43	AZZAMOH_20041220.0328-E39
E44	AZZAMOH_20041220.0328-E40
E45	AZZAMOH_20041220.0328-E41
E46	AZZAMOH_20041220.0328-E42
E47	AZZAMOH_20041220.0328-E43
E48	AZZAMOH_20041220.0328-E44
E49	AZZAMOH_20041220.0328-E45
E50	AZZAMOH_20041220.0328-E46
E51	AZZAMOH_20041220.0328-E47
E52	AZZAMOH_20041220.0328-E48
E53	AZZAMOH_20041220.0328-E49
E54	AZZAMOH_20041220.0328-E50
E57	AZZAMOH_20041220.0328-E51
E58	AZZAMOH_20041220.0328-E52
E59	AZZAMOH_20041220.0328-E53
E60	AZZAMOH_20041220.0328-E54
E61	AZZAMOH_20041220.0328-E55
E86	AZZAMOH_20041220.0328-E56
E62	AZZAMOH_20041220.0328-E57
E63	AZZAMOH_20041220.0328-E58
E64	AZZAMOH_20041220.0328-E59
E65	AZZAMOH_20041220.0328-E60
E66	AZZAMOH_20041220.0328-E61
E68	AZZAMOH_20041220.0328-E62
E69	AZZAMOH_20041220.0328-E63
E87	AZZAMOH_20041220.0328-E64
E71	AZZAMOH_20041220.0328-E65
E72	AZZAMOH_20041220.0328-E66
E73	AZZAMOH_20041220.0328-E67
E74	AZZAMOH_20041220.0328-E68
E88	AZZAMOH_20041220.0328-E69
E75	AZZAMOH_20041220.0328-E70
E76	AZZAMOH_20041220.0328-E71
E77	AZZAMOH_20041220.0328-E72
E3	AZZAMOH_20041220.0328-E73
E78	AZZAMOH_20041220.0328-E74
E79	AZZAMOH_20041220.0328-E75
E80	AZZAMOH_20041220.0328-E76
E81	AZZAMOH_20041220.0328-E77
E4	AZZAMOH_20041220.0328-E78
E85	AZZAMOH_20041220.0328-E79
E5	AZZAMOH_20041220.0328-E80
EM26	AZZAMOH_20041220.0328-E1-1
EM27	AZZAMOH_20041220.0328-E2-2
EM28	AZZAMOH_20041220.0328-E2-3
EM29	AZZAMOH_20041220.0328-E3-4
EM30	AZZAMOH_20041220.0328-E19-5
EM31	AZZAMOH_20041220.0328-E4-6
EM32	AZZAMOH_20041220.0328-E5-7
EM33	AZZAMOH_20041220.0328-E6-8
EM34	AZZAMOH_20041220.0328-E7-9
EM35	AZZAMOH_20041220.0328-E1-10
EM36	AZZAMOH_20041220.0328-E19-11
EM37	AZZAMOH_20041220.0328-E8-12
EM38	AZZAMOH_20041220.0328-E1-13
EM39	AZZAMOH_20041220.0328-E9-14
EM40	AZZAMOH_20041220.0328-E10-15
EM41	AZZAMOH_20041220.0328-E11-16
EM42	AZZAMOH_20041220.0328-E19-17
EM43	AZZAMOH_20041220.0328-E78-18
EM44	AZZAMOH_20041220.0328-E78-19
EM317	AZZAMOH_20041220.0328-E79-20
EM45	AZZAMOH_20041220.0328-E78-21
EM46	AZZAMOH_20041220.0328-E78-22
EM47	AZZAMOH_20041220.0328-E12-23
EM48	AZZAMOH_20041220.0328-E12-24
EM49	AZZAMOH_20041220.0328-E12-25
EM50	AZZAMOH_20041220.0328-E13-26
EM51	AZZAMOH_20041220.0328-E14-27
EM52	AZZAMOH_20041220.0328-E14-28
EM53	AZZAMOH_20041220.0328-E14-29
EM54	AZZAMOH_20041220.0328-E15-30
EM55	AZZAMOH_20041220.0328-E78-31
EM56	AZZAMOH_20041220.0328-E14-32
EM57	AZZAMOH_20041220.0328-E14-33
EM58	AZZAMOH_20041220.0328-E14-34
EM59	AZZAMOH_20041220.0328-E16-35
EM60	AZZAMOH_20041220.0328-E78-36
EM61	AZZAMOH_20041220.0328-E78-37
EM62	AZZAMOH_20041220.0328-E17-38
EM63	AZZAMOH_20041220.0328-E17-39
EM64	AZZAMOH_20041220.0328-E78-40
EM65	AZZAMOH_20041220.0328-E78-41
EM66	AZZAMOH_20041220.0328-E18-42
EM67	AZZAMOH_20041220.0328-E78-43
EM68	AZZAMOH_20041220.0328-E78-44
EM70	AZZAMOH_20041220.0328-E17-45
EM71	AZZAMOH_20041220.0328-E78-46
EM72	AZZAMOH_20041220.0328-E78-47
EM73	AZZAMOH_20041220.0328-E14-48
EM74	AZZAMOH_20041220.0328-E14-49
EM75	AZZAMOH_20041220.0328-E14-50
EM76	AZZAMOH_20041220.0328-E13-51
EM77	AZZAMOH_20041220.0328-E13-52
EM78	AZZAMOH_20041220.0328-E14-53
EM79	AZZAMOH_20041220.0328-E14-54
EM80	AZZAMOH_20041220.0328-E14-55
EM81	AZZAMOH_20041220.0328-E14-56
EM82	AZZAMOH_20041220.0328-E21-57
EM83	AZZAMOH_20041220.0328-E14-58
EM84	AZZAMOH_20041220.0328-E14-59
EM85	AZZAMOH_20041220.0328-E22-60
EM86	AZZAMOH_20041220.0328-E23-61
EM87	AZZAMOH_20041220.0328-E14-62
EM88	AZZAMOH_20041220.0328-E24-63
EM89	AZZAMOH_20041220.0328-E14-64
EM91	AZZAMOH_20041220.0328-E78-65
EM92	AZZAMOH_20041220.0328-E78-66
EM93	AZZAMOH_20041220.0328-E78-67
EM95	AZZAMOH_20041220.0328-E19-68
EM96	AZZAMOH_20041220.0328-E26-69
EM97	AZZAMOH_20041220.0328-E27-70
EM98	AZZAMOH_20041220.0328-E28-71
EM99	AZZAMOH_20041220.0328-E28-72
EM100	AZZAMOH_20041220.0328-E78-73
EM101	AZZAMOH_20041220.0328-E78-74
EM102	AZZAMOH_20041220.0328-E78-75
EM103	AZZAMOH_20041220.0328-E78-76
EM104	AZZAMOH_20041220.0328-E78-77
EM105	AZZAMOH_20041220.0328-E78-78
EM106	AZZAMOH_20041220.0328-E78-79
EM107	AZZAMOH_20041220.0328-E78-80
EM108	AZZAMOH_20041220.0328-E29-81
EM109	AZZAMOH_20041220.0328-E30-82
EM110	AZZAMOH_20041220.0328-E31-83
EM111	AZZAMOH_20041220.0328-E32-84
EM112	AZZAMOH_20041220.0328-E32-85
EM113	AZZAMOH_20041220.0328-E32-86
EM114	AZZAMOH_20041220.0328-E32-87
EM115	AZZAMOH_20041220.0328-E33-88
EM116	AZZAMOH_20041220.0328-E35-89
EM117	AZZAMOH_20041220.0328-E36-90
EM118	AZZAMOH_20041220.0328-E37-91
EM119	AZZAMOH_20041220.0328-E14-92
EM120	AZZAMOH_20041220.0328-E14-93
EM121	AZZAMOH_20041220.0328-E14-94
EM122	AZZAMOH_20041220.0328-E10-95
EM123	AZZAMOH_20041220.0328-E14-96
EM124	AZZAMOH_20041220.0328-E14-97
EM125	AZZAMOH_20041220.0328-E14-98
EM126	AZZAMOH_20041220.0328-E14-99
EM127	AZZAMOH_20041220.0328-E38-100
EM128	AZZAMOH_20041220.0328-E14-101
EM129	AZZAMOH_20041220.0328-E14-102
EM130	AZZAMOH_20041220.0328-E14-103
EM131	AZZAMOH_20041220.0328-E14-104
EM132	AZZAMOH_20041220.0328-E13-105
EM133	AZZAMOH_20041220.0328-E78-106
EM134	AZZAMOH_20041220.0328-E78-107
EM135	AZZAMOH_20041220.0328-E78-108
EM136	AZZAMOH_20041220.0328-E13-109
EM137	AZZAMOH_20041220.0328-E39-110
EM138	AZZAMOH_20041220.0328-E39-111
EM139	AZZAMOH_20041220.0328-E40-112
EM140	AZZAMOH_20041220.0328-E40-113
EM2	AZZAMOH_20041220.0328-E19-114
EM215	AZZAMOH_20041220.0328-E34-115
EM142	AZZAMOH_20041220.0328-E40-116
EM143	AZZAMOH_20041220.0328-E40-117
EM144	AZZAMOH_20041220.0328-E40-118
EM145	AZZAMOH_20041220.0328-E40-119
EM146	AZZAMOH_20041220.0328-E40-120
EM147	AZZAMOH_20041220.0328-E40-121
EM148	AZZAMOH_20041220.0328-E40-122
EM149	AZZAMOH_20041220.0328-E40-123
EM150	AZZAMOH_20041220.0328-E40-124
EM151	AZZAMOH_20041220.0328-E40-125
EM152	AZZAMOH_20041220.0328-E40-126
EM153	AZZAMOH_20041220.0328-E40-127
EM154	AZZAMOH_20041220.0328-E40-128
EM156	AZZAMOH_20041220.0328-E10-129
EM157	AZZAMOH_20041220.0328-E10-130
EM158	AZZAMOH_20041220.0328-E10-131
EM159	AZZAMOH_20041220.0328-E41-132
EM160	AZZAMOH_20041220.0328-E10-133
EM161	AZZAMOH_20041220.0328-E10-134
EM162	AZZAMOH_20041220.0328-E10-135
EM163	AZZAMOH_20041220.0328-E78-136
EM164	AZZAMOH_20041220.0328-E78-137
EM165	AZZAMOH_20041220.0328-E42-138
