CE12	HADOUTA_20050221.1055-CE1
CE13	HADOUTA_20050221.1055-CE2
CE14	HADOUTA_20050221.1055-CE3
CE15	HADOUTA_20050221.1055-CE4
CE16	HADOUTA_20050221.1055-CE5
CE21	HADOUTA_20050221.1055-CE6
CE22	HADOUTA_20050221.1055-CE7
CE23	HADOUTA_20050221.1055-CE8
CE24	HADOUTA_20050221.1055-CE9
CE17	HADOUTA_20050221.1055-CE10
CE28	HADOUTA_20050221.1055-CE11
CE29	HADOUTA_20050221.1055-CE12
CE19	HADOUTA_20050221.1055-CE13
CE1	HADOUTA_20050221.1055-CE14
CE25	HADOUTA_20050221.1055-CE15
CE26	HADOUTA_20050221.1055-CE16
CE30	HADOUTA_20050221.1055-CE17
CE27	HADOUTA_20050221.1055-CE18
CE31	HADOUTA_20050221.1055-CE19
CE32	HADOUTA_20050221.1055-CE20
CE33	HADOUTA_20050221.1055-CE21
CE3	HADOUTA_20050221.1055-CE22
CE5	HADOUTA_20050221.1055-CE23
CE6	HADOUTA_20050221.1055-CE24
CE7	HADOUTA_20050221.1055-CE25
CE20	HADOUTA_20050221.1055-CE26
E13	HADOUTA_20050221.1055-E1
E14	HADOUTA_20050221.1055-E2
E15	HADOUTA_20050221.1055-E3
E16	HADOUTA_20050221.1055-E4
E17	HADOUTA_20050221.1055-E5
E18	HADOUTA_20050221.1055-E6
E26	HADOUTA_20050221.1055-E7
E27	HADOUTA_20050221.1055-E8
E28	HADOUTA_20050221.1055-E9
E29	HADOUTA_20050221.1055-E10
E1	HADOUTA_20050221.1055-E11
E20	HADOUTA_20050221.1055-E12
E33	HADOUTA_20050221.1055-E13
E23	HADOUTA_20050221.1055-E14
E34	HADOUTA_20050221.1055-E15
E35	HADOUTA_20050221.1055-E16
E24	HADOUTA_20050221.1055-E17
E30	HADOUTA_20050221.1055-E18
E31	HADOUTA_20050221.1055-E19
E32	HADOUTA_20050221.1055-E20
E36	HADOUTA_20050221.1055-E21
E37	HADOUTA_20050221.1055-E22
E38	HADOUTA_20050221.1055-E23
E40	HADOUTA_20050221.1055-E24
E3	HADOUTA_20050221.1055-E25
E5	HADOUTA_20050221.1055-E26
E6	HADOUTA_20050221.1055-E27
E8	HADOUTA_20050221.1055-E28
E25	HADOUTA_20050221.1055-E29
EM1	HADOUTA_20050221.1055-E11-1
EM110	HADOUTA_20050221.1055-E11-2
EM22	HADOUTA_20050221.1055-E27-3
EM23	HADOUTA_20050221.1055-E1-4
EM24	HADOUTA_20050221.1055-E27-5
EM25	HADOUTA_20050221.1055-E27-6
EM26	HADOUTA_20050221.1055-E27-7
EM27	HADOUTA_20050221.1055-E1-8
EM111	HADOUTA_20050221.1055-E27-9
EM29	HADOUTA_20050221.1055-E2-10
EM31	HADOUTA_20050221.1055-E3-11
EM32	HADOUTA_20050221.1055-E27-12
EM33	HADOUTA_20050221.1055-E27-13
EM112	HADOUTA_20050221.1055-E11-14
EM34	HADOUTA_20050221.1055-E2-15
EM35	HADOUTA_20050221.1055-E27-16
EM36	HADOUTA_20050221.1055-E11-17
EM37	HADOUTA_20050221.1055-E11-18
EM38	HADOUTA_20050221.1055-E25-19
EM39	HADOUTA_20050221.1055-E11-20
EM40	HADOUTA_20050221.1055-E4-21
EM41	HADOUTA_20050221.1055-E5-22
EM42	HADOUTA_20050221.1055-E11-23
EM43	HADOUTA_20050221.1055-E4-24
EM45	HADOUTA_20050221.1055-E6-25
EM46	HADOUTA_20050221.1055-E4-26
EM47	HADOUTA_20050221.1055-E11-27
EM48	HADOUTA_20050221.1055-E27-28
EM49	HADOUTA_20050221.1055-E4-29
EM50	HADOUTA_20050221.1055-E11-30
EM51	HADOUTA_20050221.1055-E27-31
EM52	HADOUTA_20050221.1055-E11-32
EM53	HADOUTA_20050221.1055-E11-33
EM113	HADOUTA_20050221.1055-E11-34
EM114	HADOUTA_20050221.1055-E11-35
EM115	HADOUTA_20050221.1055-E11-36
EM116	HADOUTA_20050221.1055-E7-37
EM117	HADOUTA_20050221.1055-E8-38
EM166	HADOUTA_20050221.1055-E11-39
EM119	HADOUTA_20050221.1055-E8-40
EM120	HADOUTA_20050221.1055-E9-41
EM121	HADOUTA_20050221.1055-E7-42
EM122	HADOUTA_20050221.1055-E10-43
EM69	HADOUTA_20050221.1055-E5-44
EM123	HADOUTA_20050221.1055-E10-45
EM71	HADOUTA_20050221.1055-E11-46
EM72	HADOUTA_20050221.1055-E11-47
EM73	HADOUTA_20050221.1055-E25-48
EM74	HADOUTA_20050221.1055-E5-49
EM75	HADOUTA_20050221.1055-E4-50
EM76	HADOUTA_20050221.1055-E11-51
EM77	HADOUTA_20050221.1055-E11-52
EM124	HADOUTA_20050221.1055-E10-53
EM167	HADOUTA_20050221.1055-E13-54
EM78	HADOUTA_20050221.1055-E12-55
EM125	HADOUTA_20050221.1055-E10-56
EM126	HADOUTA_20050221.1055-E10-57
EM80	HADOUTA_20050221.1055-E14-58
EM168	HADOUTA_20050221.1055-E15-59
EM169	HADOUTA_20050221.1055-E16-60
EM85	HADOUTA_20050221.1055-E11-61
EM86	HADOUTA_20050221.1055-E11-62
EM127	HADOUTA_20050221.1055-E10-63
EM89	HADOUTA_20050221.1055-E27-64
EM90	HADOUTA_20050221.1055-E11-65
EM91	HADOUTA_20050221.1055-E11-66
EM92	HADOUTA_20050221.1055-E11-67
EM93	HADOUTA_20050221.1055-E11-68
EM94	HADOUTA_20050221.1055-E27-69
EM95	HADOUTA_20050221.1055-E27-70
EM96	HADOUTA_20050221.1055-E17-71
EM97	HADOUTA_20050221.1055-E17-72
EM98	HADOUTA_20050221.1055-E11-73
EM99	HADOUTA_20050221.1055-E11-74
EM100	HADOUTA_20050221.1055-E11-75
EM128	HADOUTA_20050221.1055-E10-76
EM129	HADOUTA_20050221.1055-E18-77
EM130	HADOUTA_20050221.1055-E18-78
EM131	HADOUTA_20050221.1055-E10-79
EM132	HADOUTA_20050221.1055-E10-80
EM133	HADOUTA_20050221.1055-E27-81
EM134	HADOUTA_20050221.1055-E11-82
