CE10	ABDULEMAM_20041226.1648-CE1
CE11	ABDULEMAM_20041226.1648-CE2
CE12	ABDULEMAM_20041226.1648-CE3
CE13	ABDULEMAM_20041226.1648-CE4
CE14	ABDULEMAM_20041226.1648-CE5
CE15	ABDULEMAM_20041226.1648-CE6
CE16	ABDULEMAM_20041226.1648-CE7
CE17	ABDULEMAM_20041226.1648-CE8
CE18	ABDULEMAM_20041226.1648-CE9
CE19	ABDULEMAM_20041226.1648-CE10
CE21	ABDULEMAM_20041226.1648-CE11
CE22	ABDULEMAM_20041226.1648-CE12
CE23	ABDULEMAM_20041226.1648-CE13
CE24	ABDULEMAM_20041226.1648-CE14
CE25	ABDULEMAM_20041226.1648-CE15
CE1	ABDULEMAM_20041226.1648-CE16
CE26	ABDULEMAM_20041226.1648-CE17
CE27	ABDULEMAM_20041226.1648-CE18
CE28	ABDULEMAM_20041226.1648-CE19
CE29	ABDULEMAM_20041226.1648-CE20
CE30	ABDULEMAM_20041226.1648-CE21
CE35	ABDULEMAM_20041226.1648-CE22
CE31	ABDULEMAM_20041226.1648-CE23
CE32	ABDULEMAM_20041226.1648-CE24
CE33	ABDULEMAM_20041226.1648-CE25
CE34	ABDULEMAM_20041226.1648-CE26
CE2	ABDULEMAM_20041226.1648-CE27
CE3	ABDULEMAM_20041226.1648-CE28
CE4	ABDULEMAM_20041226.1648-CE29
CE5	ABDULEMAM_20041226.1648-CE30
CE6	ABDULEMAM_20041226.1648-CE31
CE7	ABDULEMAM_20041226.1648-CE32
CE8	ABDULEMAM_20041226.1648-CE33
CE9	ABDULEMAM_20041226.1648-CE34
E10	ABDULEMAM_20041226.1648-E1
E11	ABDULEMAM_20041226.1648-E2
E12	ABDULEMAM_20041226.1648-E3
E13	ABDULEMAM_20041226.1648-E4
E29	ABDULEMAM_20041226.1648-E5
E14	ABDULEMAM_20041226.1648-E6
E15	ABDULEMAM_20041226.1648-E7
E16	ABDULEMAM_20041226.1648-E8
E17	ABDULEMAM_20041226.1648-E9
E18	ABDULEMAM_20041226.1648-E10
E19	ABDULEMAM_20041226.1648-E11
E21	ABDULEMAM_20041226.1648-E12
E22	ABDULEMAM_20041226.1648-E13
E1	ABDULEMAM_20041226.1648-E14
E23	ABDULEMAM_20041226.1648-E15
E24	ABDULEMAM_20041226.1648-E16
E25	ABDULEMAM_20041226.1648-E17
E26	ABDULEMAM_20041226.1648-E18
E28	ABDULEMAM_20041226.1648-E19
E30	ABDULEMAM_20041226.1648-E20
E31	ABDULEMAM_20041226.1648-E21
E32	ABDULEMAM_20041226.1648-E22
E33	ABDULEMAM_20041226.1648-E23
E34	ABDULEMAM_20041226.1648-E24
E36	ABDULEMAM_20041226.1648-E25
E37	ABDULEMAM_20041226.1648-E26
E38	ABDULEMAM_20041226.1648-E27
E39	ABDULEMAM_20041226.1648-E28
E40	ABDULEMAM_20041226.1648-E29
E47	ABDULEMAM_20041226.1648-E30
E41	ABDULEMAM_20041226.1648-E31
E43	ABDULEMAM_20041226.1648-E32
E44	ABDULEMAM_20041226.1648-E33
E45	ABDULEMAM_20041226.1648-E34
E46	ABDULEMAM_20041226.1648-E35
E2	ABDULEMAM_20041226.1648-E36
E3	ABDULEMAM_20041226.1648-E37
E4	ABDULEMAM_20041226.1648-E38
E5	ABDULEMAM_20041226.1648-E39
E6	ABDULEMAM_20041226.1648-E40
E7	ABDULEMAM_20041226.1648-E41
E8	ABDULEMAM_20041226.1648-E42
E9	ABDULEMAM_20041226.1648-E43
EM1	ABDULEMAM_20041226.1648-E14-1
EM22	ABDULEMAM_20041226.1648-E2-2
EM23	ABDULEMAM_20041226.1648-E37-3
EM24	ABDULEMAM_20041226.1648-E3-4
EM25	ABDULEMAM_20041226.1648-E37-5
EM26	ABDULEMAM_20041226.1648-E41-6
