CE5	HADOUTA_20041227.1645-CE1
CE6	HADOUTA_20041227.1645-CE2
CE2	HADOUTA_20041227.1645-CE3
CE3	HADOUTA_20041227.1645-CE4
CE4	HADOUTA_20041227.1645-CE5
CE7	HADOUTA_20041227.1645-CE6
E5	HADOUTA_20041227.1645-E1
E6	HADOUTA_20041227.1645-E2
E2	HADOUTA_20041227.1645-E3
E3	HADOUTA_20041227.1645-E4
E4	HADOUTA_20041227.1645-E5
E7	HADOUTA_20041227.1645-E6
EM28	HADOUTA_20041227.1645-E1-1
EM29	HADOUTA_20041227.1645-E1-2
EM30	HADOUTA_20041227.1645-E1-3
EM31	HADOUTA_20041227.1645-E5-4
EM32	HADOUTA_20041227.1645-E5-5
EM33	HADOUTA_20041227.1645-E5-6
EM34	HADOUTA_20041227.1645-E5-7
EM35	HADOUTA_20041227.1645-E5-8
EM36	HADOUTA_20041227.1645-E5-9
EM37	HADOUTA_20041227.1645-E5-10
EM38	HADOUTA_20041227.1645-E5-11
EM39	HADOUTA_20041227.1645-E5-12
EM40	HADOUTA_20041227.1645-E5-13
EM41	HADOUTA_20041227.1645-E5-14
EM42	HADOUTA_20041227.1645-E5-15
EM43	HADOUTA_20041227.1645-E5-16
EM44	HADOUTA_20041227.1645-E3-17
EM45	HADOUTA_20041227.1645-E2-18
EM46	HADOUTA_20041227.1645-E2-19
EM47	HADOUTA_20041227.1645-E2-20
EM48	HADOUTA_20041227.1645-E2-21
EM49	HADOUTA_20041227.1645-E5-22
EM50	HADOUTA_20041227.1645-E5-23
EM51	HADOUTA_20041227.1645-E6-24
EM2	HADOUTA_20041227.1645-E3-25
EM3	HADOUTA_20041227.1645-E3-26
EM4	HADOUTA_20041227.1645-E4-27
EM5	HADOUTA_20041227.1645-E4-28
EM6	HADOUTA_20041227.1645-E4-29
EM7	HADOUTA_20041227.1645-E5-30
EM9	HADOUTA_20041227.1645-E5-31
EM14	HADOUTA_20041227.1645-E5-32
EM15	HADOUTA_20041227.1645-E5-33
EM16	HADOUTA_20041227.1645-E5-34
EM17	HADOUTA_20041227.1645-E3-35
EM18	HADOUTA_20041227.1645-E5-36
EM19	HADOUTA_20041227.1645-E5-37
EM20	HADOUTA_20041227.1645-E3-38
EM21	HADOUTA_20041227.1645-E5-39
EM22	HADOUTA_20041227.1645-E5-40
EM23	HADOUTA_20041227.1645-E5-41
EM24	HADOUTA_20041227.1645-E5-42
EM25	HADOUTA_20041227.1645-E5-43
EM26	HADOUTA_20041227.1645-E5-44
V3	HADOUTA_20041227.1645-EV1
VM3	HADOUTA_20041227.1645-EV1-1
Q1	HADOUTA_20041227.1645-T1
Q2	HADOUTA_20041227.1645-T2
