CE8	MELEGY_20050222.2126-CE1
CE9	MELEGY_20050222.2126-CE2
CE10	MELEGY_20050222.2126-CE3
CE11	MELEGY_20050222.2126-CE4
CE12	MELEGY_20050222.2126-CE5
CE14	MELEGY_20050222.2126-CE6
CE15	MELEGY_20050222.2126-CE7
CE1	MELEGY_20050222.2126-CE8
CE16	MELEGY_20050222.2126-CE9
CE2	MELEGY_20050222.2126-CE10
CE3	MELEGY_20050222.2126-CE11
CE4	MELEGY_20050222.2126-CE12
CE5	MELEGY_20050222.2126-CE13
CE6	MELEGY_20050222.2126-CE14
CE7	MELEGY_20050222.2126-CE15
E8	MELEGY_20050222.2126-E1
E9	MELEGY_20050222.2126-E2
E10	MELEGY_20050222.2126-E3
E11	MELEGY_20050222.2126-E4
E12	MELEGY_20050222.2126-E5
E13	MELEGY_20050222.2126-E6
E1	MELEGY_20050222.2126-E7
E15	MELEGY_20050222.2126-E8
E16	MELEGY_20050222.2126-E9
E17	MELEGY_20050222.2126-E10
E2	MELEGY_20050222.2126-E11
E3	MELEGY_20050222.2126-E12
E4	MELEGY_20050222.2126-E13
E5	MELEGY_20050222.2126-E14
E6	MELEGY_20050222.2126-E15
E7	MELEGY_20050222.2126-E16
EM1	MELEGY_20050222.2126-E7-1
EM24	MELEGY_20050222.2126-E11-2
EM25	MELEGY_20050222.2126-E7-3
EM26	MELEGY_20050222.2126-E7-4
EM27	MELEGY_20050222.2126-E7-5
EM28	MELEGY_20050222.2126-E7-6
EM29	MELEGY_20050222.2126-E11-7
EM30	MELEGY_20050222.2126-E7-8
EM31	MELEGY_20050222.2126-E2-9
EM32	MELEGY_20050222.2126-E1-10
EM33	MELEGY_20050222.2126-E11-11
EM34	MELEGY_20050222.2126-E7-12
EM35	MELEGY_20050222.2126-E7-13
EM36	MELEGY_20050222.2126-E11-14
EM38	MELEGY_20050222.2126-E7-15
EM39	MELEGY_20050222.2126-E7-16
EM40	MELEGY_20050222.2126-E7-17
EM41	MELEGY_20050222.2126-E11-18
EM42	MELEGY_20050222.2126-E11-19
EM74	MELEGY_20050222.2126-E5-20
EM16	MELEGY_20050222.2126-E7-21
EM43	MELEGY_20050222.2126-E7-22
EM44	MELEGY_20050222.2126-E7-23
EM45	MELEGY_20050222.2126-E11-24
EM46	MELEGY_20050222.2126-E7-25
EM47	MELEGY_20050222.2126-E3-26
EM75	MELEGY_20050222.2126-E7-27
EM50	MELEGY_20050222.2126-E4-28
EM51	MELEGY_20050222.2126-E7-29
EM52	MELEGY_20050222.2126-E7-30
EM53	MELEGY_20050222.2126-E3-31
EM54	MELEGY_20050222.2126-E11-32
EM55	MELEGY_20050222.2126-E11-33
EM56	MELEGY_20050222.2126-E7-34
EM57	MELEGY_20050222.2126-E11-35
EM58	MELEGY_20050222.2126-E11-36
EM59	MELEGY_20050222.2126-E7-37
EM60	MELEGY_20050222.2126-E7-38
EM61	MELEGY_20050222.2126-E11-39
EM62	MELEGY_20050222.2126-E11-40
EM63	MELEGY_20050222.2126-E11-41
EM64	MELEGY_20050222.2126-E11-42
EM65	MELEGY_20050222.2126-E11-43
EM66	MELEGY_20050222.2126-E7-44
EM67	MELEGY_20050222.2126-E7-45
EM68	MELEGY_20050222.2126-E5-46
EM69	MELEGY_20050222.2126-E6-47
EM76	MELEGY_20050222.2126-E11-48
EM77	MELEGY_20050222.2126-E11-49
EM79	MELEGY_20050222.2126-E11-50
EM80	MELEGY_20050222.2126-E7-51
EM81	MELEGY_20050222.2126-E11-52
EM82	MELEGY_20050222.2126-E5-53
EM83	MELEGY_20050222.2126-E16-54
EM86	MELEGY_20050222.2126-E8-55
EM87	MELEGY_20050222.2126-E5-56
EM88	MELEGY_20050222.2126-E7-57
EM89	MELEGY_20050222.2126-E7-58
EM90	MELEGY_20050222.2126-E11-59
EM91	MELEGY_20050222.2126-E7-60
EM92	MELEGY_20050222.2126-E7-61
EM93	MELEGY_20050222.2126-E11-62
EM94	MELEGY_20050222.2126-E7-63
EM95	MELEGY_20050222.2126-E11-64
EM96	MELEGY_20050222.2126-E7-65
EM97	MELEGY_20050222.2126-E16-66
EM98	MELEGY_20050222.2126-E7-67
EM99	MELEGY_20050222.2126-E11-68
EM100	MELEGY_20050222.2126-E11-69
EM101	MELEGY_20050222.2126-E11-70
EM102	MELEGY_20050222.2126-E7-71
EM103	MELEGY_20050222.2126-E11-72
EM104	MELEGY_20050222.2126-E7-73
EM105	MELEGY_20050222.2126-E7-74
EM106	MELEGY_20050222.2126-E5-75
EM107	MELEGY_20050222.2126-E5-76
EM109	MELEGY_20050222.2126-E9-77
EM110	MELEGY_20050222.2126-E7-78
EM111	MELEGY_20050222.2126-E9-79
EM112	MELEGY_20050222.2126-E9-80
EM114	MELEGY_20050222.2126-E7-81
EM115	MELEGY_20050222.2126-E7-82
EM116	MELEGY_20050222.2126-E7-83
EM117	MELEGY_20050222.2126-E9-84
EM119	MELEGY_20050222.2126-E7-85
EM120	MELEGY_20050222.2126-E9-86
EM121	MELEGY_20050222.2126-E7-87
EM123	MELEGY_20050222.2126-E9-88
EM124	MELEGY_20050222.2126-E7-89
EM125	MELEGY_20050222.2126-E10-90
EM126	MELEGY_20050222.2126-E9-91
EM127	MELEGY_20050222.2126-E7-92
EM128	MELEGY_20050222.2126-E11-93
EM129	MELEGY_20050222.2126-E7-94
EM130	MELEGY_20050222.2126-E11-95
EM131	MELEGY_20050222.2126-E11-96
EM132	MELEGY_20050222.2126-E9-97
EM133	MELEGY_20050222.2126-E7-98
EM134	MELEGY_20050222.2126-E7-99
EM135	MELEGY_20050222.2126-E7-100
EM136	MELEGY_20050222.2126-E7-101
EM137	MELEGY_20050222.2126-E7-102
EM138	MELEGY_20050222.2126-E7-103
EM139	MELEGY_20050222.2126-E7-104
EM140	MELEGY_20050222.2126-E9-105
EM2	MELEGY_20050222.2126-E7-106
EM141	MELEGY_20050222.2126-E7-107
EM142	MELEGY_20050222.2126-E7-108
EM143	MELEGY_20050222.2126-E9-109
EM144	MELEGY_20050222.2126-E7-110
EM145	MELEGY_20050222.2126-E7-111
EM146	MELEGY_20050222.2126-E7-112
EM147	MELEGY_20050222.2126-E7-113
EM3	MELEGY_20050222.2126-E7-114
EM4	MELEGY_20050222.2126-E7-115
EM5	MELEGY_20050222.2126-E7-116
EM6	MELEGY_20050222.2126-E11-117
EM7	MELEGY_20050222.2126-E7-118
EM148	MELEGY_20050222.2126-E4-119
EM9	MELEGY_20050222.2126-E7-120
EM10	MELEGY_20050222.2126-E7-121
EM11	MELEGY_20050222.2126-E7-122
EM12	MELEGY_20050222.2126-E7-123
EM13	MELEGY_20050222.2126-E7-124
EM14	MELEGY_20050222.2126-E11-125
EM15	MELEGY_20050222.2126-E11-126
EM72	MELEGY_20050222.2126-E11-127
EM73	MELEGY_20050222.2126-E11-128
EM17	MELEGY_20050222.2126-E7-129
EM18	MELEGY_20050222.2126-E12-130
EM19	MELEGY_20050222.2126-E13-131
EM20	MELEGY_20050222.2126-E14-132
EM21	MELEGY_20050222.2126-E15-133
EM22	MELEGY_20050222.2126-E16-134
EM23	MELEGY_20050222.2126-E7-135
V1	MELEGY_20050222.2126-EV1
V2	MELEGY_20050222.2126-EV2
V3	MELEGY_20050222.2126-EV3
V4	MELEGY_20050222.2126-EV4
V6	MELEGY_20050222.2126-EV5
V7	MELEGY_20050222.2126-EV6
V8	MELEGY_20050222.2126-EV7
VM1	MELEGY_20050222.2126-EV1-1
VM2	MELEGY_20050222.2126-EV2-1
VM3	MELEGY_20050222.2126-EV3-1
VM4	MELEGY_20050222.2126-EV4-1
VM6	MELEGY_20050222.2126-EV5-1
VM7	MELEGY_20050222.2126-EV6-1
VM8	MELEGY_20050222.2126-EV7-1
Q2	MELEGY_20050222.2126-T1
Q3	MELEGY_20050222.2126-T2
