CE11	fsh_29782_2-CE1
CE12	fsh_29782_2-CE2
CE13	fsh_29782_2-CE3
CE14	fsh_29782_2-CE4
CE15	fsh_29782_2-CE5
CE16	fsh_29782_2-CE6
CE17	fsh_29782_2-CE7
CE18	fsh_29782_2-CE8
CE19	fsh_29782_2-CE9
CE1	fsh_29782_2-CE10
CE20	fsh_29782_2-CE11
CE21	fsh_29782_2-CE12
CE22	fsh_29782_2-CE13
CE3	fsh_29782_2-CE14
CE23	fsh_29782_2-CE15
CE24	fsh_29782_2-CE16
CE25	fsh_29782_2-CE17
CE37	fsh_29782_2-CE18
CE38	fsh_29782_2-CE19
CE27	fsh_29782_2-CE20
CE28	fsh_29782_2-CE21
CE29	fsh_29782_2-CE22
CE30	fsh_29782_2-CE23
CE32	fsh_29782_2-CE24
CE33	fsh_29782_2-CE25
CE34	fsh_29782_2-CE26
CE35	fsh_29782_2-CE27
CE4	fsh_29782_2-CE28
CE36	fsh_29782_2-CE29
CE39	fsh_29782_2-CE30
CE26	fsh_29782_2-CE31
CE5	fsh_29782_2-CE32
CE31	fsh_29782_2-CE33
CE2	fsh_29782_2-CE34
CE6	fsh_29782_2-CE35
CE7	fsh_29782_2-CE36
CE8	fsh_29782_2-CE37
CE9	fsh_29782_2-CE38
CE10	fsh_29782_2-CE39
E11	fsh_29782_2-E1
E12	fsh_29782_2-E2
E13	fsh_29782_2-E3
E14	fsh_29782_2-E4
E15	fsh_29782_2-E5
E17	fsh_29782_2-E6
E18	fsh_29782_2-E7
E20	fsh_29782_2-E8
E21	fsh_29782_2-E9
E24	fsh_29782_2-E10
E25	fsh_29782_2-E11
E26	fsh_29782_2-E12
E27	fsh_29782_2-E13
E1	fsh_29782_2-E14
E34	fsh_29782_2-E15
E35	fsh_29782_2-E16
E38	fsh_29782_2-E17
E39	fsh_29782_2-E18
E70	fsh_29782_2-E19
E41	fsh_29782_2-E20
E71	fsh_29782_2-E21
E42	fsh_29782_2-E22
E44	fsh_29782_2-E23
E46	fsh_29782_2-E24
E49	fsh_29782_2-E25
E50	fsh_29782_2-E26
E51	fsh_29782_2-E27
E52	fsh_29782_2-E28
E57	fsh_29782_2-E29
E58	fsh_29782_2-E30
E59	fsh_29782_2-E31
E62	fsh_29782_2-E32
E2	fsh_29782_2-E33
E66	fsh_29782_2-E34
E67	fsh_29782_2-E35
E69	fsh_29782_2-E36
E74	fsh_29782_2-E37
E75	fsh_29782_2-E38
E3	fsh_29782_2-E39
E80	fsh_29782_2-E40
E86	fsh_29782_2-E41
E88	fsh_29782_2-E42
E90	fsh_29782_2-E43
E5	fsh_29782_2-E44
E6	fsh_29782_2-E45
E7	fsh_29782_2-E46
E8	fsh_29782_2-E47
E9	fsh_29782_2-E48
EM1	fsh_29782_2-E14-1
EM19	fsh_29782_2-E46-2
EM20	fsh_29782_2-E1-3
EM21	fsh_29782_2-E46-4
EM22	fsh_29782_2-E14-5
EM23	fsh_29782_2-E46-6
EM282	fsh_29782_2-E47-7
EM24	fsh_29782_2-E47-8
