CE14	CNNHL_ENG_20030526_221156.39-CE1
CE2	CNNHL_ENG_20030526_221156.39-CE2
CE18	CNNHL_ENG_20030526_221156.39-CE3
CE15	CNNHL_ENG_20030526_221156.39-CE4
CE16	CNNHL_ENG_20030526_221156.39-CE5
CE17	CNNHL_ENG_20030526_221156.39-CE6
CE19	CNNHL_ENG_20030526_221156.39-CE7
CE20	CNNHL_ENG_20030526_221156.39-CE8
CE22	CNNHL_ENG_20030526_221156.39-CE9
CE21	CNNHL_ENG_20030526_221156.39-CE10
CE1	CNNHL_ENG_20030526_221156.39-CE11
CE23	CNNHL_ENG_20030526_221156.39-CE12
CE24	CNNHL_ENG_20030526_221156.39-CE13
CE25	CNNHL_ENG_20030526_221156.39-CE14
CE26	CNNHL_ENG_20030526_221156.39-CE15
CE27	CNNHL_ENG_20030526_221156.39-CE16
CE4	CNNHL_ENG_20030526_221156.39-CE17
CE3	CNNHL_ENG_20030526_221156.39-CE18
CE5	CNNHL_ENG_20030526_221156.39-CE19
CE6	CNNHL_ENG_20030526_221156.39-CE20
CE7	CNNHL_ENG_20030526_221156.39-CE21
CE8	CNNHL_ENG_20030526_221156.39-CE22
CE10	CNNHL_ENG_20030526_221156.39-CE23
CE9	CNNHL_ENG_20030526_221156.39-CE24
CE11	CNNHL_ENG_20030526_221156.39-CE25
CE12	CNNHL_ENG_20030526_221156.39-CE26
CE13	CNNHL_ENG_20030526_221156.39-CE27
E11	CNNHL_ENG_20030526_221156.39-E1
E13	CNNHL_ENG_20030526_221156.39-E2
E23	CNNHL_ENG_20030526_221156.39-E3
E14	CNNHL_ENG_20030526_221156.39-E4
E15	CNNHL_ENG_20030526_221156.39-E5
E16	CNNHL_ENG_20030526_221156.39-E6
E17	CNNHL_ENG_20030526_221156.39-E7
E18	CNNHL_ENG_20030526_221156.39-E8
E24	CNNHL_ENG_20030526_221156.39-E9
E25	CNNHL_ENG_20030526_221156.39-E10
E27	CNNHL_ENG_20030526_221156.39-E11
E28	CNNHL_ENG_20030526_221156.39-E12
E38	CNNHL_ENG_20030526_221156.39-E13
E30	CNNHL_ENG_20030526_221156.39-E14
E1	CNNHL_ENG_20030526_221156.39-E15
E31	CNNHL_ENG_20030526_221156.39-E16
E32	CNNHL_ENG_20030526_221156.39-E17
E33	CNNHL_ENG_20030526_221156.39-E18
E34	CNNHL_ENG_20030526_221156.39-E19
E40	CNNHL_ENG_20030526_221156.39-E20
E2	CNNHL_ENG_20030526_221156.39-E21
E3	CNNHL_ENG_20030526_221156.39-E22
E4	CNNHL_ENG_20030526_221156.39-E23
E5	CNNHL_ENG_20030526_221156.39-E24
E6	CNNHL_ENG_20030526_221156.39-E25
E7	CNNHL_ENG_20030526_221156.39-E26
E8	CNNHL_ENG_20030526_221156.39-E27
E9	CNNHL_ENG_20030526_221156.39-E28
E10	CNNHL_ENG_20030526_221156.39-E29
EM1	CNNHL_ENG_20030526_221156.39-E15-1
EM19	CNNHL_ENG_20030526_221156.39-E22-2
EM20	CNNHL_ENG_20030526_221156.39-E2-3
EM21	CNNHL_ENG_20030526_221156.39-E25-4
EM22	CNNHL_ENG_20030526_221156.39-E25-5
EM23	CNNHL_ENG_20030526_221156.39-E29-6
EM24	CNNHL_ENG_20030526_221156.39-E22-7
EM25	CNNHL_ENG_20030526_221156.39-E22-8
EM26	CNNHL_ENG_20030526_221156.39-E24-9
EM27	CNNHL_ENG_20030526_221156.39-E24-10
EM29	CNNHL_ENG_20030526_221156.39-E4-11
EM28	CNNHL_ENG_20030526_221156.39-E22-12
EM30	CNNHL_ENG_20030526_221156.39-E5-13
EM31	CNNHL_ENG_20030526_221156.39-E24-14
EM32	CNNHL_ENG_20030526_221156.39-E6-15
EM33	CNNHL_ENG_20030526_221156.39-E7-16
EM34	CNNHL_ENG_20030526_221156.39-E24-17
EM35	CNNHL_ENG_20030526_221156.39-E8-18
EM38	CNNHL_ENG_20030526_221156.39-E23-19
EM44	CNNHL_ENG_20030526_221156.39-E9-20
EM39	CNNHL_ENG_20030526_221156.39-E23-21
EM40	CNNHL_ENG_20030526_221156.39-E24-22
EM45	CNNHL_ENG_20030526_221156.39-E10-23
EM46	CNNHL_ENG_20030526_221156.39-E23-24
EM47	CNNHL_ENG_20030526_221156.39-E29-25
EM48	CNNHL_ENG_20030526_221156.39-E25-26
EM36	CNNHL_ENG_20030526_221156.39-E13-27
EM50	CNNHL_ENG_20030526_221156.39-E22-28
EM51	CNNHL_ENG_20030526_221156.39-E21-29
EM49	CNNHL_ENG_20030526_221156.39-E25-30
EM54	CNNHL_ENG_20030526_221156.39-E11-31
EM52	CNNHL_ENG_20030526_221156.39-E12-32
EM53	CNNHL_ENG_20030526_221156.39-E12-33
EM55	CNNHL_ENG_20030526_221156.39-E22-34
EM56	CNNHL_ENG_20030526_221156.39-E29-35
EM57	CNNHL_ENG_20030526_221156.39-E25-36
EM58	CNNHL_ENG_20030526_221156.39-E23-37
EM59	CNNHL_ENG_20030526_221156.39-E23-38
EM62	CNNHL_ENG_20030526_221156.39-E23-39
EM63	CNNHL_ENG_20030526_221156.39-E14-40
EM64	CNNHL_ENG_20030526_221156.39-E14-41
EM61	CNNHL_ENG_20030526_221156.39-E6-42
EM65	CNNHL_ENG_20030526_221156.39-E16-43
EM66	CNNHL_ENG_20030526_221156.39-E23-44
EM68	CNNHL_ENG_20030526_221156.39-E23-45
EM67	CNNHL_ENG_20030526_221156.39-E17-46
EM69	CNNHL_ENG_20030526_221156.39-E23-47
EM70	CNNHL_ENG_20030526_221156.39-E16-48
EM71	CNNHL_ENG_20030526_221156.39-E18-49
EM72	CNNHL_ENG_20030526_221156.39-E23-50
EM73	CNNHL_ENG_20030526_221156.39-E23-51
EM74	CNNHL_ENG_20030526_221156.39-E16-52
EM75	CNNHL_ENG_20030526_221156.39-E19-53
EM76	CNNHL_ENG_20030526_221156.39-E22-54
EM77	CNNHL_ENG_20030526_221156.39-E21-55
EM78	CNNHL_ENG_20030526_221156.39-E21-56
EM79	CNNHL_ENG_20030526_221156.39-E25-57
EM80	CNNHL_ENG_20030526_221156.39-E19-58
EM81	CNNHL_ENG_20030526_221156.39-E19-59
EM82	CNNHL_ENG_20030526_221156.39-E22-60
EM85	CNNHL_ENG_20030526_221156.39-E6-61
EM86	CNNHL_ENG_20030526_221156.39-E6-62
EM88	CNNHL_ENG_20030526_221156.39-E6-63
EM89	CNNHL_ENG_20030526_221156.39-E6-64
EM83	CNNHL_ENG_20030526_221156.39-E19-65
EM41	CNNHL_ENG_20030526_221156.39-E23-66
EM84	CNNHL_ENG_20030526_221156.39-E19-67
EM87	CNNHL_ENG_20030526_221156.39-E19-68
EM90	CNNHL_ENG_20030526_221156.39-E19-69
EM60	CNNHL_ENG_20030526_221156.39-E9-70
EM2	CNNHL_ENG_20030526_221156.39-E21-71
EM37	CNNHL_ENG_20030526_221156.39-E20-72
EM3	CNNHL_ENG_20030526_221156.39-E22-73
EM4	CNNHL_ENG_20030526_221156.39-E21-74
EM42	CNNHL_ENG_20030526_221156.39-E23-75
EM5	CNNHL_ENG_20030526_221156.39-E23-76
EM6	CNNHL_ENG_20030526_221156.39-E24-77
EM7	CNNHL_ENG_20030526_221156.39-E21-78
EM8	CNNHL_ENG_20030526_221156.39-E22-79
EM9	CNNHL_ENG_20030526_221156.39-E25-80
EM43	CNNHL_ENG_20030526_221156.39-E3-81
EM10	CNNHL_ENG_20030526_221156.39-E26-82
EM11	CNNHL_ENG_20030526_221156.39-E22-83
EM12	CNNHL_ENG_20030526_221156.39-E25-84
EM13	CNNHL_ENG_20030526_221156.39-E27-85
EM14	CNNHL_ENG_20030526_221156.39-E28-86
EM15	CNNHL_ENG_20030526_221156.39-E27-87
EM16	CNNHL_ENG_20030526_221156.39-E25-88
EM17	CNNHL_ENG_20030526_221156.39-E29-89
EM18	CNNHL_ENG_20030526_221156.39-E1-90
R5	CNNHL_ENG_20030526_221156.39-R1
R6	CNNHL_ENG_20030526_221156.39-R2
R8	CNNHL_ENG_20030526_221156.39-R3
R1	CNNHL_ENG_20030526_221156.39-R4
R2	CNNHL_ENG_20030526_221156.39-R5
R3	CNNHL_ENG_20030526_221156.39-R6
R4	CNNHL_ENG_20030526_221156.39-R7
R7	CNNHL_ENG_20030526_221156.39-R8
R9	CNNHL_ENG_20030526_221156.39-R9
R10	CNNHL_ENG_20030526_221156.39-R10
R11	CNNHL_ENG_20030526_221156.39-R11
RM8	CNNHL_ENG_20030526_221156.39-R3-1
RM5	CNNHL_ENG_20030526_221156.39-R1-1
RM6	CNNHL_ENG_20030526_221156.39-R2-1
RM1	CNNHL_ENG_20030526_221156.39-R3-2
RM2	CNNHL_ENG_20030526_221156.39-R3-3
RM3	CNNHL_ENG_20030526_221156.39-R6-1
RM4	CNNHL_ENG_20030526_221156.39-R7-1
RM7	CNNHL_ENG_20030526_221156.39-R8-1
RM9	CNNHL_ENG_20030526_221156.39-R1-2
RM10	CNNHL_ENG_20030526_221156.39-R10-1
RM11	CNNHL_ENG_20030526_221156.39-R11-1
V1	CNNHL_ENG_20030526_221156.39-EV1
V2	CNNHL_ENG_20030526_221156.39-EV2
V3	CNNHL_ENG_20030526_221156.39-EV3
V4	CNNHL_ENG_20030526_221156.39-EV4
V5	CNNHL_ENG_20030526_221156.39-EV5
V6	CNNHL_ENG_20030526_221156.39-EV6
V7	CNNHL_ENG_20030526_221156.39-EV7
V8	CNNHL_ENG_20030526_221156.39-EV8
VM1	CNNHL_ENG_20030526_221156.39-EV1-1
VM2	CNNHL_ENG_20030526_221156.39-EV2-1
VM3	CNNHL_ENG_20030526_221156.39-EV3-1
VM4	CNNHL_ENG_20030526_221156.39-EV4-1
VM5	CNNHL_ENG_20030526_221156.39-EV5-1
VM6	CNNHL_ENG_20030526_221156.39-EV6-1
