CE9	CNNHL_ENG_20030411_230640.38-CE1
CE10	CNNHL_ENG_20030411_230640.38-CE2
CE11	CNNHL_ENG_20030411_230640.38-CE3
CE3	CNNHL_ENG_20030411_230640.38-CE4
CE4	CNNHL_ENG_20030411_230640.38-CE5
CE1	CNNHL_ENG_20030411_230640.38-CE6
CE5	CNNHL_ENG_20030411_230640.38-CE7
CE6	CNNHL_ENG_20030411_230640.38-CE8
CE2	CNNHL_ENG_20030411_230640.38-CE9
CE7	CNNHL_ENG_20030411_230640.38-CE10
CE8	CNNHL_ENG_20030411_230640.38-CE11
E13	CNNHL_ENG_20030411_230640.38-E1
E14	CNNHL_ENG_20030411_230640.38-E2
E15	CNNHL_ENG_20030411_230640.38-E3
E1	CNNHL_ENG_20030411_230640.38-E4
E3	CNNHL_ENG_20030411_230640.38-E5
E5	CNNHL_ENG_20030411_230640.38-E6
E6	CNNHL_ENG_20030411_230640.38-E7
E7	CNNHL_ENG_20030411_230640.38-E8
E8	CNNHL_ENG_20030411_230640.38-E9
E10	CNNHL_ENG_20030411_230640.38-E10
E11	CNNHL_ENG_20030411_230640.38-E11
E12	CNNHL_ENG_20030411_230640.38-E12
EM1	CNNHL_ENG_20030411_230640.38-E4-1
EM18	CNNHL_ENG_20030411_230640.38-E4-2
EM19	CNNHL_ENG_20030411_230640.38-E8-3
EM20	CNNHL_ENG_20030411_230640.38-E2-4
EM21	CNNHL_ENG_20030411_230640.38-E4-5
EM22	CNNHL_ENG_20030411_230640.38-E3-6
EM2	CNNHL_ENG_20030411_230640.38-E4-7
EM3	CNNHL_ENG_20030411_230640.38-E5-8
EM4	CNNHL_ENG_20030411_230640.38-E6-9
EM5	CNNHL_ENG_20030411_230640.38-E4-10
EM6	CNNHL_ENG_20030411_230640.38-E7-11
EM7	CNNHL_ENG_20030411_230640.38-E8-12
EM8	CNNHL_ENG_20030411_230640.38-E9-13
EM9	CNNHL_ENG_20030411_230640.38-E10-14
EM10	CNNHL_ENG_20030411_230640.38-E4-15
EM12	CNNHL_ENG_20030411_230640.38-E8-16
EM13	CNNHL_ENG_20030411_230640.38-E11-17
EM14	CNNHL_ENG_20030411_230640.38-E4-18
EM15	CNNHL_ENG_20030411_230640.38-E4-19
EM16	CNNHL_ENG_20030411_230640.38-E12-20
EM11	CNNHL_ENG_20030411_230640.38-E8-21
EM17	CNNHL_ENG_20030411_230640.38-E1-22
R1	CNNHL_ENG_20030411_230640.38-R1
R2	CNNHL_ENG_20030411_230640.38-R2
R3	CNNHL_ENG_20030411_230640.38-R3
R6	CNNHL_ENG_20030411_230640.38-R4
R5	CNNHL_ENG_20030411_230640.38-R5
RM1	CNNHL_ENG_20030411_230640.38-R1-1
RM2	CNNHL_ENG_20030411_230640.38-R2-1
RM3	CNNHL_ENG_20030411_230640.38-R3-1
RM6	CNNHL_ENG_20030411_230640.38-R4-1
RM5	CNNHL_ENG_20030411_230640.38-R5-1
V1	CNNHL_ENG_20030411_230640.38-EV1
V2	CNNHL_ENG_20030411_230640.38-EV2
V3	CNNHL_ENG_20030411_230640.38-EV3
VM1	CNNHL_ENG_20030411_230640.38-EV1-1
VM2	CNNHL_ENG_20030411_230640.38-EV2-1
VM3	CNNHL_ENG_20030411_230640.38-EV3-1
Q1	CNNHL_ENG_20030411_230640.38-T1
Q2	CNNHL_ENG_20030411_230640.38-T2
Q3	CNNHL_ENG_20030411_230640.38-T3
Q4	CNNHL_ENG_20030411_230640.38-T4
Q5	CNNHL_ENG_20030411_230640.38-V1
QM5	CNNHL_ENG_20030411_230640.38-V1-1
