CE1	CNN_ENG_20030618_150128.5-CE1
CE2	CNN_ENG_20030618_150128.5-CE2
CE3	CNN_ENG_20030618_150128.5-CE3
CE4	CNN_ENG_20030618_150128.5-CE4
CE5	CNN_ENG_20030618_150128.5-CE5
E1	CNN_ENG_20030618_150128.5-E1
E2	CNN_ENG_20030618_150128.5-E2
E3	CNN_ENG_20030618_150128.5-E3
E4	CNN_ENG_20030618_150128.5-E4
E5	CNN_ENG_20030618_150128.5-E5
E6	CNN_ENG_20030618_150128.5-E6
E7	CNN_ENG_20030618_150128.5-E7
E8	CNN_ENG_20030618_150128.5-E8
EM1	CNN_ENG_20030618_150128.5-E1-1
EM2	CNN_ENG_20030618_150128.5-E1-2
EM3	CNN_ENG_20030618_150128.5-E2-3
EM5	CNN_ENG_20030618_150128.5-E3-4
EM6	CNN_ENG_20030618_150128.5-E4-5
EM4	CNN_ENG_20030618_150128.5-E5-6
EM7	CNN_ENG_20030618_150128.5-E6-7
EM8	CNN_ENG_20030618_150128.5-E7-8
EM9	CNN_ENG_20030618_150128.5-E1-9
EM10	CNN_ENG_20030618_150128.5-E1-10
EM11	CNN_ENG_20030618_150128.5-E1-11
EM12	CNN_ENG_20030618_150128.5-E8-12
R3	CNN_ENG_20030618_150128.5-R1
R1	CNN_ENG_20030618_150128.5-R2
R2	CNN_ENG_20030618_150128.5-R3
RM1	CNN_ENG_20030618_150128.5-R2-1
RM2	CNN_ENG_20030618_150128.5-R3-1
RM3	CNN_ENG_20030618_150128.5-R1-1
V1	CNN_ENG_20030618_150128.5-EV1
V2	CNN_ENG_20030618_150128.5-EV2
V4	CNN_ENG_20030618_150128.5-EV3
V3	CNN_ENG_20030618_150128.5-EV4
VM1	CNN_ENG_20030618_150128.5-EV1-1
VM2	CNN_ENG_20030618_150128.5-EV2-1
VM3	CNN_ENG_20030618_150128.5-EV4-1
VM4	CNN_ENG_20030618_150128.5-EV3-1
Q6	CNN_ENG_20030618_150128.5-V1
Q1	CNN_ENG_20030618_150128.5-T1
Q2	CNN_ENG_20030618_150128.5-V2
Q3	CNN_ENG_20030618_150128.5-T2
Q4	CNN_ENG_20030618_150128.5-V3
Q5	CNN_ENG_20030618_150128.5-T3
QM6	CNN_ENG_20030618_150128.5-V1-1
QM2	CNN_ENG_20030618_150128.5-V2-1
QM4	CNN_ENG_20030618_150128.5-V3-1
