CE1	GLOVEBX_20041219.0748-CE1
CE2	GLOVEBX_20041219.0748-CE2
CE3	GLOVEBX_20041219.0748-CE3
CE4	GLOVEBX_20041219.0748-CE4
CE5	GLOVEBX_20041219.0748-CE5
CE6	GLOVEBX_20041219.0748-CE6
CE9	GLOVEBX_20041219.0748-CE7
E1	GLOVEBX_20041219.0748-E1
E2	GLOVEBX_20041219.0748-E2
E3	GLOVEBX_20041219.0748-E3
E4	GLOVEBX_20041219.0748-E4
E5	GLOVEBX_20041219.0748-E5
E6	GLOVEBX_20041219.0748-E6
E7	GLOVEBX_20041219.0748-E7
E10	GLOVEBX_20041219.0748-E8
EM1	GLOVEBX_20041219.0748-E1-1
EM12	GLOVEBX_20041219.0748-E8-2
EM22	GLOVEBX_20041219.0748-E4-3
EM2	GLOVEBX_20041219.0748-E1-4
EM3	GLOVEBX_20041219.0748-E1-5
EM4	GLOVEBX_20041219.0748-E2-6
EM5	GLOVEBX_20041219.0748-E3-7
EM6	GLOVEBX_20041219.0748-E4-8
EM7	GLOVEBX_20041219.0748-E4-9
EM8	GLOVEBX_20041219.0748-E5-10
EM9	GLOVEBX_20041219.0748-E6-11
EM10	GLOVEBX_20041219.0748-E4-12
EM11	GLOVEBX_20041219.0748-E7-13
EM13	GLOVEBX_20041219.0748-E3-14
EM14	GLOVEBX_20041219.0748-E3-15
EM15	GLOVEBX_20041219.0748-E4-16
EM17	GLOVEBX_20041219.0748-E3-17
EM19	GLOVEBX_20041219.0748-E8-18
EM20	GLOVEBX_20041219.0748-E1-19
EM21	GLOVEBX_20041219.0748-E8-20
R1	GLOVEBX_20041219.0748-R1
R2	GLOVEBX_20041219.0748-R2
RM1	GLOVEBX_20041219.0748-R1-1
RM2	GLOVEBX_20041219.0748-R2-1
V1	GLOVEBX_20041219.0748-EV1
VM1	GLOVEBX_20041219.0748-EV1-1
Q1	GLOVEBX_20041219.0748-T1
Q2	GLOVEBX_20041219.0748-T2
