CE11	LIUYIFENG_20050124.1822-CE1
CE1	LIUYIFENG_20050124.1822-CE2
CE2	LIUYIFENG_20050124.1822-CE3
CE3	LIUYIFENG_20050124.1822-CE4
CE4	LIUYIFENG_20050124.1822-CE5
CE5	LIUYIFENG_20050124.1822-CE6
CE6	LIUYIFENG_20050124.1822-CE7
CE7	LIUYIFENG_20050124.1822-CE8
CE8	LIUYIFENG_20050124.1822-CE9
CE9	LIUYIFENG_20050124.1822-CE10
CE10	LIUYIFENG_20050124.1822-CE11
E11	LIUYIFENG_20050124.1822-E1
E1	LIUYIFENG_20050124.1822-E2
E2	LIUYIFENG_20050124.1822-E3
E3	LIUYIFENG_20050124.1822-E4
E4	LIUYIFENG_20050124.1822-E5
E5	LIUYIFENG_20050124.1822-E6
E6	LIUYIFENG_20050124.1822-E7
E7	LIUYIFENG_20050124.1822-E8
E8	LIUYIFENG_20050124.1822-E9
E9	LIUYIFENG_20050124.1822-E10
E10	LIUYIFENG_20050124.1822-E11
EM1	LIUYIFENG_20050124.1822-E2-1
EM21	LIUYIFENG_20050124.1822-E5-2
EM22	LIUYIFENG_20050124.1822-E1-3
EM2	LIUYIFENG_20050124.1822-E3-4
EM3	LIUYIFENG_20050124.1822-E4-5
EM4	LIUYIFENG_20050124.1822-E5-6
EM5	LIUYIFENG_20050124.1822-E6-7
EM6	LIUYIFENG_20050124.1822-E7-8
EM7	LIUYIFENG_20050124.1822-E8-9
EM8	LIUYIFENG_20050124.1822-E4-10
EM9	LIUYIFENG_20050124.1822-E5-11
EM10	LIUYIFENG_20050124.1822-E3-12
EM11	LIUYIFENG_20050124.1822-E4-13
EM12	LIUYIFENG_20050124.1822-E9-14
EM13	LIUYIFENG_20050124.1822-E3-15
EM14	LIUYIFENG_20050124.1822-E7-16
EM15	LIUYIFENG_20050124.1822-E2-17
EM16	LIUYIFENG_20050124.1822-E10-18
EM17	LIUYIFENG_20050124.1822-E4-19
EM18	LIUYIFENG_20050124.1822-E5-20
EM19	LIUYIFENG_20050124.1822-E11-21
EM20	LIUYIFENG_20050124.1822-E4-22
V1	LIUYIFENG_20050124.1822-EV1
VM1	LIUYIFENG_20050124.1822-EV1-1
VM2	LIUYIFENG_20050124.1822-EV1-2
VM3	LIUYIFENG_20050124.1822-EV1-3
VM4	LIUYIFENG_20050124.1822-EV1-4
Q1	LIUYIFENG_20050124.1822-T1
Q3	LIUYIFENG_20050124.1822-T2
Q4	LIUYIFENG_20050124.1822-T3
Q5	LIUYIFENG_20050124.1822-T4
Q6	LIUYIFENG_20050124.1822-T5
