CE11	GLOVEBX_20041212.0456-CE1
CE12	GLOVEBX_20041212.0456-CE2
CE13	GLOVEBX_20041212.0456-CE3
CE15	GLOVEBX_20041212.0456-CE4
CE16	GLOVEBX_20041212.0456-CE5
CE17	GLOVEBX_20041212.0456-CE6
CE18	GLOVEBX_20041212.0456-CE7
CE19	GLOVEBX_20041212.0456-CE8
CE20	GLOVEBX_20041212.0456-CE9
CE21	GLOVEBX_20041212.0456-CE10
CE1	GLOVEBX_20041212.0456-CE11
CE2	GLOVEBX_20041212.0456-CE12
CE3	GLOVEBX_20041212.0456-CE13
CE4	GLOVEBX_20041212.0456-CE14
CE5	GLOVEBX_20041212.0456-CE15
CE6	GLOVEBX_20041212.0456-CE16
CE7	GLOVEBX_20041212.0456-CE17
CE8	GLOVEBX_20041212.0456-CE18
CE9	GLOVEBX_20041212.0456-CE19
CE10	GLOVEBX_20041212.0456-CE20
E12	GLOVEBX_20041212.0456-E1
E13	GLOVEBX_20041212.0456-E2
E14	GLOVEBX_20041212.0456-E3
E15	GLOVEBX_20041212.0456-E4
E19	GLOVEBX_20041212.0456-E5
E20	GLOVEBX_20041212.0456-E6
E21	GLOVEBX_20041212.0456-E7
E23	GLOVEBX_20041212.0456-E8
E24	GLOVEBX_20041212.0456-E9
E25	GLOVEBX_20041212.0456-E10
E26	GLOVEBX_20041212.0456-E11
E28	GLOVEBX_20041212.0456-E12
E29	GLOVEBX_20041212.0456-E13
E1	GLOVEBX_20041212.0456-E14
E30	GLOVEBX_20041212.0456-E15
E2	GLOVEBX_20041212.0456-E16
E3	GLOVEBX_20041212.0456-E17
E4	GLOVEBX_20041212.0456-E18
E5	GLOVEBX_20041212.0456-E19
E6	GLOVEBX_20041212.0456-E20
E7	GLOVEBX_20041212.0456-E21
E8	GLOVEBX_20041212.0456-E22
E9	GLOVEBX_20041212.0456-E23
E10	GLOVEBX_20041212.0456-E24
E11	GLOVEBX_20041212.0456-E25
EM1	GLOVEBX_20041212.0456-E14-1
EM20	GLOVEBX_20041212.0456-E2-2
EM21	GLOVEBX_20041212.0456-E3-3
EM22	GLOVEBX_20041212.0456-E14-4
EM23	GLOVEBX_20041212.0456-E23-5
EM24	GLOVEBX_20041212.0456-E4-6
EM25	GLOVEBX_20041212.0456-E23-7
EM26	GLOVEBX_20041212.0456-E1-8
EM27	GLOVEBX_20041212.0456-E4-9
EM28	GLOVEBX_20041212.0456-E1-10
EM29	GLOVEBX_20041212.0456-E5-11
EM30	GLOVEBX_20041212.0456-E1-12
EM31	GLOVEBX_20041212.0456-E23-13
EM32	GLOVEBX_20041212.0456-E1-14
EM33	GLOVEBX_20041212.0456-E6-15
EM34	GLOVEBX_20041212.0456-E7-16
EM35	GLOVEBX_20041212.0456-E8-17
EM36	GLOVEBX_20041212.0456-E10-18
EM37	GLOVEBX_20041212.0456-E9-19
EM38	GLOVEBX_20041212.0456-E11-20
EM39	GLOVEBX_20041212.0456-E12-21
EM40	GLOVEBX_20041212.0456-E23-22
EM41	GLOVEBX_20041212.0456-E13-23
EM42	GLOVEBX_20041212.0456-E13-24
EM43	GLOVEBX_20041212.0456-E23-25
EM44	GLOVEBX_20041212.0456-E15-26
EM2	GLOVEBX_20041212.0456-E16-27
EM3	GLOVEBX_20041212.0456-E17-28
EM4	GLOVEBX_20041212.0456-E18-29
EM5	GLOVEBX_20041212.0456-E19-30
