CE10	LIUYIFENG_20050126.0847-CE1
CE11	LIUYIFENG_20050126.0847-CE2
CE13	LIUYIFENG_20050126.0847-CE3
CE14	LIUYIFENG_20050126.0847-CE4
CE15	LIUYIFENG_20050126.0847-CE5
CE16	LIUYIFENG_20050126.0847-CE6
CE17	LIUYIFENG_20050126.0847-CE7
CE18	LIUYIFENG_20050126.0847-CE8
CE19	LIUYIFENG_20050126.0847-CE9
CE20	LIUYIFENG_20050126.0847-CE10
CE21	LIUYIFENG_20050126.0847-CE11
CE1	LIUYIFENG_20050126.0847-CE12
CE3	LIUYIFENG_20050126.0847-CE13
CE4	LIUYIFENG_20050126.0847-CE14
CE5	LIUYIFENG_20050126.0847-CE15
CE6	LIUYIFENG_20050126.0847-CE16
CE8	LIUYIFENG_20050126.0847-CE17
CE9	LIUYIFENG_20050126.0847-CE18
E13	LIUYIFENG_20050126.0847-E1
E14	LIUYIFENG_20050126.0847-E2
E16	LIUYIFENG_20050126.0847-E3
E17	LIUYIFENG_20050126.0847-E4
E18	LIUYIFENG_20050126.0847-E5
E19	LIUYIFENG_20050126.0847-E6
E20	LIUYIFENG_20050126.0847-E7
E21	LIUYIFENG_20050126.0847-E8
E22	LIUYIFENG_20050126.0847-E9
E23	LIUYIFENG_20050126.0847-E10
E24	LIUYIFENG_20050126.0847-E11
E25	LIUYIFENG_20050126.0847-E12
E1	LIUYIFENG_20050126.0847-E13
E3	LIUYIFENG_20050126.0847-E14
E4	LIUYIFENG_20050126.0847-E15
E5	LIUYIFENG_20050126.0847-E16
E6	LIUYIFENG_20050126.0847-E17
E9	LIUYIFENG_20050126.0847-E18
E10	LIUYIFENG_20050126.0847-E19
E11	LIUYIFENG_20050126.0847-E20
E12	LIUYIFENG_20050126.0847-E21
EM1	LIUYIFENG_20050126.0847-E13-1
EM21	LIUYIFENG_20050126.0847-E2-2
EM22	LIUYIFENG_20050126.0847-E2-3
EM23	LIUYIFENG_20050126.0847-E21-4
EM24	LIUYIFENG_20050126.0847-E16-5
EM25	LIUYIFENG_20050126.0847-E13-6
EM27	LIUYIFENG_20050126.0847-E16-7
EM28	LIUYIFENG_20050126.0847-E13-8
EM31	LIUYIFENG_20050126.0847-E3-9
EM32	LIUYIFENG_20050126.0847-E3-10
EM33	LIUYIFENG_20050126.0847-E3-11
EM34	LIUYIFENG_20050126.0847-E4-12
EM35	LIUYIFENG_20050126.0847-E5-13
EM36	LIUYIFENG_20050126.0847-E5-14
EM37	LIUYIFENG_20050126.0847-E6-15
EM38	LIUYIFENG_20050126.0847-E7-16
EM39	LIUYIFENG_20050126.0847-E17-17
EM40	LIUYIFENG_20050126.0847-E8-18
EM41	LIUYIFENG_20050126.0847-E17-19
EM42	LIUYIFENG_20050126.0847-E9-20
EM43	LIUYIFENG_20050126.0847-E10-21
EM44	LIUYIFENG_20050126.0847-E3-22
EM45	LIUYIFENG_20050126.0847-E7-23
EM46	LIUYIFENG_20050126.0847-E9-24
EM48	LIUYIFENG_20050126.0847-E11-25
EM49	LIUYIFENG_20050126.0847-E12-26
EM50	LIUYIFENG_20050126.0847-E14-27
EM2	LIUYIFENG_20050126.0847-E13-28
EM3	LIUYIFENG_20050126.0847-E14-29
EM4	LIUYIFENG_20050126.0847-E15-30
EM5	LIUYIFENG_20050126.0847-E16-31
EM6	LIUYIFENG_20050126.0847-E17-32
EM7	LIUYIFENG_20050126.0847-E17-33
EM8	LIUYIFENG_20050126.0847-E13-34
EM10	LIUYIFENG_20050126.0847-E13-35
EM11	LIUYIFENG_20050126.0847-E13-36
EM15	LIUYIFENG_20050126.0847-E18-37
EM16	LIUYIFENG_20050126.0847-E19-38
EM17	LIUYIFENG_20050126.0847-E20-39
EM18	LIUYIFENG_20050126.0847-E21-40
EM19	LIUYIFENG_20050126.0847-E17-41
EM20	LIUYIFENG_20050126.0847-E1-42
R1	LIUYIFENG_20050126.0847-R1
R2	LIUYIFENG_20050126.0847-R2
R3	LIUYIFENG_20050126.0847-R3
R5	LIUYIFENG_20050126.0847-R4
R6	LIUYIFENG_20050126.0847-R5
R8	LIUYIFENG_20050126.0847-R6
R9	LIUYIFENG_20050126.0847-R7
R10	LIUYIFENG_20050126.0847-R8
R13	LIUYIFENG_20050126.0847-R9
R14	LIUYIFENG_20050126.0847-R10
R16	LIUYIFENG_20050126.0847-R11
RM1	LIUYIFENG_20050126.0847-R1-1
RM2	LIUYIFENG_20050126.0847-R2-1
RM3	LIUYIFENG_20050126.0847-R3-1
RM5	LIUYIFENG_20050126.0847-R4-1
RM6	LIUYIFENG_20050126.0847-R5-1
RM8	LIUYIFENG_20050126.0847-R6-1
RM9	LIUYIFENG_20050126.0847-R7-1
RM10	LIUYIFENG_20050126.0847-R8-1
RM13	LIUYIFENG_20050126.0847-R9-1
RM14	LIUYIFENG_20050126.0847-R10-1
RM16	LIUYIFENG_20050126.0847-R11-1
V1	LIUYIFENG_20050126.0847-EV1
V3	LIUYIFENG_20050126.0847-EV2
VM1	LIUYIFENG_20050126.0847-EV1-1
VM3	LIUYIFENG_20050126.0847-EV2-1
Q1	LIUYIFENG_20050126.0847-T1
Q2	LIUYIFENG_20050126.0847-T2
Q3	LIUYIFENG_20050126.0847-T3
Q4	LIUYIFENG_20050126.0847-T4
Q5	LIUYIFENG_20050126.0847-T5
Q6	LIUYIFENG_20050126.0847-T6
Q7	LIUYIFENG_20050126.0847-V1
Q8	LIUYIFENG_20050126.0847-T7
Q9	LIUYIFENG_20050126.0847-T8
Q10	LIUYIFENG_20050126.0847-T9
Q11	LIUYIFENG_20050126.0847-V2
QM7	LIUYIFENG_20050126.0847-V1-1
QM11	LIUYIFENG_20050126.0847-V2-1
