CE9	LANGLANGGARGEN_20041228.1339-CE1
CE10	LANGLANGGARGEN_20041228.1339-CE2
CE12	LANGLANGGARGEN_20041228.1339-CE3
CE13	LANGLANGGARGEN_20041228.1339-CE4
CE14	LANGLANGGARGEN_20041228.1339-CE5
CE15	LANGLANGGARGEN_20041228.1339-CE6
CE16	LANGLANGGARGEN_20041228.1339-CE7
CE17	LANGLANGGARGEN_20041228.1339-CE8
CE18	LANGLANGGARGEN_20041228.1339-CE9
CE19	LANGLANGGARGEN_20041228.1339-CE10
CE22	LANGLANGGARGEN_20041228.1339-CE11
CE20	LANGLANGGARGEN_20041228.1339-CE12
CE23	LANGLANGGARGEN_20041228.1339-CE13
CE21	LANGLANGGARGEN_20041228.1339-CE14
CE24	LANGLANGGARGEN_20041228.1339-CE15
CE25	LANGLANGGARGEN_20041228.1339-CE16
CE26	LANGLANGGARGEN_20041228.1339-CE17
CE27	LANGLANGGARGEN_20041228.1339-CE18
CE28	LANGLANGGARGEN_20041228.1339-CE19
CE29	LANGLANGGARGEN_20041228.1339-CE20
CE30	LANGLANGGARGEN_20041228.1339-CE21
CE31	LANGLANGGARGEN_20041228.1339-CE22
CE32	LANGLANGGARGEN_20041228.1339-CE23
CE35	LANGLANGGARGEN_20041228.1339-CE24
CE36	LANGLANGGARGEN_20041228.1339-CE25
CE1	LANGLANGGARGEN_20041228.1339-CE26
CE37	LANGLANGGARGEN_20041228.1339-CE27
CE38	LANGLANGGARGEN_20041228.1339-CE28
CE39	LANGLANGGARGEN_20041228.1339-CE29
CE2	LANGLANGGARGEN_20041228.1339-CE30
CE3	LANGLANGGARGEN_20041228.1339-CE31
CE4	LANGLANGGARGEN_20041228.1339-CE32
CE5	LANGLANGGARGEN_20041228.1339-CE33
CE6	LANGLANGGARGEN_20041228.1339-CE34
CE7	LANGLANGGARGEN_20041228.1339-CE35
CE8	LANGLANGGARGEN_20041228.1339-CE36
E9	LANGLANGGARGEN_20041228.1339-E1
E10	LANGLANGGARGEN_20041228.1339-E2
E12	LANGLANGGARGEN_20041228.1339-E3
E13	LANGLANGGARGEN_20041228.1339-E4
E14	LANGLANGGARGEN_20041228.1339-E5
E15	LANGLANGGARGEN_20041228.1339-E6
E16	LANGLANGGARGEN_20041228.1339-E7
E17	LANGLANGGARGEN_20041228.1339-E8
E18	LANGLANGGARGEN_20041228.1339-E9
E19	LANGLANGGARGEN_20041228.1339-E10
E23	LANGLANGGARGEN_20041228.1339-E11
E20	LANGLANGGARGEN_20041228.1339-E12
E24	LANGLANGGARGEN_20041228.1339-E13
E21	LANGLANGGARGEN_20041228.1339-E14
E22	LANGLANGGARGEN_20041228.1339-E15
E25	LANGLANGGARGEN_20041228.1339-E16
E26	LANGLANGGARGEN_20041228.1339-E17
E27	LANGLANGGARGEN_20041228.1339-E18
E28	LANGLANGGARGEN_20041228.1339-E19
E29	LANGLANGGARGEN_20041228.1339-E20
E30	LANGLANGGARGEN_20041228.1339-E21
E1	LANGLANGGARGEN_20041228.1339-E22
E31	LANGLANGGARGEN_20041228.1339-E23
E32	LANGLANGGARGEN_20041228.1339-E24
E33	LANGLANGGARGEN_20041228.1339-E25
E35	LANGLANGGARGEN_20041228.1339-E26
E37	LANGLANGGARGEN_20041228.1339-E27
E38	LANGLANGGARGEN_20041228.1339-E28
E39	LANGLANGGARGEN_20041228.1339-E29
E40	LANGLANGGARGEN_20041228.1339-E30
E41	LANGLANGGARGEN_20041228.1339-E31
E42	LANGLANGGARGEN_20041228.1339-E32
E2	LANGLANGGARGEN_20041228.1339-E33
E3	LANGLANGGARGEN_20041228.1339-E34
E4	LANGLANGGARGEN_20041228.1339-E35
E5	LANGLANGGARGEN_20041228.1339-E36
E6	LANGLANGGARGEN_20041228.1339-E37
E7	LANGLANGGARGEN_20041228.1339-E38
E8	LANGLANGGARGEN_20041228.1339-E39
EM1	LANGLANGGARGEN_20041228.1339-E22-1
EM23	LANGLANGGARGEN_20041228.1339-E1-2
EM24	LANGLANGGARGEN_20041228.1339-E2-3
EM26	LANGLANGGARGEN_20041228.1339-E3-4
EM27	LANGLANGGARGEN_20041228.1339-E34-5
EM28	LANGLANGGARGEN_20041228.1339-E4-6
EM29	LANGLANGGARGEN_20041228.1339-E5-7
EM30	LANGLANGGARGEN_20041228.1339-E5-8
EM31	LANGLANGGARGEN_20041228.1339-E34-9
EM32	LANGLANGGARGEN_20041228.1339-E6-10
EM33	LANGLANGGARGEN_20041228.1339-E34-11
EM34	LANGLANGGARGEN_20041228.1339-E7-12
EM35	LANGLANGGARGEN_20041228.1339-E7-13
EM36	LANGLANGGARGEN_20041228.1339-E8-14
EM37	LANGLANGGARGEN_20041228.1339-E9-15
EM38	LANGLANGGARGEN_20041228.1339-E10-16
EM55	LANGLANGGARGEN_20041228.1339-E13-17
EM41	LANGLANGGARGEN_20041228.1339-E12-18
EM56	LANGLANGGARGEN_20041228.1339-E11-19
EM45	LANGLANGGARGEN_20041228.1339-E14-20
EM46	LANGLANGGARGEN_20041228.1339-E12-21
EM47	LANGLANGGARGEN_20041228.1339-E34-22
EM48	LANGLANGGARGEN_20041228.1339-E22-23
EM49	LANGLANGGARGEN_20041228.1339-E15-24
EM50	LANGLANGGARGEN_20041228.1339-E15-25
EM51	LANGLANGGARGEN_20041228.1339-E39-26
EM52	LANGLANGGARGEN_20041228.1339-E15-27
EM53	LANGLANGGARGEN_20041228.1339-E22-28
EM57	LANGLANGGARGEN_20041228.1339-E16-29
EM58	LANGLANGGARGEN_20041228.1339-E17-30
EM59	LANGLANGGARGEN_20041228.1339-E17-31
EM60	LANGLANGGARGEN_20041228.1339-E18-32
EM61	LANGLANGGARGEN_20041228.1339-E19-33
EM62	LANGLANGGARGEN_20041228.1339-E20-34
EM63	LANGLANGGARGEN_20041228.1339-E22-35
EM64	LANGLANGGARGEN_20041228.1339-E22-36
EM65	LANGLANGGARGEN_20041228.1339-E22-37
EM66	LANGLANGGARGEN_20041228.1339-E21-38
EM67	LANGLANGGARGEN_20041228.1339-E23-39
EM68	LANGLANGGARGEN_20041228.1339-E23-40
EM69	LANGLANGGARGEN_20041228.1339-E23-41
EM70	LANGLANGGARGEN_20041228.1339-E23-42
EM71	LANGLANGGARGEN_20041228.1339-E21-43
EM72	LANGLANGGARGEN_20041228.1339-E24-44
EM73	LANGLANGGARGEN_20041228.1339-E25-45
EM75	LANGLANGGARGEN_20041228.1339-E26-46
EM76	LANGLANGGARGEN_20041228.1339-E22-47
EM77	LANGLANGGARGEN_20041228.1339-E22-48
EM78	LANGLANGGARGEN_20041228.1339-E22-49
EM79	LANGLANGGARGEN_20041228.1339-E21-50
EM80	LANGLANGGARGEN_20041228.1339-E21-51
EM83	LANGLANGGARGEN_20041228.1339-E27-52
EM84	LANGLANGGARGEN_20041228.1339-E28-53
EM85	LANGLANGGARGEN_20041228.1339-E29-54
EM86	LANGLANGGARGEN_20041228.1339-E29-55
