CE14	LANGLANGGARGEN_20050213.0141-CE1
CE15	LANGLANGGARGEN_20050213.0141-CE2
CE16	LANGLANGGARGEN_20050213.0141-CE3
CE17	LANGLANGGARGEN_20050213.0141-CE4
CE18	LANGLANGGARGEN_20050213.0141-CE5
CE19	LANGLANGGARGEN_20050213.0141-CE6
CE21	LANGLANGGARGEN_20050213.0141-CE7
CE22	LANGLANGGARGEN_20050213.0141-CE8
CE23	LANGLANGGARGEN_20050213.0141-CE9
CE24	LANGLANGGARGEN_20050213.0141-CE10
CE25	LANGLANGGARGEN_20050213.0141-CE11
CE26	LANGLANGGARGEN_20050213.0141-CE12
CE27	LANGLANGGARGEN_20050213.0141-CE13
CE28	LANGLANGGARGEN_20050213.0141-CE14
CE29	LANGLANGGARGEN_20050213.0141-CE15
CE30	LANGLANGGARGEN_20050213.0141-CE16
CE31	LANGLANGGARGEN_20050213.0141-CE17
CE32	LANGLANGGARGEN_20050213.0141-CE18
CE33	LANGLANGGARGEN_20050213.0141-CE19
CE2	LANGLANGGARGEN_20050213.0141-CE20
CE3	LANGLANGGARGEN_20050213.0141-CE21
CE4	LANGLANGGARGEN_20050213.0141-CE22
CE5	LANGLANGGARGEN_20050213.0141-CE23
CE6	LANGLANGGARGEN_20050213.0141-CE24
CE8	LANGLANGGARGEN_20050213.0141-CE25
CE9	LANGLANGGARGEN_20050213.0141-CE26
CE10	LANGLANGGARGEN_20050213.0141-CE27
CE11	LANGLANGGARGEN_20050213.0141-CE28
CE12	LANGLANGGARGEN_20050213.0141-CE29
CE13	LANGLANGGARGEN_20050213.0141-CE30
E14	LANGLANGGARGEN_20050213.0141-E1
E15	LANGLANGGARGEN_20050213.0141-E2
E16	LANGLANGGARGEN_20050213.0141-E3
E17	LANGLANGGARGEN_20050213.0141-E4
E18	LANGLANGGARGEN_20050213.0141-E5
E19	LANGLANGGARGEN_20050213.0141-E6
E21	LANGLANGGARGEN_20050213.0141-E7
E22	LANGLANGGARGEN_20050213.0141-E8
E25	LANGLANGGARGEN_20050213.0141-E9
E26	LANGLANGGARGEN_20050213.0141-E10
E27	LANGLANGGARGEN_20050213.0141-E11
E28	LANGLANGGARGEN_20050213.0141-E12
E29	LANGLANGGARGEN_20050213.0141-E13
E30	LANGLANGGARGEN_20050213.0141-E14
E31	LANGLANGGARGEN_20050213.0141-E15
E32	LANGLANGGARGEN_20050213.0141-E16
E33	LANGLANGGARGEN_20050213.0141-E17
E34	LANGLANGGARGEN_20050213.0141-E18
E35	LANGLANGGARGEN_20050213.0141-E19
E2	LANGLANGGARGEN_20050213.0141-E20
E3	LANGLANGGARGEN_20050213.0141-E21
E4	LANGLANGGARGEN_20050213.0141-E22
E5	LANGLANGGARGEN_20050213.0141-E23
E6	LANGLANGGARGEN_20050213.0141-E24
E8	LANGLANGGARGEN_20050213.0141-E25
E9	LANGLANGGARGEN_20050213.0141-E26
E10	LANGLANGGARGEN_20050213.0141-E27
E11	LANGLANGGARGEN_20050213.0141-E28
E12	LANGLANGGARGEN_20050213.0141-E29
E13	LANGLANGGARGEN_20050213.0141-E30
EM18	LANGLANGGARGEN_20050213.0141-E2-1
EM19	LANGLANGGARGEN_20050213.0141-E30-2
EM20	LANGLANGGARGEN_20050213.0141-E26-3
EM21	LANGLANGGARGEN_20050213.0141-E3-4
EM22	LANGLANGGARGEN_20050213.0141-E4-5
EM23	LANGLANGGARGEN_20050213.0141-E26-6
EM24	LANGLANGGARGEN_20050213.0141-E26-7
EM25	LANGLANGGARGEN_20050213.0141-E5-8
EM26	LANGLANGGARGEN_20050213.0141-E6-9
EM29	LANGLANGGARGEN_20050213.0141-E8-10
EM31	LANGLANGGARGEN_20050213.0141-E7-11
EM32	LANGLANGGARGEN_20050213.0141-E26-12
EM33	LANGLANGGARGEN_20050213.0141-E7-13
EM34	LANGLANGGARGEN_20050213.0141-E7-14
EM35	LANGLANGGARGEN_20050213.0141-E9-15
EM36	LANGLANGGARGEN_20050213.0141-E26-16
EM37	LANGLANGGARGEN_20050213.0141-E9-17
EM38	LANGLANGGARGEN_20050213.0141-E10-18
EM39	LANGLANGGARGEN_20050213.0141-E26-19
EM40	LANGLANGGARGEN_20050213.0141-E26-20
EM41	LANGLANGGARGEN_20050213.0141-E9-21
EM42	LANGLANGGARGEN_20050213.0141-E9-22
EM43	LANGLANGGARGEN_20050213.0141-E9-23
EM44	LANGLANGGARGEN_20050213.0141-E26-24
EM45	LANGLANGGARGEN_20050213.0141-E11-25
EM46	LANGLANGGARGEN_20050213.0141-E26-26
EM47	LANGLANGGARGEN_20050213.0141-E9-27
EM48	LANGLANGGARGEN_20050213.0141-E9-28
EM49	LANGLANGGARGEN_20050213.0141-E12-29
EM50	LANGLANGGARGEN_20050213.0141-E26-30
EM52	LANGLANGGARGEN_20050213.0141-E9-31
EM53	LANGLANGGARGEN_20050213.0141-E26-32
EM54	LANGLANGGARGEN_20050213.0141-E26-33
EM55	LANGLANGGARGEN_20050213.0141-E9-34
EM56	LANGLANGGARGEN_20050213.0141-E9-35
EM57	LANGLANGGARGEN_20050213.0141-E26-36
EM58	LANGLANGGARGEN_20050213.0141-E26-37
EM59	LANGLANGGARGEN_20050213.0141-E14-38
EM60	LANGLANGGARGEN_20050213.0141-E26-39
EM61	LANGLANGGARGEN_20050213.0141-E13-40
EM62	LANGLANGGARGEN_20050213.0141-E13-41
EM63	LANGLANGGARGEN_20050213.0141-E15-42
EM64	LANGLANGGARGEN_20050213.0141-E26-43
EM65	LANGLANGGARGEN_20050213.0141-E16-44
EM66	LANGLANGGARGEN_20050213.0141-E26-45
EM67	LANGLANGGARGEN_20050213.0141-E9-46
EM68	LANGLANGGARGEN_20050213.0141-E9-47
EM69	LANGLANGGARGEN_20050213.0141-E17-48
EM70	LANGLANGGARGEN_20050213.0141-E9-49
EM71	LANGLANGGARGEN_20050213.0141-E9-50
EM72	LANGLANGGARGEN_20050213.0141-E9-51
EM73	LANGLANGGARGEN_20050213.0141-E26-52
EM74	LANGLANGGARGEN_20050213.0141-E9-53
EM75	LANGLANGGARGEN_20050213.0141-E26-54
EM76	LANGLANGGARGEN_20050213.0141-E6-55
EM27	LANGLANGGARGEN_20050213.0141-E7-56
EM77	LANGLANGGARGEN_20050213.0141-E18-57
EM78	LANGLANGGARGEN_20050213.0141-E18-58
EM79	LANGLANGGARGEN_20050213.0141-E21-59
EM80	LANGLANGGARGEN_20050213.0141-E19-60
EM51	LANGLANGGARGEN_20050213.0141-E13-61
EM2	LANGLANGGARGEN_20050213.0141-E20-62
EM4	LANGLANGGARGEN_20050213.0141-E22-63
EM5	LANGLANGGARGEN_20050213.0141-E23-64
EM6	LANGLANGGARGEN_20050213.0141-E24-65
EM9	LANGLANGGARGEN_20050213.0141-E25-66
EM10	LANGLANGGARGEN_20050213.0141-E21-67
EM11	LANGLANGGARGEN_20050213.0141-E26-68
EM12	LANGLANGGARGEN_20050213.0141-E26-69
EM13	LANGLANGGARGEN_20050213.0141-E27-70
EM14	LANGLANGGARGEN_20050213.0141-E28-71
