CE14	NJWSL_20041205.1409-CE1
CE15	NJWSL_20041205.1409-CE2
CE16	NJWSL_20041205.1409-CE3
CE40	NJWSL_20041205.1409-CE4
CE19	NJWSL_20041205.1409-CE5
CE21	NJWSL_20041205.1409-CE6
CE22	NJWSL_20041205.1409-CE7
CE23	NJWSL_20041205.1409-CE8
CE24	NJWSL_20041205.1409-CE9
CE26	NJWSL_20041205.1409-CE10
CE27	NJWSL_20041205.1409-CE11
CE28	NJWSL_20041205.1409-CE12
CE29	NJWSL_20041205.1409-CE13
CE41	NJWSL_20041205.1409-CE14
CE31	NJWSL_20041205.1409-CE15
CE32	NJWSL_20041205.1409-CE16
CE33	NJWSL_20041205.1409-CE17
CE34	NJWSL_20041205.1409-CE18
CE35	NJWSL_20041205.1409-CE19
CE42	NJWSL_20041205.1409-CE20
CE43	NJWSL_20041205.1409-CE21
CE44	NJWSL_20041205.1409-CE22
CE45	NJWSL_20041205.1409-CE23
CE46	NJWSL_20041205.1409-CE24
CE48	NJWSL_20041205.1409-CE25
CE49	NJWSL_20041205.1409-CE26
CE50	NJWSL_20041205.1409-CE27
CE51	NJWSL_20041205.1409-CE28
CE52	NJWSL_20041205.1409-CE29
CE53	NJWSL_20041205.1409-CE30
CE54	NJWSL_20041205.1409-CE31
CE55	NJWSL_20041205.1409-CE32
CE57	NJWSL_20041205.1409-CE33
CE58	NJWSL_20041205.1409-CE34
CE1	NJWSL_20041205.1409-CE35
CE59	NJWSL_20041205.1409-CE36
CE60	NJWSL_20041205.1409-CE37
CE61	NJWSL_20041205.1409-CE38
CE62	NJWSL_20041205.1409-CE39
CE63	NJWSL_20041205.1409-CE40
CE64	NJWSL_20041205.1409-CE41
CE65	NJWSL_20041205.1409-CE42
CE66	NJWSL_20041205.1409-CE43
CE36	NJWSL_20041205.1409-CE44
CE3	NJWSL_20041205.1409-CE45
CE37	NJWSL_20041205.1409-CE46
CE5	NJWSL_20041205.1409-CE47
CE6	NJWSL_20041205.1409-CE48
CE38	NJWSL_20041205.1409-CE49
CE8	NJWSL_20041205.1409-CE50
CE39	NJWSL_20041205.1409-CE51
CE10	NJWSL_20041205.1409-CE52
CE12	NJWSL_20041205.1409-CE53
CE13	NJWSL_20041205.1409-CE54
E14	NJWSL_20041205.1409-E1
E15	NJWSL_20041205.1409-E2
E16	NJWSL_20041205.1409-E3
E40	NJWSL_20041205.1409-E4
E19	NJWSL_20041205.1409-E5
E21	NJWSL_20041205.1409-E6
E22	NJWSL_20041205.1409-E7
E23	NJWSL_20041205.1409-E8
E24	NJWSL_20041205.1409-E9
E26	NJWSL_20041205.1409-E10
E27	NJWSL_20041205.1409-E11
E28	NJWSL_20041205.1409-E12
