CE9	LIUYIFENG_20050114.0608-CE1
CE10	LIUYIFENG_20050114.0608-CE2
CE11	LIUYIFENG_20050114.0608-CE3
CE12	LIUYIFENG_20050114.0608-CE4
CE13	LIUYIFENG_20050114.0608-CE5
CE14	LIUYIFENG_20050114.0608-CE6
CE15	LIUYIFENG_20050114.0608-CE7
CE16	LIUYIFENG_20050114.0608-CE8
CE17	LIUYIFENG_20050114.0608-CE9
CE18	LIUYIFENG_20050114.0608-CE10
CE19	LIUYIFENG_20050114.0608-CE11
CE20	LIUYIFENG_20050114.0608-CE12
CE21	LIUYIFENG_20050114.0608-CE13
CE22	LIUYIFENG_20050114.0608-CE14
CE23	LIUYIFENG_20050114.0608-CE15
CE24	LIUYIFENG_20050114.0608-CE16
CE25	LIUYIFENG_20050114.0608-CE17
CE26	LIUYIFENG_20050114.0608-CE18
CE27	LIUYIFENG_20050114.0608-CE19
CE28	LIUYIFENG_20050114.0608-CE20
CE29	LIUYIFENG_20050114.0608-CE21
CE30	LIUYIFENG_20050114.0608-CE22
CE31	LIUYIFENG_20050114.0608-CE23
CE1	LIUYIFENG_20050114.0608-CE24
CE2	LIUYIFENG_20050114.0608-CE25
CE3	LIUYIFENG_20050114.0608-CE26
CE4	LIUYIFENG_20050114.0608-CE27
CE5	LIUYIFENG_20050114.0608-CE28
CE6	LIUYIFENG_20050114.0608-CE29
CE7	LIUYIFENG_20050114.0608-CE30
CE8	LIUYIFENG_20050114.0608-CE31
E10	LIUYIFENG_20050114.0608-E1
E11	LIUYIFENG_20050114.0608-E2
E12	LIUYIFENG_20050114.0608-E3
E13	LIUYIFENG_20050114.0608-E4
E14	LIUYIFENG_20050114.0608-E5
E15	LIUYIFENG_20050114.0608-E6
E16	LIUYIFENG_20050114.0608-E7
E17	LIUYIFENG_20050114.0608-E8
E18	LIUYIFENG_20050114.0608-E9
E19	LIUYIFENG_20050114.0608-E10
E20	LIUYIFENG_20050114.0608-E11
E21	LIUYIFENG_20050114.0608-E12
E22	LIUYIFENG_20050114.0608-E13
E23	LIUYIFENG_20050114.0608-E14
E24	LIUYIFENG_20050114.0608-E15
E25	LIUYIFENG_20050114.0608-E16
E26	LIUYIFENG_20050114.0608-E17
E27	LIUYIFENG_20050114.0608-E18
E28	LIUYIFENG_20050114.0608-E19
E29	LIUYIFENG_20050114.0608-E20
E30	LIUYIFENG_20050114.0608-E21
E31	LIUYIFENG_20050114.0608-E22
E1	LIUYIFENG_20050114.0608-E23
E32	LIUYIFENG_20050114.0608-E24
E2	LIUYIFENG_20050114.0608-E25
E3	LIUYIFENG_20050114.0608-E26
E4	LIUYIFENG_20050114.0608-E27
E5	LIUYIFENG_20050114.0608-E28
E6	LIUYIFENG_20050114.0608-E29
E7	LIUYIFENG_20050114.0608-E30
E8	LIUYIFENG_20050114.0608-E31
E9	LIUYIFENG_20050114.0608-E32
EM1	LIUYIFENG_20050114.0608-E23-1
EM22	LIUYIFENG_20050114.0608-E28-2
EM23	LIUYIFENG_20050114.0608-E30-3
EM24	LIUYIFENG_20050114.0608-E2-4
EM25	LIUYIFENG_20050114.0608-E26-5
EM26	LIUYIFENG_20050114.0608-E23-6
EM27	LIUYIFENG_20050114.0608-E3-7
EM28	LIUYIFENG_20050114.0608-E27-8
EM29	LIUYIFENG_20050114.0608-E4-9
EM30	LIUYIFENG_20050114.0608-E5-10
EM31	LIUYIFENG_20050114.0608-E6-11
EM32	LIUYIFENG_20050114.0608-E7-12
EM33	LIUYIFENG_20050114.0608-E2-13
EM34	LIUYIFENG_20050114.0608-E8-14
EM35	LIUYIFENG_20050114.0608-E9-15
EM36	LIUYIFENG_20050114.0608-E10-16
EM37	LIUYIFENG_20050114.0608-E23-17
EM38	LIUYIFENG_20050114.0608-E11-18
EM39	LIUYIFENG_20050114.0608-E9-19
EM40	LIUYIFENG_20050114.0608-E23-20
EM41	LIUYIFENG_20050114.0608-E12-21
EM42	LIUYIFENG_20050114.0608-E13-22
EM43	LIUYIFENG_20050114.0608-E14-23
EM44	LIUYIFENG_20050114.0608-E27-24
EM45	LIUYIFENG_20050114.0608-E28-25
EM46	LIUYIFENG_20050114.0608-E15-26
EM47	LIUYIFENG_20050114.0608-E23-27
EM48	LIUYIFENG_20050114.0608-E1-28
EM49	LIUYIFENG_20050114.0608-E16-29
EM50	LIUYIFENG_20050114.0608-E17-30
EM51	LIUYIFENG_20050114.0608-E18-31
EM52	LIUYIFENG_20050114.0608-E19-32
EM53	LIUYIFENG_20050114.0608-E31-33
EM54	LIUYIFENG_20050114.0608-E31-34
EM55	LIUYIFENG_20050114.0608-E15-35
EM56	LIUYIFENG_20050114.0608-E20-36
EM57	LIUYIFENG_20050114.0608-E21-37
EM58	LIUYIFENG_20050114.0608-E20-38
EM59	LIUYIFENG_20050114.0608-E22-39
EM60	LIUYIFENG_20050114.0608-E22-40
EM61	LIUYIFENG_20050114.0608-E31-41
EM62	LIUYIFENG_20050114.0608-E24-42
EM2	LIUYIFENG_20050114.0608-E25-43
EM3	LIUYIFENG_20050114.0608-E26-44
EM4	LIUYIFENG_20050114.0608-E27-45
EM5	LIUYIFENG_20050114.0608-E23-46
EM6	LIUYIFENG_20050114.0608-E27-47
EM7	LIUYIFENG_20050114.0608-E23-48
EM8	LIUYIFENG_20050114.0608-E28-49
EM9	LIUYIFENG_20050114.0608-E27-50
EM10	LIUYIFENG_20050114.0608-E29-51
EM11	LIUYIFENG_20050114.0608-E30-52
EM12	LIUYIFENG_20050114.0608-E23-53
EM13	LIUYIFENG_20050114.0608-E31-54
EM14	LIUYIFENG_20050114.0608-E27-55
EM15	LIUYIFENG_20050114.0608-E26-56
EM16	LIUYIFENG_20050114.0608-E23-57
EM17	LIUYIFENG_20050114.0608-E27-58
EM18	LIUYIFENG_20050114.0608-E32-59
EM19	LIUYIFENG_20050114.0608-E23-60
EM20	LIUYIFENG_20050114.0608-E23-61
EM21	LIUYIFENG_20050114.0608-E1-62
R1	LIUYIFENG_20050114.0608-R1
R2	LIUYIFENG_20050114.0608-R2
R3	LIUYIFENG_20050114.0608-R3
R4	LIUYIFENG_20050114.0608-R4
R5	LIUYIFENG_20050114.0608-R5
R6	LIUYIFENG_20050114.0608-R6
R7	LIUYIFENG_20050114.0608-R7
R8	LIUYIFENG_20050114.0608-R8
R9	LIUYIFENG_20050114.0608-R9
R10	LIUYIFENG_20050114.0608-R10
RM1	LIUYIFENG_20050114.0608-R1-1
RM2	LIUYIFENG_20050114.0608-R2-1
RM3	LIUYIFENG_20050114.0608-R3-1
RM4	LIUYIFENG_20050114.0608-R4-1
RM5	LIUYIFENG_20050114.0608-R5-1
RM6	LIUYIFENG_20050114.0608-R6-1
RM7	LIUYIFENG_20050114.0608-R7-1
RM8	LIUYIFENG_20050114.0608-R8-1
RM9	LIUYIFENG_20050114.0608-R9-1
RM10	LIUYIFENG_20050114.0608-R10-1
V1	LIUYIFENG_20050114.0608-EV1
VM1	LIUYIFENG_20050114.0608-EV1-1
Q1	LIUYIFENG_20050114.0608-T1
Q2	LIUYIFENG_20050114.0608-T2
Q3	LIUYIFENG_20050114.0608-T3
Q4	LIUYIFENG_20050114.0608-T4
Q5	LIUYIFENG_20050114.0608-V1
Q6	LIUYIFENG_20050114.0608-T5
QM5	LIUYIFENG_20050114.0608-V1-1
