CE14	LANGLANGGARGEN_20050213.0141-CE1
CE15	LANGLANGGARGEN_20050213.0141-CE2
CE16	LANGLANGGARGEN_20050213.0141-CE3
CE17	LANGLANGGARGEN_20050213.0141-CE4
CE18	LANGLANGGARGEN_20050213.0141-CE5
CE19	LANGLANGGARGEN_20050213.0141-CE6
CE20	LANGLANGGARGEN_20050213.0141-CE7
CE21	LANGLANGGARGEN_20050213.0141-CE8
CE22	LANGLANGGARGEN_20050213.0141-CE9
CE23	LANGLANGGARGEN_20050213.0141-CE10
CE24	LANGLANGGARGEN_20050213.0141-CE11
CE25	LANGLANGGARGEN_20050213.0141-CE12
CE26	LANGLANGGARGEN_20050213.0141-CE13
CE27	LANGLANGGARGEN_20050213.0141-CE14
CE28	LANGLANGGARGEN_20050213.0141-CE15
CE29	LANGLANGGARGEN_20050213.0141-CE16
CE30	LANGLANGGARGEN_20050213.0141-CE17
CE31	LANGLANGGARGEN_20050213.0141-CE18
CE1	LANGLANGGARGEN_20050213.0141-CE19
CE3	LANGLANGGARGEN_20050213.0141-CE20
CE4	LANGLANGGARGEN_20050213.0141-CE21
CE5	LANGLANGGARGEN_20050213.0141-CE22
CE6	LANGLANGGARGEN_20050213.0141-CE23
CE7	LANGLANGGARGEN_20050213.0141-CE24
CE8	LANGLANGGARGEN_20050213.0141-CE25
CE9	LANGLANGGARGEN_20050213.0141-CE26
CE10	LANGLANGGARGEN_20050213.0141-CE27
CE11	LANGLANGGARGEN_20050213.0141-CE28
CE12	LANGLANGGARGEN_20050213.0141-CE29
CE13	LANGLANGGARGEN_20050213.0141-CE30
E14	LANGLANGGARGEN_20050213.0141-E1
E15	LANGLANGGARGEN_20050213.0141-E2
E16	LANGLANGGARGEN_20050213.0141-E3
E17	LANGLANGGARGEN_20050213.0141-E4
E18	LANGLANGGARGEN_20050213.0141-E5
E19	LANGLANGGARGEN_20050213.0141-E6
E20	LANGLANGGARGEN_20050213.0141-E7
E21	LANGLANGGARGEN_20050213.0141-E8
E22	LANGLANGGARGEN_20050213.0141-E9
E23	LANGLANGGARGEN_20050213.0141-E10
E24	LANGLANGGARGEN_20050213.0141-E11
E25	LANGLANGGARGEN_20050213.0141-E12
E26	LANGLANGGARGEN_20050213.0141-E13
E27	LANGLANGGARGEN_20050213.0141-E14
E29	LANGLANGGARGEN_20050213.0141-E15
E30	LANGLANGGARGEN_20050213.0141-E16
E1	LANGLANGGARGEN_20050213.0141-E17
E31	LANGLANGGARGEN_20050213.0141-E18
E32	LANGLANGGARGEN_20050213.0141-E19
E33	LANGLANGGARGEN_20050213.0141-E20
E34	LANGLANGGARGEN_20050213.0141-E21
E35	LANGLANGGARGEN_20050213.0141-E22
E3	LANGLANGGARGEN_20050213.0141-E23
E4	LANGLANGGARGEN_20050213.0141-E24
E5	LANGLANGGARGEN_20050213.0141-E25
E6	LANGLANGGARGEN_20050213.0141-E26
E7	LANGLANGGARGEN_20050213.0141-E27
E8	LANGLANGGARGEN_20050213.0141-E28
E9	LANGLANGGARGEN_20050213.0141-E29
E10	LANGLANGGARGEN_20050213.0141-E30
E11	LANGLANGGARGEN_20050213.0141-E31
E12	LANGLANGGARGEN_20050213.0141-E32
E13	LANGLANGGARGEN_20050213.0141-E33
EM1	LANGLANGGARGEN_20050213.0141-E17-1
EM18	LANGLANGGARGEN_20050213.0141-E2-2
EM19	LANGLANGGARGEN_20050213.0141-E33-3
EM20	LANGLANGGARGEN_20050213.0141-E3-4
EM23	LANGLANGGARGEN_20050213.0141-E17-5
EM24	LANGLANGGARGEN_20050213.0141-E4-6
EM25	LANGLANGGARGEN_20050213.0141-E5-7
EM26	LANGLANGGARGEN_20050213.0141-E17-8
EM27	LANGLANGGARGEN_20050213.0141-E17-9
EM28	LANGLANGGARGEN_20050213.0141-E6-10
EM29	LANGLANGGARGEN_20050213.0141-E7-11
EM30	LANGLANGGARGEN_20050213.0141-E8-12
EM31	LANGLANGGARGEN_20050213.0141-E9-13
EM32	LANGLANGGARGEN_20050213.0141-E10-14
EM33	LANGLANGGARGEN_20050213.0141-E17-15
EM34	LANGLANGGARGEN_20050213.0141-E8-16
EM35	LANGLANGGARGEN_20050213.0141-E8-17
EM36	LANGLANGGARGEN_20050213.0141-E8-18
EM37	LANGLANGGARGEN_20050213.0141-E11-19
EM38	LANGLANGGARGEN_20050213.0141-E11-20
EM39	LANGLANGGARGEN_20050213.0141-E12-21
EM40	LANGLANGGARGEN_20050213.0141-E17-22
EM41	LANGLANGGARGEN_20050213.0141-E13-23
EM42	LANGLANGGARGEN_20050213.0141-E17-24
EM43	LANGLANGGARGEN_20050213.0141-E17-25
EM44	LANGLANGGARGEN_20050213.0141-E11-26
EM45	LANGLANGGARGEN_20050213.0141-E11-27
EM46	LANGLANGGARGEN_20050213.0141-E11-28
EM47	LANGLANGGARGEN_20050213.0141-E17-29
EM48	LANGLANGGARGEN_20050213.0141-E17-30
EM49	LANGLANGGARGEN_20050213.0141-E11-31
EM50	LANGLANGGARGEN_20050213.0141-E11-32
EM51	LANGLANGGARGEN_20050213.0141-E14-33
EM52	LANGLANGGARGEN_20050213.0141-E17-34
EM53	LANGLANGGARGEN_20050213.0141-E15-35
EM54	LANGLANGGARGEN_20050213.0141-E11-36
EM55	LANGLANGGARGEN_20050213.0141-E17-37
EM56	LANGLANGGARGEN_20050213.0141-E17-38
EM57	LANGLANGGARGEN_20050213.0141-E11-39
EM58	LANGLANGGARGEN_20050213.0141-E11-40
EM59	LANGLANGGARGEN_20050213.0141-E17-41
EM60	LANGLANGGARGEN_20050213.0141-E17-42
EM61	LANGLANGGARGEN_20050213.0141-E16-43
EM64	LANGLANGGARGEN_20050213.0141-E18-44
EM65	LANGLANGGARGEN_20050213.0141-E19-45
EM66	LANGLANGGARGEN_20050213.0141-E20-46
EM67	LANGLANGGARGEN_20050213.0141-E11-47
EM68	LANGLANGGARGEN_20050213.0141-E21-48
EM69	LANGLANGGARGEN_20050213.0141-E22-49
EM70	LANGLANGGARGEN_20050213.0141-E11-50
EM71	LANGLANGGARGEN_20050213.0141-E17-51
EM72	LANGLANGGARGEN_20050213.0141-E17-52
EM73	LANGLANGGARGEN_20050213.0141-E11-53
EM74	LANGLANGGARGEN_20050213.0141-E16-54
EM75	LANGLANGGARGEN_20050213.0141-E11-55
EM76	LANGLANGGARGEN_20050213.0141-E11-56
EM77	LANGLANGGARGEN_20050213.0141-E11-57
EM78	LANGLANGGARGEN_20050213.0141-E17-58
EM79	LANGLANGGARGEN_20050213.0141-E11-59
EM80	LANGLANGGARGEN_20050213.0141-E17-60
EM3	LANGLANGGARGEN_20050213.0141-E23-61
EM4	LANGLANGGARGEN_20050213.0141-E24-62
EM5	LANGLANGGARGEN_20050213.0141-E25-63
EM6	LANGLANGGARGEN_20050213.0141-E26-64
EM7	LANGLANGGARGEN_20050213.0141-E27-65
EM8	LANGLANGGARGEN_20050213.0141-E28-66
EM9	LANGLANGGARGEN_20050213.0141-E29-67
EM10	LANGLANGGARGEN_20050213.0141-E24-68
