CE13	GLOVEBX_20041127.0320-CE1
CE14	GLOVEBX_20041127.0320-CE2
CE15	GLOVEBX_20041127.0320-CE3
CE16	GLOVEBX_20041127.0320-CE4
CE1	GLOVEBX_20041127.0320-CE5
CE2	GLOVEBX_20041127.0320-CE6
CE3	GLOVEBX_20041127.0320-CE7
CE4	GLOVEBX_20041127.0320-CE8
CE5	GLOVEBX_20041127.0320-CE9
CE6	GLOVEBX_20041127.0320-CE10
CE7	GLOVEBX_20041127.0320-CE11
CE8	GLOVEBX_20041127.0320-CE12
CE9	GLOVEBX_20041127.0320-CE13
CE10	GLOVEBX_20041127.0320-CE14
CE11	GLOVEBX_20041127.0320-CE15
E13	GLOVEBX_20041127.0320-E1
E14	GLOVEBX_20041127.0320-E2
E15	GLOVEBX_20041127.0320-E3
E16	GLOVEBX_20041127.0320-E4
E1	GLOVEBX_20041127.0320-E5
E2	GLOVEBX_20041127.0320-E6
E3	GLOVEBX_20041127.0320-E7
E4	GLOVEBX_20041127.0320-E8
E5	GLOVEBX_20041127.0320-E9
E6	GLOVEBX_20041127.0320-E10
E7	GLOVEBX_20041127.0320-E11
E8	GLOVEBX_20041127.0320-E12
E9	GLOVEBX_20041127.0320-E13
E10	GLOVEBX_20041127.0320-E14
E11	GLOVEBX_20041127.0320-E15
EM1	GLOVEBX_20041127.0320-E5-1
EM19	GLOVEBX_20041127.0320-E1-2
EM20	GLOVEBX_20041127.0320-E1-3
EM21	GLOVEBX_20041127.0320-E1-4
EM22	GLOVEBX_20041127.0320-E2-5
EM23	GLOVEBX_20041127.0320-E3-6
EM24	GLOVEBX_20041127.0320-E1-7
EM25	GLOVEBX_20041127.0320-E5-8
EM26	GLOVEBX_20041127.0320-E4-9
EM27	GLOVEBX_20041127.0320-E5-10
EM2	GLOVEBX_20041127.0320-E6-11
EM3	GLOVEBX_20041127.0320-E6-12
EM4	GLOVEBX_20041127.0320-E7-13
EM5	GLOVEBX_20041127.0320-E5-14
EM6	GLOVEBX_20041127.0320-E7-15
EM7	GLOVEBX_20041127.0320-E8-16
EM8	GLOVEBX_20041127.0320-E5-17
EM9	GLOVEBX_20041127.0320-E9-18
EM10	GLOVEBX_20041127.0320-E5-19
EM11	GLOVEBX_20041127.0320-E10-20
EM12	GLOVEBX_20041127.0320-E11-21
EM13	GLOVEBX_20041127.0320-E12-22
EM14	GLOVEBX_20041127.0320-E13-23
EM15	GLOVEBX_20041127.0320-E14-24
EM16	GLOVEBX_20041127.0320-E15-25
EM18	GLOVEBX_20041127.0320-E1-26
R1	GLOVEBX_20041127.0320-R1
R2	GLOVEBX_20041127.0320-R2
R3	GLOVEBX_20041127.0320-R3
RM1	GLOVEBX_20041127.0320-R1-1
RM2	GLOVEBX_20041127.0320-R2-1
RM3	GLOVEBX_20041127.0320-R3-1
V1	GLOVEBX_20041127.0320-EV1
V2	GLOVEBX_20041127.0320-EV2
V3	GLOVEBX_20041127.0320-EV3
V4	GLOVEBX_20041127.0320-EV4
VM1	GLOVEBX_20041127.0320-EV1-1
VM2	GLOVEBX_20041127.0320-EV2-1
VM3	GLOVEBX_20041127.0320-EV3-1
VM4	GLOVEBX_20041127.0320-EV4-1
VM5	GLOVEBX_20041127.0320-EV4-2
Q1	GLOVEBX_20041127.0320-T1
Q2	GLOVEBX_20041127.0320-T2
Q3	GLOVEBX_20041127.0320-T3
Q4	GLOVEBX_20041127.0320-T4
Q5	GLOVEBX_20041127.0320-T5
Q6	GLOVEBX_20041127.0320-T6
Q7	GLOVEBX_20041127.0320-T7
Q8	GLOVEBX_20041127.0320-T8
