CE10	NJWSL_20041204.0809-CE1
CE11	NJWSL_20041204.0809-CE2
CE12	NJWSL_20041204.0809-CE3
CE13	NJWSL_20041204.0809-CE4
CE14	NJWSL_20041204.0809-CE5
CE15	NJWSL_20041204.0809-CE6
CE16	NJWSL_20041204.0809-CE7
CE17	NJWSL_20041204.0809-CE8
CE18	NJWSL_20041204.0809-CE9
CE19	NJWSL_20041204.0809-CE10
CE20	NJWSL_20041204.0809-CE11
CE1	NJWSL_20041204.0809-CE12
CE21	NJWSL_20041204.0809-CE13
CE2	NJWSL_20041204.0809-CE14
CE3	NJWSL_20041204.0809-CE15
CE4	NJWSL_20041204.0809-CE16
CE5	NJWSL_20041204.0809-CE17
CE6	NJWSL_20041204.0809-CE18
CE7	NJWSL_20041204.0809-CE19
CE8	NJWSL_20041204.0809-CE20
CE9	NJWSL_20041204.0809-CE21
E11	NJWSL_20041204.0809-E1
E12	NJWSL_20041204.0809-E2
E13	NJWSL_20041204.0809-E3
E14	NJWSL_20041204.0809-E4
E15	NJWSL_20041204.0809-E5
E16	NJWSL_20041204.0809-E6
E17	NJWSL_20041204.0809-E7
E18	NJWSL_20041204.0809-E8
E19	NJWSL_20041204.0809-E9
E20	NJWSL_20041204.0809-E10
E21	NJWSL_20041204.0809-E11
E1	NJWSL_20041204.0809-E12
E22	NJWSL_20041204.0809-E13
E23	NJWSL_20041204.0809-E14
E2	NJWSL_20041204.0809-E15
E3	NJWSL_20041204.0809-E16
E4	NJWSL_20041204.0809-E17
E5	NJWSL_20041204.0809-E18
E6	NJWSL_20041204.0809-E19
E7	NJWSL_20041204.0809-E20
E8	NJWSL_20041204.0809-E21
E9	NJWSL_20041204.0809-E22
E10	NJWSL_20041204.0809-E23
EM1	NJWSL_20041204.0809-E12-1
EM21	NJWSL_20041204.0809-E1-2
EM16	NJWSL_20041204.0809-E1-3
EM18	NJWSL_20041204.0809-E1-4
EM22	NJWSL_20041204.0809-E1-5
EM23	NJWSL_20041204.0809-E21-6
EM24	NJWSL_20041204.0809-E1-7
EM25	NJWSL_20041204.0809-E21-8
EM26	NJWSL_20041204.0809-E1-9
EM27	NJWSL_20041204.0809-E2-10
EM28	NJWSL_20041204.0809-E2-11
EM29	NJWSL_20041204.0809-E3-12
EM30	NJWSL_20041204.0809-E1-13
EM31	NJWSL_20041204.0809-E4-14
EM32	NJWSL_20041204.0809-E5-15
EM33	NJWSL_20041204.0809-E4-16
EM34	NJWSL_20041204.0809-E2-17
EM35	NJWSL_20041204.0809-E6-18
EM36	NJWSL_20041204.0809-E5-19
EM37	NJWSL_20041204.0809-E4-20
EM38	NJWSL_20041204.0809-E2-21
EM39	NJWSL_20041204.0809-E2-22
EM40	NJWSL_20041204.0809-E4-23
EM41	NJWSL_20041204.0809-E7-24
EM42	NJWSL_20041204.0809-E7-25
EM43	NJWSL_20041204.0809-E4-26
EM44	NJWSL_20041204.0809-E5-27
EM45	NJWSL_20041204.0809-E2-28
EM46	NJWSL_20041204.0809-E5-29
EM47	NJWSL_20041204.0809-E4-30
EM48	NJWSL_20041204.0809-E8-31
EM49	NJWSL_20041204.0809-E4-32
EM50	NJWSL_20041204.0809-E9-33
EM51	NJWSL_20041204.0809-E10-34
EM52	NJWSL_20041204.0809-E2-35
EM53	NJWSL_20041204.0809-E9-36
EM54	NJWSL_20041204.0809-E5-37
EM55	NJWSL_20041204.0809-E7-38
EM56	NJWSL_20041204.0809-E7-39
EM57	NJWSL_20041204.0809-E2-40
EM58	NJWSL_20041204.0809-E11-41
EM59	NJWSL_20041204.0809-E4-42
EM60	NJWSL_20041204.0809-E4-43
EM61	NJWSL_20041204.0809-E4-44
EM62	NJWSL_20041204.0809-E2-45
EM63	NJWSL_20041204.0809-E2-46
