CE13	SHIHUA_20050111.1335-CE1
CE15	SHIHUA_20050111.1335-CE2
CE16	SHIHUA_20050111.1335-CE3
CE17	SHIHUA_20050111.1335-CE4
CE18	SHIHUA_20050111.1335-CE5
CE19	SHIHUA_20050111.1335-CE6
CE20	SHIHUA_20050111.1335-CE7
CE21	SHIHUA_20050111.1335-CE8
CE22	SHIHUA_20050111.1335-CE9
CE23	SHIHUA_20050111.1335-CE10
CE24	SHIHUA_20050111.1335-CE11
CE25	SHIHUA_20050111.1335-CE12
CE26	SHIHUA_20050111.1335-CE13
CE27	SHIHUA_20050111.1335-CE14
CE28	SHIHUA_20050111.1335-CE15
CE29	SHIHUA_20050111.1335-CE16
CE30	SHIHUA_20050111.1335-CE17
CE31	SHIHUA_20050111.1335-CE18
CE32	SHIHUA_20050111.1335-CE19
CE33	SHIHUA_20050111.1335-CE20
CE34	SHIHUA_20050111.1335-CE21
CE35	SHIHUA_20050111.1335-CE22
CE36	SHIHUA_20050111.1335-CE23
CE1	SHIHUA_20050111.1335-CE24
CE37	SHIHUA_20050111.1335-CE25
CE38	SHIHUA_20050111.1335-CE26
CE39	SHIHUA_20050111.1335-CE27
CE40	SHIHUA_20050111.1335-CE28
CE41	SHIHUA_20050111.1335-CE29
CE42	SHIHUA_20050111.1335-CE30
CE2	SHIHUA_20050111.1335-CE31
CE3	SHIHUA_20050111.1335-CE32
CE4	SHIHUA_20050111.1335-CE33
CE5	SHIHUA_20050111.1335-CE34
CE6	SHIHUA_20050111.1335-CE35
CE7	SHIHUA_20050111.1335-CE36
CE8	SHIHUA_20050111.1335-CE37
CE9	SHIHUA_20050111.1335-CE38
CE10	SHIHUA_20050111.1335-CE39
CE11	SHIHUA_20050111.1335-CE40
CE12	SHIHUA_20050111.1335-CE41
E13	SHIHUA_20050111.1335-E1
E15	SHIHUA_20050111.1335-E2
E16	SHIHUA_20050111.1335-E3
E17	SHIHUA_20050111.1335-E4
E18	SHIHUA_20050111.1335-E5
E19	SHIHUA_20050111.1335-E6
E20	SHIHUA_20050111.1335-E7
E21	SHIHUA_20050111.1335-E8
E22	SHIHUA_20050111.1335-E9
E23	SHIHUA_20050111.1335-E10
E24	SHIHUA_20050111.1335-E11
E25	SHIHUA_20050111.1335-E12
E1	SHIHUA_20050111.1335-E13
E26	SHIHUA_20050111.1335-E14
E27	SHIHUA_20050111.1335-E15
E28	SHIHUA_20050111.1335-E16
E29	SHIHUA_20050111.1335-E17
E30	SHIHUA_20050111.1335-E18
E31	SHIHUA_20050111.1335-E19
E32	SHIHUA_20050111.1335-E20
E33	SHIHUA_20050111.1335-E21
E34	SHIHUA_20050111.1335-E22
E35	SHIHUA_20050111.1335-E23
E36	SHIHUA_20050111.1335-E24
E37	SHIHUA_20050111.1335-E25
E38	SHIHUA_20050111.1335-E26
E39	SHIHUA_20050111.1335-E27
E40	SHIHUA_20050111.1335-E28
E41	SHIHUA_20050111.1335-E29
E42	SHIHUA_20050111.1335-E30
E2	SHIHUA_20050111.1335-E31
E3	SHIHUA_20050111.1335-E32
E4	SHIHUA_20050111.1335-E33
E5	SHIHUA_20050111.1335-E34
E6	SHIHUA_20050111.1335-E35
E7	SHIHUA_20050111.1335-E36
E8	SHIHUA_20050111.1335-E37
E9	SHIHUA_20050111.1335-E38
E10	SHIHUA_20050111.1335-E39
E11	SHIHUA_20050111.1335-E40
E12	SHIHUA_20050111.1335-E41
EM1	SHIHUA_20050111.1335-E13-1
EM19	SHIHUA_20050111.1335-E32-2
EM20	SHIHUA_20050111.1335-E2-3
EM21	SHIHUA_20050111.1335-E37-4
EM22	SHIHUA_20050111.1335-E37-5
EM23	SHIHUA_20050111.1335-E37-6
EM24	SHIHUA_20050111.1335-E37-7
EM25	SHIHUA_20050111.1335-E3-8
EM26	SHIHUA_20050111.1335-E4-9
EM27	SHIHUA_20050111.1335-E13-10
EM28	SHIHUA_20050111.1335-E5-11
EM29	SHIHUA_20050111.1335-E6-12
EM30	SHIHUA_20050111.1335-E7-13
EM31	SHIHUA_20050111.1335-E7-14
EM32	SHIHUA_20050111.1335-E7-15
EM33	SHIHUA_20050111.1335-E6-16
EM34	SHIHUA_20050111.1335-E4-17
EM35	SHIHUA_20050111.1335-E4-18
EM36	SHIHUA_20050111.1335-E7-19
EM37	SHIHUA_20050111.1335-E6-20
EM38	SHIHUA_20050111.1335-E4-21
EM39	SHIHUA_20050111.1335-E7-22
EM40	SHIHUA_20050111.1335-E6-23
EM41	SHIHUA_20050111.1335-E4-24
EM42	SHIHUA_20050111.1335-E8-25
EM43	SHIHUA_20050111.1335-E3-26
EM44	SHIHUA_20050111.1335-E9-27
EM45	SHIHUA_20050111.1335-E3-28
EM46	SHIHUA_20050111.1335-E37-29
EM47	SHIHUA_20050111.1335-E37-30
EM48	SHIHUA_20050111.1335-E37-31
EM49	SHIHUA_20050111.1335-E37-32
EM50	SHIHUA_20050111.1335-E37-33
EM51	SHIHUA_20050111.1335-E10-34
EM52	SHIHUA_20050111.1335-E11-35
EM53	SHIHUA_20050111.1335-E37-36
EM54	SHIHUA_20050111.1335-E37-37
EM55	SHIHUA_20050111.1335-E37-38
EM56	SHIHUA_20050111.1335-E37-39
EM57	SHIHUA_20050111.1335-E37-40
EM58	SHIHUA_20050111.1335-E37-41
EM59	SHIHUA_20050111.1335-E37-42
EM60	SHIHUA_20050111.1335-E37-43
EM61	SHIHUA_20050111.1335-E37-44
EM62	SHIHUA_20050111.1335-E37-45
EM63	SHIHUA_20050111.1335-E12-46
EM64	SHIHUA_20050111.1335-E14-47
EM65	SHIHUA_20050111.1335-E15-48
EM66	SHIHUA_20050111.1335-E16-49
EM67	SHIHUA_20050111.1335-E37-50
EM68	SHIHUA_20050111.1335-E37-51
EM69	SHIHUA_20050111.1335-E17-52
EM70	SHIHUA_20050111.1335-E3-53
EM71	SHIHUA_20050111.1335-E18-54
EM72	SHIHUA_20050111.1335-E19-55
EM73	SHIHUA_20050111.1335-E37-56
EM74	SHIHUA_20050111.1335-E20-57
EM75	SHIHUA_20050111.1335-E21-58
EM76	SHIHUA_20050111.1335-E22-59
EM77	SHIHUA_20050111.1335-E37-60
EM78	SHIHUA_20050111.1335-E31-61
EM79	SHIHUA_20050111.1335-E23-62
EM80	SHIHUA_20050111.1335-E37-63
EM81	SHIHUA_20050111.1335-E24-64
EM82	SHIHUA_20050111.1335-E3-65
EM83	SHIHUA_20050111.1335-E25-66
EM84	SHIHUA_20050111.1335-E3-67
EM85	SHIHUA_20050111.1335-E26-68
EM86	SHIHUA_20050111.1335-E27-69
EM87	SHIHUA_20050111.1335-E28-70
EM88	SHIHUA_20050111.1335-E29-71
EM89	SHIHUA_20050111.1335-E31-72
EM90	SHIHUA_20050111.1335-E33-73
EM91	SHIHUA_20050111.1335-E33-74
EM92	SHIHUA_20050111.1335-E37-75
EM93	SHIHUA_20050111.1335-E8-76
EM94	SHIHUA_20050111.1335-E3-77
EM95	SHIHUA_20050111.1335-E37-78
EM96	SHIHUA_20050111.1335-E30-79
EM97	SHIHUA_20050111.1335-E30-80
EM2	SHIHUA_20050111.1335-E31-81
EM3	SHIHUA_20050111.1335-E13-82
EM4	SHIHUA_20050111.1335-E32-83
EM5	SHIHUA_20050111.1335-E33-84
EM6	SHIHUA_20050111.1335-E34-85
EM7	SHIHUA_20050111.1335-E13-86
EM8	SHIHUA_20050111.1335-E35-87
EM9	SHIHUA_20050111.1335-E36-88
EM10	SHIHUA_20050111.1335-E33-89
EM11	SHIHUA_20050111.1335-E37-90
EM12	SHIHUA_20050111.1335-E37-91
EM13	SHIHUA_20050111.1335-E38-92
EM14	SHIHUA_20050111.1335-E39-93
EM15	SHIHUA_20050111.1335-E40-94
EM16	SHIHUA_20050111.1335-E41-95
EM17	SHIHUA_20050111.1335-E34-96
EM18	SHIHUA_20050111.1335-E1-97
R1	SHIHUA_20050111.1335-R1
