CE11	GLOVEBX_20041212.0456-CE1
CE12	GLOVEBX_20041212.0456-CE2
CE13	GLOVEBX_20041212.0456-CE3
CE14	GLOVEBX_20041212.0456-CE4
CE15	GLOVEBX_20041212.0456-CE5
CE17	GLOVEBX_20041212.0456-CE6
CE18	GLOVEBX_20041212.0456-CE7
CE19	GLOVEBX_20041212.0456-CE8
CE20	GLOVEBX_20041212.0456-CE9
CE21	GLOVEBX_20041212.0456-CE10
CE1	GLOVEBX_20041212.0456-CE11
CE2	GLOVEBX_20041212.0456-CE12
CE3	GLOVEBX_20041212.0456-CE13
CE4	GLOVEBX_20041212.0456-CE14
CE5	GLOVEBX_20041212.0456-CE15
CE6	GLOVEBX_20041212.0456-CE16
CE7	GLOVEBX_20041212.0456-CE17
CE8	GLOVEBX_20041212.0456-CE18
CE9	GLOVEBX_20041212.0456-CE19
CE10	GLOVEBX_20041212.0456-CE20
E12	GLOVEBX_20041212.0456-E1
E13	GLOVEBX_20041212.0456-E2
E14	GLOVEBX_20041212.0456-E3
E15	GLOVEBX_20041212.0456-E4
E16	GLOVEBX_20041212.0456-E5
E18	GLOVEBX_20041212.0456-E6
E19	GLOVEBX_20041212.0456-E7
E20	GLOVEBX_20041212.0456-E8
E21	GLOVEBX_20041212.0456-E9
E22	GLOVEBX_20041212.0456-E10
E23	GLOVEBX_20041212.0456-E11
E24	GLOVEBX_20041212.0456-E12
E1	GLOVEBX_20041212.0456-E13
E2	GLOVEBX_20041212.0456-E14
E3	GLOVEBX_20041212.0456-E15
E4	GLOVEBX_20041212.0456-E16
E5	GLOVEBX_20041212.0456-E17
E6	GLOVEBX_20041212.0456-E18
E7	GLOVEBX_20041212.0456-E19
E8	GLOVEBX_20041212.0456-E20
E9	GLOVEBX_20041212.0456-E21
E10	GLOVEBX_20041212.0456-E22
E11	GLOVEBX_20041212.0456-E23
EM1	GLOVEBX_20041212.0456-E13-1
EM20	GLOVEBX_20041212.0456-E20-2
EM21	GLOVEBX_20041212.0456-E20-3
EM22	GLOVEBX_20041212.0456-E1-4
EM23	GLOVEBX_20041212.0456-E2-5
EM24	GLOVEBX_20041212.0456-E20-6
EM25	GLOVEBX_20041212.0456-E18-7
EM26	GLOVEBX_20041212.0456-E20-8
EM27	GLOVEBX_20041212.0456-E3-9
EM28	GLOVEBX_20041212.0456-E4-10
EM29	GLOVEBX_20041212.0456-E5-11
EM31	GLOVEBX_20041212.0456-E6-12
EM32	GLOVEBX_20041212.0456-E7-13
EM33	GLOVEBX_20041212.0456-E8-14
EM34	GLOVEBX_20041212.0456-E9-15
EM35	GLOVEBX_20041212.0456-E18-16
EM36	GLOVEBX_20041212.0456-E10-17
EM37	GLOVEBX_20041212.0456-E10-18
EM38	GLOVEBX_20041212.0456-E18-19
EM39	GLOVEBX_20041212.0456-E18-20
EM40	GLOVEBX_20041212.0456-E11-21
EM41	GLOVEBX_20041212.0456-E12-22
EM2	GLOVEBX_20041212.0456-E14-23
EM3	GLOVEBX_20041212.0456-E15-24
EM4	GLOVEBX_20041212.0456-E16-25
EM5	GLOVEBX_20041212.0456-E15-26
EM6	GLOVEBX_20041212.0456-E17-27
EM7	GLOVEBX_20041212.0456-E16-28
EM8	GLOVEBX_20041212.0456-E18-29
EM9	GLOVEBX_20041212.0456-E19-30
EM10	GLOVEBX_20041212.0456-E18-31
EM11	GLOVEBX_20041212.0456-E18-32
EM12	GLOVEBX_20041212.0456-E13-33
EM13	GLOVEBX_20041212.0456-E20-34
EM14	GLOVEBX_20041212.0456-E21-35
EM15	GLOVEBX_20041212.0456-E22-36
EM16	GLOVEBX_20041212.0456-E13-37
EM17	GLOVEBX_20041212.0456-E18-38
EM18	GLOVEBX_20041212.0456-E18-39
EM19	GLOVEBX_20041212.0456-E23-40
R1	GLOVEBX_20041212.0456-R1
R2	GLOVEBX_20041212.0456-R2
R3	GLOVEBX_20041212.0456-R3
R4	GLOVEBX_20041212.0456-R4
R6	GLOVEBX_20041212.0456-R5
R7	GLOVEBX_20041212.0456-R6
R8	GLOVEBX_20041212.0456-R7
R10	GLOVEBX_20041212.0456-R8
RM1	GLOVEBX_20041212.0456-R1-1
RM2	GLOVEBX_20041212.0456-R2-1
RM3	GLOVEBX_20041212.0456-R3-1
RM4	GLOVEBX_20041212.0456-R4-1
RM6	GLOVEBX_20041212.0456-R5-1
RM7	GLOVEBX_20041212.0456-R6-1
RM8	GLOVEBX_20041212.0456-R7-1
RM10	GLOVEBX_20041212.0456-R8-1
V1	GLOVEBX_20041212.0456-EV1
VM1	GLOVEBX_20041212.0456-EV1-1
VM2	GLOVEBX_20041212.0456-EV1-2
Q1	GLOVEBX_20041212.0456-T1
Q2	GLOVEBX_20041212.0456-T2
Q4	GLOVEBX_20041212.0456-T3
Q5	GLOVEBX_20041212.0456-T4
Q6	GLOVEBX_20041212.0456-T5
Q7	GLOVEBX_20041212.0456-V1
QM7	GLOVEBX_20041212.0456-V1-1
