CE11	LIUYIFENG_20050127.0711-CE1
CE12	LIUYIFENG_20050127.0711-CE2
CE13	LIUYIFENG_20050127.0711-CE3
CE14	LIUYIFENG_20050127.0711-CE4
CE15	LIUYIFENG_20050127.0711-CE5
CE17	LIUYIFENG_20050127.0711-CE6
CE18	LIUYIFENG_20050127.0711-CE7
CE19	LIUYIFENG_20050127.0711-CE8
CE20	LIUYIFENG_20050127.0711-CE9
CE22	LIUYIFENG_20050127.0711-CE10
CE23	LIUYIFENG_20050127.0711-CE11
CE24	LIUYIFENG_20050127.0711-CE12
CE25	LIUYIFENG_20050127.0711-CE13
CE1	LIUYIFENG_20050127.0711-CE14
CE27	LIUYIFENG_20050127.0711-CE15
CE2	LIUYIFENG_20050127.0711-CE16
CE4	LIUYIFENG_20050127.0711-CE17
CE6	LIUYIFENG_20050127.0711-CE18
CE7	LIUYIFENG_20050127.0711-CE19
CE8	LIUYIFENG_20050127.0711-CE20
CE9	LIUYIFENG_20050127.0711-CE21
CE10	LIUYIFENG_20050127.0711-CE22
E12	LIUYIFENG_20050127.0711-E1
E13	LIUYIFENG_20050127.0711-E2
E14	LIUYIFENG_20050127.0711-E3
E15	LIUYIFENG_20050127.0711-E4
E16	LIUYIFENG_20050127.0711-E5
E18	LIUYIFENG_20050127.0711-E6
E19	LIUYIFENG_20050127.0711-E7
E20	LIUYIFENG_20050127.0711-E8
E21	LIUYIFENG_20050127.0711-E9
E23	LIUYIFENG_20050127.0711-E10
E24	LIUYIFENG_20050127.0711-E11
E25	LIUYIFENG_20050127.0711-E12
E26	LIUYIFENG_20050127.0711-E13
E27	LIUYIFENG_20050127.0711-E14
E1	LIUYIFENG_20050127.0711-E15
E29	LIUYIFENG_20050127.0711-E16
E30	LIUYIFENG_20050127.0711-E17
E2	LIUYIFENG_20050127.0711-E18
E4	LIUYIFENG_20050127.0711-E19
E6	LIUYIFENG_20050127.0711-E20
E7	LIUYIFENG_20050127.0711-E21
E8	LIUYIFENG_20050127.0711-E22
E9	LIUYIFENG_20050127.0711-E23
E11	LIUYIFENG_20050127.0711-E24
EM1	LIUYIFENG_20050127.0711-E15-1
EM19	LIUYIFENG_20050127.0711-E1-2
EM20	LIUYIFENG_20050127.0711-E2-3
EM21	LIUYIFENG_20050127.0711-E23-4
EM22	LIUYIFENG_20050127.0711-E23-5
EM23	LIUYIFENG_20050127.0711-E23-6
EM24	LIUYIFENG_20050127.0711-E23-7
EM25	LIUYIFENG_20050127.0711-E3-8
EM26	LIUYIFENG_20050127.0711-E23-9
EM27	LIUYIFENG_20050127.0711-E4-10
EM28	LIUYIFENG_20050127.0711-E2-11
EM29	LIUYIFENG_20050127.0711-E5-12
EM30	LIUYIFENG_20050127.0711-E23-13
EM32	LIUYIFENG_20050127.0711-E24-14
EM33	LIUYIFENG_20050127.0711-E23-15
EM34	LIUYIFENG_20050127.0711-E23-16
EM36	LIUYIFENG_20050127.0711-E6-17
EM37	LIUYIFENG_20050127.0711-E23-18
EM38	LIUYIFENG_20050127.0711-E7-19
EM39	LIUYIFENG_20050127.0711-E8-20
EM40	LIUYIFENG_20050127.0711-E9-21
EM42	LIUYIFENG_20050127.0711-E10-22
EM43	LIUYIFENG_20050127.0711-E19-23
EM44	LIUYIFENG_20050127.0711-E11-24
EM45	LIUYIFENG_20050127.0711-E22-25
EM46	LIUYIFENG_20050127.0711-E22-26
EM47	LIUYIFENG_20050127.0711-E12-27
EM48	LIUYIFENG_20050127.0711-E22-28
EM49	LIUYIFENG_20050127.0711-E13-29
