CE12	LIUYIFENG_20050129.1107-CE1
CE13	LIUYIFENG_20050129.1107-CE2
CE14	LIUYIFENG_20050129.1107-CE3
CE15	LIUYIFENG_20050129.1107-CE4
CE16	LIUYIFENG_20050129.1107-CE5
CE17	LIUYIFENG_20050129.1107-CE6
CE18	LIUYIFENG_20050129.1107-CE7
CE1	LIUYIFENG_20050129.1107-CE8
CE2	LIUYIFENG_20050129.1107-CE9
CE3	LIUYIFENG_20050129.1107-CE10
CE4	LIUYIFENG_20050129.1107-CE11
CE5	LIUYIFENG_20050129.1107-CE12
CE6	LIUYIFENG_20050129.1107-CE13
CE7	LIUYIFENG_20050129.1107-CE14
CE8	LIUYIFENG_20050129.1107-CE15
CE9	LIUYIFENG_20050129.1107-CE16
CE10	LIUYIFENG_20050129.1107-CE17
CE11	LIUYIFENG_20050129.1107-CE18
E13	LIUYIFENG_20050129.1107-E1
E14	LIUYIFENG_20050129.1107-E2
E15	LIUYIFENG_20050129.1107-E3
E16	LIUYIFENG_20050129.1107-E4
E17	LIUYIFENG_20050129.1107-E5
E18	LIUYIFENG_20050129.1107-E6
E19	LIUYIFENG_20050129.1107-E7
E20	LIUYIFENG_20050129.1107-E8
E1	LIUYIFENG_20050129.1107-E9
E2	LIUYIFENG_20050129.1107-E10
E3	LIUYIFENG_20050129.1107-E11
E4	LIUYIFENG_20050129.1107-E12
E5	LIUYIFENG_20050129.1107-E13
E6	LIUYIFENG_20050129.1107-E14
E7	LIUYIFENG_20050129.1107-E15
E8	LIUYIFENG_20050129.1107-E16
E9	LIUYIFENG_20050129.1107-E17
E10	LIUYIFENG_20050129.1107-E18
E11	LIUYIFENG_20050129.1107-E19
E12	LIUYIFENG_20050129.1107-E20
EM1	LIUYIFENG_20050129.1107-E9-1
EM19	LIUYIFENG_20050129.1107-E11-2
EM20	LIUYIFENG_20050129.1107-E2-3
EM21	LIUYIFENG_20050129.1107-E10-4
EM22	LIUYIFENG_20050129.1107-E11-5
EM23	LIUYIFENG_20050129.1107-E15-6
EM24	LIUYIFENG_20050129.1107-E3-7
EM25	LIUYIFENG_20050129.1107-E10-8
EM26	LIUYIFENG_20050129.1107-E4-9
EM27	LIUYIFENG_20050129.1107-E4-10
EM28	LIUYIFENG_20050129.1107-E15-11
EM29	LIUYIFENG_20050129.1107-E11-12
EM30	LIUYIFENG_20050129.1107-E15-13
EM31	LIUYIFENG_20050129.1107-E5-14
EM32	LIUYIFENG_20050129.1107-E6-15
EM33	LIUYIFENG_20050129.1107-E7-16
EM34	LIUYIFENG_20050129.1107-E10-17
EM35	LIUYIFENG_20050129.1107-E8-18
EM2	LIUYIFENG_20050129.1107-E10-19
EM3	LIUYIFENG_20050129.1107-E11-20
EM4	LIUYIFENG_20050129.1107-E12-21
EM5	LIUYIFENG_20050129.1107-E13-22
EM6	LIUYIFENG_20050129.1107-E14-23
EM7	LIUYIFENG_20050129.1107-E15-24
EM8	LIUYIFENG_20050129.1107-E10-25
EM9	LIUYIFENG_20050129.1107-E11-26
EM10	LIUYIFENG_20050129.1107-E16-27
EM11	LIUYIFENG_20050129.1107-E17-28
EM12	LIUYIFENG_20050129.1107-E18-29
EM13	LIUYIFENG_20050129.1107-E18-30
EM14	LIUYIFENG_20050129.1107-E19-31
EM15	LIUYIFENG_20050129.1107-E20-32
EM16	LIUYIFENG_20050129.1107-E10-33
EM17	LIUYIFENG_20050129.1107-E11-34
EM18	LIUYIFENG_20050129.1107-E1-35
R1	LIUYIFENG_20050129.1107-R1
R2	LIUYIFENG_20050129.1107-R2
R3	LIUYIFENG_20050129.1107-R3
R4	LIUYIFENG_20050129.1107-R4
R5	LIUYIFENG_20050129.1107-R5
R6	LIUYIFENG_20050129.1107-R6
R7	LIUYIFENG_20050129.1107-R7
R8	LIUYIFENG_20050129.1107-R8
R9	LIUYIFENG_20050129.1107-R9
R10	LIUYIFENG_20050129.1107-R10
RM1	LIUYIFENG_20050129.1107-R1-1
RM2	LIUYIFENG_20050129.1107-R2-1
RM3	LIUYIFENG_20050129.1107-R3-1
RM4	LIUYIFENG_20050129.1107-R4-1
RM5	LIUYIFENG_20050129.1107-R5-1
RM6	LIUYIFENG_20050129.1107-R6-1
RM7	LIUYIFENG_20050129.1107-R7-1
RM8	LIUYIFENG_20050129.1107-R8-1
RM9	LIUYIFENG_20050129.1107-R9-1
RM10	LIUYIFENG_20050129.1107-R10-1
V1	LIUYIFENG_20050129.1107-EV1
V2	LIUYIFENG_20050129.1107-EV2
VM1	LIUYIFENG_20050129.1107-EV1-1
VM2	LIUYIFENG_20050129.1107-EV2-1
Q1	LIUYIFENG_20050129.1107-T1
Q2	LIUYIFENG_20050129.1107-T2
Q3	LIUYIFENG_20050129.1107-T3
Q4	LIUYIFENG_20050129.1107-T4
Q5	LIUYIFENG_20050129.1107-T5
Q6	LIUYIFENG_20050129.1107-T6
Q7	LIUYIFENG_20050129.1107-T7
