CE12	DAVYZW_20050106.1344-CE1
CE13	DAVYZW_20050106.1344-CE2
CE14	DAVYZW_20050106.1344-CE3
CE15	DAVYZW_20050106.1344-CE4
CE16	DAVYZW_20050106.1344-CE5
CE17	DAVYZW_20050106.1344-CE6
CE18	DAVYZW_20050106.1344-CE7
CE19	DAVYZW_20050106.1344-CE8
CE20	DAVYZW_20050106.1344-CE9
CE21	DAVYZW_20050106.1344-CE10
CE22	DAVYZW_20050106.1344-CE11
CE1	DAVYZW_20050106.1344-CE12
CE2	DAVYZW_20050106.1344-CE13
CE3	DAVYZW_20050106.1344-CE14
CE4	DAVYZW_20050106.1344-CE15
CE5	DAVYZW_20050106.1344-CE16
CE6	DAVYZW_20050106.1344-CE17
CE7	DAVYZW_20050106.1344-CE18
CE8	DAVYZW_20050106.1344-CE19
CE9	DAVYZW_20050106.1344-CE20
CE10	DAVYZW_20050106.1344-CE21
E12	DAVYZW_20050106.1344-E1
E13	DAVYZW_20050106.1344-E2
E14	DAVYZW_20050106.1344-E3
E15	DAVYZW_20050106.1344-E4
E16	DAVYZW_20050106.1344-E5
E17	DAVYZW_20050106.1344-E6
E18	DAVYZW_20050106.1344-E7
E19	DAVYZW_20050106.1344-E8
E20	DAVYZW_20050106.1344-E9
E21	DAVYZW_20050106.1344-E10
E22	DAVYZW_20050106.1344-E11
E23	DAVYZW_20050106.1344-E12
E1	DAVYZW_20050106.1344-E13
E24	DAVYZW_20050106.1344-E14
E2	DAVYZW_20050106.1344-E15
E3	DAVYZW_20050106.1344-E16
E4	DAVYZW_20050106.1344-E17
E5	DAVYZW_20050106.1344-E18
E6	DAVYZW_20050106.1344-E19
E7	DAVYZW_20050106.1344-E20
E8	DAVYZW_20050106.1344-E21
E9	DAVYZW_20050106.1344-E22
E10	DAVYZW_20050106.1344-E23
EM1	DAVYZW_20050106.1344-E13-1
EM20	DAVYZW_20050106.1344-E16-2
EM21	DAVYZW_20050106.1344-E1-3
EM22	DAVYZW_20050106.1344-E2-4
EM23	DAVYZW_20050106.1344-E19-5
EM24	DAVYZW_20050106.1344-E19-6
EM25	DAVYZW_20050106.1344-E3-7
EM26	DAVYZW_20050106.1344-E20-8
EM27	DAVYZW_20050106.1344-E18-9
EM28	DAVYZW_20050106.1344-E4-10
EM30	DAVYZW_20050106.1344-E4-11
EM31	DAVYZW_20050106.1344-E5-12
EM32	DAVYZW_20050106.1344-E5-13
EM33	DAVYZW_20050106.1344-E21-14
EM34	DAVYZW_20050106.1344-E16-15
EM35	DAVYZW_20050106.1344-E22-16
EM36	DAVYZW_20050106.1344-E6-17
EM37	DAVYZW_20050106.1344-E7-18
EM38	DAVYZW_20050106.1344-E8-19
EM39	DAVYZW_20050106.1344-E16-20
EM40	DAVYZW_20050106.1344-E22-21
EM41	DAVYZW_20050106.1344-E16-22
EM42	DAVYZW_20050106.1344-E16-23
EM43	DAVYZW_20050106.1344-E9-24
EM44	DAVYZW_20050106.1344-E9-25
EM45	DAVYZW_20050106.1344-E16-26
EM46	DAVYZW_20050106.1344-E22-27
EM47	DAVYZW_20050106.1344-E16-28
EM48	DAVYZW_20050106.1344-E22-29
EM49	DAVYZW_20050106.1344-E16-30
EM50	DAVYZW_20050106.1344-E16-31
EM51	DAVYZW_20050106.1344-E22-32
EM52	DAVYZW_20050106.1344-E23-33
EM53	DAVYZW_20050106.1344-E17-34
EM54	DAVYZW_20050106.1344-E16-35
EM55	DAVYZW_20050106.1344-E15-36
EM56	DAVYZW_20050106.1344-E18-37
EM57	DAVYZW_20050106.1344-E19-38
EM58	DAVYZW_20050106.1344-E20-39
EM59	DAVYZW_20050106.1344-E21-40
EM60	DAVYZW_20050106.1344-E22-41
EM61	DAVYZW_20050106.1344-E16-42
EM62	DAVYZW_20050106.1344-E22-43
EM63	DAVYZW_20050106.1344-E10-44
EM64	DAVYZW_20050106.1344-E11-45
EM65	DAVYZW_20050106.1344-E10-46
EM66	DAVYZW_20050106.1344-E10-47
EM67	DAVYZW_20050106.1344-E12-48
EM68	DAVYZW_20050106.1344-E22-49
EM69	DAVYZW_20050106.1344-E22-50
EM70	DAVYZW_20050106.1344-E19-51
EM71	DAVYZW_20050106.1344-E18-52
EM72	DAVYZW_20050106.1344-E22-53
EM73	DAVYZW_20050106.1344-E19-54
EM74	DAVYZW_20050106.1344-E19-55
EM75	DAVYZW_20050106.1344-E14-56
EM76	DAVYZW_20050106.1344-E16-57
EM77	DAVYZW_20050106.1344-E19-58
EM2	DAVYZW_20050106.1344-E15-59
EM3	DAVYZW_20050106.1344-E16-60
EM4	DAVYZW_20050106.1344-E17-61
EM5	DAVYZW_20050106.1344-E18-62
EM6	DAVYZW_20050106.1344-E19-63
EM7	DAVYZW_20050106.1344-E20-64
EM8	DAVYZW_20050106.1344-E21-65
EM9	DAVYZW_20050106.1344-E22-66
EM10	DAVYZW_20050106.1344-E16-67
EM11	DAVYZW_20050106.1344-E16-68
EM12	DAVYZW_20050106.1344-E22-69
EM13	DAVYZW_20050106.1344-E16-70
EM14	DAVYZW_20050106.1344-E22-71
EM15	DAVYZW_20050106.1344-E16-72
EM16	DAVYZW_20050106.1344-E16-73
EM17	DAVYZW_20050106.1344-E22-74
EM18	DAVYZW_20050106.1344-E23-75
EM19	DAVYZW_20050106.1344-E16-76
R1	DAVYZW_20050106.1344-R1
R2	DAVYZW_20050106.1344-R2
R3	DAVYZW_20050106.1344-R3
R4	DAVYZW_20050106.1344-R4
R5	DAVYZW_20050106.1344-R5
R6	DAVYZW_20050106.1344-R6
R7	DAVYZW_20050106.1344-R7
R8	DAVYZW_20050106.1344-R8
R9	DAVYZW_20050106.1344-R9
R10	DAVYZW_20050106.1344-R10
R11	DAVYZW_20050106.1344-R11
R12	DAVYZW_20050106.1344-R12
R13	DAVYZW_20050106.1344-R13
R14	DAVYZW_20050106.1344-R14
R15	DAVYZW_20050106.1344-R15
R16	DAVYZW_20050106.1344-R16
R17	DAVYZW_20050106.1344-R17
R18	DAVYZW_20050106.1344-R18
R19	DAVYZW_20050106.1344-R19
R20	DAVYZW_20050106.1344-R20
R21	DAVYZW_20050106.1344-R21
R22	DAVYZW_20050106.1344-R22
R23	DAVYZW_20050106.1344-R23
R24	DAVYZW_20050106.1344-R24
R25	DAVYZW_20050106.1344-R25
R26	DAVYZW_20050106.1344-R26
R27	DAVYZW_20050106.1344-R27
R28	DAVYZW_20050106.1344-R28
R29	DAVYZW_20050106.1344-R29
R30	DAVYZW_20050106.1344-R30
R31	DAVYZW_20050106.1344-R31
R32	DAVYZW_20050106.1344-R32
R33	DAVYZW_20050106.1344-R33
R34	DAVYZW_20050106.1344-R34
RM1	DAVYZW_20050106.1344-R1-1
RM2	DAVYZW_20050106.1344-R2-1
RM3	DAVYZW_20050106.1344-R3-1
RM4	DAVYZW_20050106.1344-R4-1
RM5	DAVYZW_20050106.1344-R5-1
RM6	DAVYZW_20050106.1344-R6-1
RM7	DAVYZW_20050106.1344-R6-2
RM8	DAVYZW_20050106.1344-R6-3
RM9	DAVYZW_20050106.1344-R9-1
RM10	DAVYZW_20050106.1344-R10-1
RM11	DAVYZW_20050106.1344-R11-1
RM12	DAVYZW_20050106.1344-R12-1
RM13	DAVYZW_20050106.1344-R3-2
RM14	DAVYZW_20050106.1344-R4-2
RM15	DAVYZW_20050106.1344-R15-1
RM16	DAVYZW_20050106.1344-R16-1
RM17	DAVYZW_20050106.1344-R17-1
RM18	DAVYZW_20050106.1344-R18-1
RM19	DAVYZW_20050106.1344-R19-1
RM20	DAVYZW_20050106.1344-R20-1
RM21	DAVYZW_20050106.1344-R21-1
RM22	DAVYZW_20050106.1344-R6-4
RM23	DAVYZW_20050106.1344-R6-5
RM24	DAVYZW_20050106.1344-R6-6
RM25	DAVYZW_20050106.1344-R9-2
RM26	DAVYZW_20050106.1344-R10-2
RM27	DAVYZW_20050106.1344-R1-2
RM28	DAVYZW_20050106.1344-R2-2
RM29	DAVYZW_20050106.1344-R3-3
RM30	DAVYZW_20050106.1344-R4-3
RM31	DAVYZW_20050106.1344-R31-1
RM32	DAVYZW_20050106.1344-R32-1
RM33	DAVYZW_20050106.1344-R33-1
RM34	DAVYZW_20050106.1344-R4-4
Q1	DAVYZW_20050106.1344-T1
Q2	DAVYZW_20050106.1344-T2
Q4	DAVYZW_20050106.1344-T3
Q5	DAVYZW_20050106.1344-V1
Q6	DAVYZW_20050106.1344-T4
Q7	DAVYZW_20050106.1344-V2
Q8	DAVYZW_20050106.1344-T5
Q9	DAVYZW_20050106.1344-V3
Q10	DAVYZW_20050106.1344-T6
Q11	DAVYZW_20050106.1344-V4
Q12	DAVYZW_20050106.1344-T7
Q13	DAVYZW_20050106.1344-V5
Q14	DAVYZW_20050106.1344-T8
Q15	DAVYZW_20050106.1344-T9
Q16	DAVYZW_20050106.1344-T10
Q17	DAVYZW_20050106.1344-T11
Q18	DAVYZW_20050106.1344-T12
Q19	DAVYZW_20050106.1344-T13
Q20	DAVYZW_20050106.1344-T14
Q21	DAVYZW_20050106.1344-T15
Q22	DAVYZW_20050106.1344-V6
Q23	DAVYZW_20050106.1344-V7
Q24	DAVYZW_20050106.1344-V8
QM5	DAVYZW_20050106.1344-V1-1
QM7	DAVYZW_20050106.1344-V2-1
QM9	DAVYZW_20050106.1344-V3-1
QM11	DAVYZW_20050106.1344-V4-1
QM13	DAVYZW_20050106.1344-V5-1
QM22	DAVYZW_20050106.1344-V6-1
QM23	DAVYZW_20050106.1344-V7-1
QM24	DAVYZW_20050106.1344-V8-1
