CE9	ALH20001124.1900.0127-CE1
CE10	ALH20001124.1900.0127-CE2
CE11	ALH20001124.1900.0127-CE3
CE12	ALH20001124.1900.0127-CE4
CE13	ALH20001124.1900.0127-CE5
CE14	ALH20001124.1900.0127-CE6
CE15	ALH20001124.1900.0127-CE7
CE16	ALH20001124.1900.0127-CE8
CE17	ALH20001124.1900.0127-CE9
CE18	ALH20001124.1900.0127-CE10
CE19	ALH20001124.1900.0127-CE11
CE20	ALH20001124.1900.0127-CE12
CE21	ALH20001124.1900.0127-CE13
CE22	ALH20001124.1900.0127-CE14
CE23	ALH20001124.1900.0127-CE15
CE24	ALH20001124.1900.0127-CE16
CE1	ALH20001124.1900.0127-CE17
CE2	ALH20001124.1900.0127-CE18
CE3	ALH20001124.1900.0127-CE19
CE4	ALH20001124.1900.0127-CE20
CE5	ALH20001124.1900.0127-CE21
CE7	ALH20001124.1900.0127-CE22
CE8	ALH20001124.1900.0127-CE23
E10	ALH20001124.1900.0127-E1
E11	ALH20001124.1900.0127-E2
E12	ALH20001124.1900.0127-E3
E13	ALH20001124.1900.0127-E4
E14	ALH20001124.1900.0127-E5
E15	ALH20001124.1900.0127-E6
E16	ALH20001124.1900.0127-E7
E17	ALH20001124.1900.0127-E8
E18	ALH20001124.1900.0127-E9
E19	ALH20001124.1900.0127-E10
E20	ALH20001124.1900.0127-E11
E21	ALH20001124.1900.0127-E12
E22	ALH20001124.1900.0127-E13
E23	ALH20001124.1900.0127-E14
E24	ALH20001124.1900.0127-E15
E25	ALH20001124.1900.0127-E16
E1	ALH20001124.1900.0127-E17
E2	ALH20001124.1900.0127-E18
E3	ALH20001124.1900.0127-E19
E4	ALH20001124.1900.0127-E20
E5	ALH20001124.1900.0127-E21
E7	ALH20001124.1900.0127-E22
E8	ALH20001124.1900.0127-E23
E9	ALH20001124.1900.0127-E24
EM18	ALH20001124.1900.0127-E17-1
EM19	ALH20001124.1900.0127-E1-2
EM20	ALH20001124.1900.0127-E2-3
EM21	ALH20001124.1900.0127-E3-4
EM22	ALH20001124.1900.0127-E4-5
EM23	ALH20001124.1900.0127-E5-6
EM24	ALH20001124.1900.0127-E17-7
EM25	ALH20001124.1900.0127-E17-8
EM26	ALH20001124.1900.0127-E6-9
EM27	ALH20001124.1900.0127-E17-10
EM28	ALH20001124.1900.0127-E17-11
EM29	ALH20001124.1900.0127-E7-12
EM30	ALH20001124.1900.0127-E8-13
EM31	ALH20001124.1900.0127-E9-14
EM32	ALH20001124.1900.0127-E10-15
EM33	ALH20001124.1900.0127-E10-16
EM34	ALH20001124.1900.0127-E11-17
EM35	ALH20001124.1900.0127-E18-18
EM36	ALH20001124.1900.0127-E18-19
EM37	ALH20001124.1900.0127-E19-20
EM38	ALH20001124.1900.0127-E17-21
EM39	ALH20001124.1900.0127-E12-22
EM40	ALH20001124.1900.0127-E17-23
EM41	ALH20001124.1900.0127-E17-24
EM42	ALH20001124.1900.0127-E17-25
EM43	ALH20001124.1900.0127-E13-26
EM44	ALH20001124.1900.0127-E13-27
EM45	ALH20001124.1900.0127-E21-28
EM46	ALH20001124.1900.0127-E17-29
EM47	ALH20001124.1900.0127-E17-30
EM48	ALH20001124.1900.0127-E14-31
EM49	ALH20001124.1900.0127-E15-32
EM50	ALH20001124.1900.0127-E16-33
EM51	ALH20001124.1900.0127-E14-34
EM52	ALH20001124.1900.0127-E14-35
EM1	ALH20001124.1900.0127-E17-36
EM3	ALH20001124.1900.0127-E17-37
EM4	ALH20001124.1900.0127-E17-38
EM5	ALH20001124.1900.0127-E17-39
EM6	ALH20001124.1900.0127-E18-40
EM7	ALH20001124.1900.0127-E17-41
EM8	ALH20001124.1900.0127-E19-42
EM9	ALH20001124.1900.0127-E17-43
EM10	ALH20001124.1900.0127-E20-44
EM11	ALH20001124.1900.0127-E21-45
EM14	ALH20001124.1900.0127-E22-46
EM15	ALH20001124.1900.0127-E23-47
EM16	ALH20001124.1900.0127-E24-48
EM17	ALH20001124.1900.0127-E23-49
R8	ALH20001124.1900.0127-R1
R2	ALH20001124.1900.0127-R2
R3	ALH20001124.1900.0127-R3
R4	ALH20001124.1900.0127-R4
R5	ALH20001124.1900.0127-R5
R6	ALH20001124.1900.0127-R6
R9	ALH20001124.1900.0127-R7
R7	ALH20001124.1900.0127-R8
RM2	ALH20001124.1900.0127-R2-1
RM3	ALH20001124.1900.0127-R3-1
RM4	ALH20001124.1900.0127-R4-1
RM5	ALH20001124.1900.0127-R5-1
RM6	ALH20001124.1900.0127-R6-1
RM10	ALH20001124.1900.0127-R7-1
RM8	ALH20001124.1900.0127-R8-1
RM9	ALH20001124.1900.0127-R1-1
V1	ALH20001124.1900.0127-EV1
VM1	ALH20001124.1900.0127-EV1-1
Q1	ALH20001124.1900.0127-T1
Q2	ALH20001124.1900.0127-T2
Q3	ALH20001124.1900.0127-V1
Q4	ALH20001124.1900.0127-V2
Q5	ALH20001124.1900.0127-T3
Q6	ALH20001124.1900.0127-T4
QM3	ALH20001124.1900.0127-V1-1
QM4	ALH20001124.1900.0127-V2-1
