CE13	AFA20001208.1800.0160-CE1
CE15	AFA20001208.1800.0160-CE2
CE16	AFA20001208.1800.0160-CE3
CE1	AFA20001208.1800.0160-CE4
CE2	AFA20001208.1800.0160-CE5
CE3	AFA20001208.1800.0160-CE6
CE4	AFA20001208.1800.0160-CE7
CE5	AFA20001208.1800.0160-CE8
CE6	AFA20001208.1800.0160-CE9
CE7	AFA20001208.1800.0160-CE10
CE8	AFA20001208.1800.0160-CE11
CE9	AFA20001208.1800.0160-CE12
CE10	AFA20001208.1800.0160-CE13
CE11	AFA20001208.1800.0160-CE14
CE12	AFA20001208.1800.0160-CE15
E16	AFA20001208.1800.0160-E1
E17	AFA20001208.1800.0160-E2
E18	AFA20001208.1800.0160-E3
E19	AFA20001208.1800.0160-E4
E20	AFA20001208.1800.0160-E5
E22	AFA20001208.1800.0160-E6
E23	AFA20001208.1800.0160-E7
E24	AFA20001208.1800.0160-E8
E1	AFA20001208.1800.0160-E9
E2	AFA20001208.1800.0160-E10
E3	AFA20001208.1800.0160-E11
E5	AFA20001208.1800.0160-E12
E6	AFA20001208.1800.0160-E13
E7	AFA20001208.1800.0160-E14
E8	AFA20001208.1800.0160-E15
E9	AFA20001208.1800.0160-E16
E10	AFA20001208.1800.0160-E17
E11	AFA20001208.1800.0160-E18
E13	AFA20001208.1800.0160-E19
E14	AFA20001208.1800.0160-E20
EM1	AFA20001208.1800.0160-E9-1
EM17	AFA20001208.1800.0160-E11-2
EM18	AFA20001208.1800.0160-E2-3
EM19	AFA20001208.1800.0160-E13-4
EM20	AFA20001208.1800.0160-E13-5
EM21	AFA20001208.1800.0160-E13-6
EM22	AFA20001208.1800.0160-E18-7
EM23	AFA20001208.1800.0160-E3-8
EM24	AFA20001208.1800.0160-E4-9
EM25	AFA20001208.1800.0160-E20-10
EM26	AFA20001208.1800.0160-E5-11
EM28	AFA20001208.1800.0160-E6-12
EM29	AFA20001208.1800.0160-E13-13
EM31	AFA20001208.1800.0160-E7-14
EM32	AFA20001208.1800.0160-E15-15
EM33	AFA20001208.1800.0160-E16-16
EM34	AFA20001208.1800.0160-E13-17
EM35	AFA20001208.1800.0160-E13-18
EM36	AFA20001208.1800.0160-E13-19
EM37	AFA20001208.1800.0160-E18-20
EM38	AFA20001208.1800.0160-E8-21
EM39	AFA20001208.1800.0160-E17-22
EM40	AFA20001208.1800.0160-E20-23
EM2	AFA20001208.1800.0160-E10-24
EM3	AFA20001208.1800.0160-E11-25
EM4	AFA20001208.1800.0160-E12-26
EM5	AFA20001208.1800.0160-E13-27
EM6	AFA20001208.1800.0160-E14-28
EM7	AFA20001208.1800.0160-E15-29
EM8	AFA20001208.1800.0160-E16-30
EM9	AFA20001208.1800.0160-E13-31
EM10	AFA20001208.1800.0160-E17-32
EM11	AFA20001208.1800.0160-E13-33
EM12	AFA20001208.1800.0160-E17-34
EM13	AFA20001208.1800.0160-E18-35
EM14	AFA20001208.1800.0160-E19-36
EM15	AFA20001208.1800.0160-E20-37
EM16	AFA20001208.1800.0160-E1-38
R1	AFA20001208.1800.0160-R1
R2	AFA20001208.1800.0160-R2
R3	AFA20001208.1800.0160-R3
R4	AFA20001208.1800.0160-R4
R5	AFA20001208.1800.0160-R5
R6	AFA20001208.1800.0160-R6
R7	AFA20001208.1800.0160-R7
R8	AFA20001208.1800.0160-R8
R9	AFA20001208.1800.0160-R9
R10	AFA20001208.1800.0160-R10
R11	AFA20001208.1800.0160-R11
R12	AFA20001208.1800.0160-R12
R13	AFA20001208.1800.0160-R13
RM1	AFA20001208.1800.0160-R1-1
RM2	AFA20001208.1800.0160-R2-1
RM3	AFA20001208.1800.0160-R3-1
RM4	AFA20001208.1800.0160-R4-1
RM5	AFA20001208.1800.0160-R5-1
RM6	AFA20001208.1800.0160-R6-1
RM7	AFA20001208.1800.0160-R7-1
RM8	AFA20001208.1800.0160-R8-1
RM9	AFA20001208.1800.0160-R9-1
RM10	AFA20001208.1800.0160-R10-1
RM11	AFA20001208.1800.0160-R11-1
RM12	AFA20001208.1800.0160-R5-2
RM13	AFA20001208.1800.0160-R13-1
V1	AFA20001208.1800.0160-EV1
V2	AFA20001208.1800.0160-EV2
V3	AFA20001208.1800.0160-EV3
VM1	AFA20001208.1800.0160-EV1-1
VM2	AFA20001208.1800.0160-EV2-1
VM3	AFA20001208.1800.0160-EV3-1
Q1	AFA20001208.1800.0160-T1
Q3	AFA20001208.1800.0160-T2
Q4	AFA20001208.1800.0160-T3
Q5	AFA20001208.1800.0160-T4
Q6	AFA20001208.1800.0160-T5
Q7	AFA20001208.1800.0160-T6
