CE10	ANN20001213.0900.0063-CE1
CE11	ANN20001213.0900.0063-CE2
CE12	ANN20001213.0900.0063-CE3
CE13	ANN20001213.0900.0063-CE4
CE14	ANN20001213.0900.0063-CE5
CE15	ANN20001213.0900.0063-CE6
CE16	ANN20001213.0900.0063-CE7
CE18	ANN20001213.0900.0063-CE8
CE19	ANN20001213.0900.0063-CE9
CE20	ANN20001213.0900.0063-CE10
CE21	ANN20001213.0900.0063-CE11
CE22	ANN20001213.0900.0063-CE12
CE23	ANN20001213.0900.0063-CE13
CE24	ANN20001213.0900.0063-CE14
CE25	ANN20001213.0900.0063-CE15
CE28	ANN20001213.0900.0063-CE16
CE29	ANN20001213.0900.0063-CE17
CE30	ANN20001213.0900.0063-CE18
CE31	ANN20001213.0900.0063-CE19
CE32	ANN20001213.0900.0063-CE20
CE33	ANN20001213.0900.0063-CE21
CE1	ANN20001213.0900.0063-CE22
CE34	ANN20001213.0900.0063-CE23
CE35	ANN20001213.0900.0063-CE24
CE36	ANN20001213.0900.0063-CE25
CE37	ANN20001213.0900.0063-CE26
CE38	ANN20001213.0900.0063-CE27
CE40	ANN20001213.0900.0063-CE28
CE41	ANN20001213.0900.0063-CE29
CE42	ANN20001213.0900.0063-CE30
CE45	ANN20001213.0900.0063-CE31
CE46	ANN20001213.0900.0063-CE32
CE2	ANN20001213.0900.0063-CE33
CE3	ANN20001213.0900.0063-CE34
CE4	ANN20001213.0900.0063-CE35
CE5	ANN20001213.0900.0063-CE36
CE6	ANN20001213.0900.0063-CE37
CE27	ANN20001213.0900.0063-CE38
CE8	ANN20001213.0900.0063-CE39
CE9	ANN20001213.0900.0063-CE40
E13	ANN20001213.0900.0063-E1
E14	ANN20001213.0900.0063-E2
E15	ANN20001213.0900.0063-E3
E16	ANN20001213.0900.0063-E4
E17	ANN20001213.0900.0063-E5
E18	ANN20001213.0900.0063-E6
E19	ANN20001213.0900.0063-E7
E20	ANN20001213.0900.0063-E8
E21	ANN20001213.0900.0063-E9
E22	ANN20001213.0900.0063-E10
E24	ANN20001213.0900.0063-E11
E25	ANN20001213.0900.0063-E12
E26	ANN20001213.0900.0063-E13
E27	ANN20001213.0900.0063-E14
E28	ANN20001213.0900.0063-E15
E29	ANN20001213.0900.0063-E16
E30	ANN20001213.0900.0063-E17
E37	ANN20001213.0900.0063-E18
E31	ANN20001213.0900.0063-E19
E33	ANN20001213.0900.0063-E20
E35	ANN20001213.0900.0063-E21
E38	ANN20001213.0900.0063-E22
E39	ANN20001213.0900.0063-E23
E1	ANN20001213.0900.0063-E24
E40	ANN20001213.0900.0063-E25
E41	ANN20001213.0900.0063-E26
E42	ANN20001213.0900.0063-E27
E43	ANN20001213.0900.0063-E28
E44	ANN20001213.0900.0063-E29
