CE11	ANN20001019.0900.0066-CE1
CE12	ANN20001019.0900.0066-CE2
CE13	ANN20001019.0900.0066-CE3
CE14	ANN20001019.0900.0066-CE4
CE16	ANN20001019.0900.0066-CE5
CE17	ANN20001019.0900.0066-CE6
CE18	ANN20001019.0900.0066-CE7
CE19	ANN20001019.0900.0066-CE8
CE20	ANN20001019.0900.0066-CE9
CE21	ANN20001019.0900.0066-CE10
CE22	ANN20001019.0900.0066-CE11
CE23	ANN20001019.0900.0066-CE12
CE24	ANN20001019.0900.0066-CE13
CE25	ANN20001019.0900.0066-CE14
CE26	ANN20001019.0900.0066-CE15
CE27	ANN20001019.0900.0066-CE16
CE28	ANN20001019.0900.0066-CE17
CE29	ANN20001019.0900.0066-CE18
CE30	ANN20001019.0900.0066-CE19
CE31	ANN20001019.0900.0066-CE20
CE32	ANN20001019.0900.0066-CE21
CE33	ANN20001019.0900.0066-CE22
CE34	ANN20001019.0900.0066-CE23
CE1	ANN20001019.0900.0066-CE24
CE2	ANN20001019.0900.0066-CE25
CE3	ANN20001019.0900.0066-CE26
CE4	ANN20001019.0900.0066-CE27
CE5	ANN20001019.0900.0066-CE28
CE6	ANN20001019.0900.0066-CE29
CE7	ANN20001019.0900.0066-CE30
CE8	ANN20001019.0900.0066-CE31
CE9	ANN20001019.0900.0066-CE32
CE10	ANN20001019.0900.0066-CE33
E14	ANN20001019.0900.0066-E1
E15	ANN20001019.0900.0066-E2
E16	ANN20001019.0900.0066-E3
E17	ANN20001019.0900.0066-E4
E18	ANN20001019.0900.0066-E5
E19	ANN20001019.0900.0066-E6
E21	ANN20001019.0900.0066-E7
E22	ANN20001019.0900.0066-E8
E23	ANN20001019.0900.0066-E9
E24	ANN20001019.0900.0066-E10
E25	ANN20001019.0900.0066-E11
E26	ANN20001019.0900.0066-E12
E27	ANN20001019.0900.0066-E13
E28	ANN20001019.0900.0066-E14
E29	ANN20001019.0900.0066-E15
E30	ANN20001019.0900.0066-E16
E31	ANN20001019.0900.0066-E17
E32	ANN20001019.0900.0066-E18
E33	ANN20001019.0900.0066-E19
E34	ANN20001019.0900.0066-E20
E35	ANN20001019.0900.0066-E21
E36	ANN20001019.0900.0066-E22
E37	ANN20001019.0900.0066-E23
E38	ANN20001019.0900.0066-E24
E39	ANN20001019.0900.0066-E25
E40	ANN20001019.0900.0066-E26
E41	ANN20001019.0900.0066-E27
E1	ANN20001019.0900.0066-E28
E2	ANN20001019.0900.0066-E29
E3	ANN20001019.0900.0066-E30
E4	ANN20001019.0900.0066-E31
E5	ANN20001019.0900.0066-E32
E6	ANN20001019.0900.0066-E33
E7	ANN20001019.0900.0066-E34
E8	ANN20001019.0900.0066-E35
E10	ANN20001019.0900.0066-E36
E11	ANN20001019.0900.0066-E37
E12	ANN20001019.0900.0066-E38
E13	ANN20001019.0900.0066-E39
EM17	ANN20001019.0900.0066-E1-1
EM18	ANN20001019.0900.0066-E3-2
EM19	ANN20001019.0900.0066-E2-3
EM20	ANN20001019.0900.0066-E5-4
EM21	ANN20001019.0900.0066-E4-5
EM22	ANN20001019.0900.0066-E6-6
EM23	ANN20001019.0900.0066-E6-7
EM24	ANN20001019.0900.0066-E6-8
EM27	ANN20001019.0900.0066-E7-9
EM28	ANN20001019.0900.0066-E6-10
EM29	ANN20001019.0900.0066-E6-11
EM30	ANN20001019.0900.0066-E33-12
EM31	ANN20001019.0900.0066-E33-13
EM32	ANN20001019.0900.0066-E8-14
EM33	ANN20001019.0900.0066-E8-15
EM34	ANN20001019.0900.0066-E9-16
EM35	ANN20001019.0900.0066-E11-17
EM36	ANN20001019.0900.0066-E10-18
EM37	ANN20001019.0900.0066-E1-19
EM38	ANN20001019.0900.0066-E1-20
EM39	ANN20001019.0900.0066-E1-21
EM40	ANN20001019.0900.0066-E1-22
EM41	ANN20001019.0900.0066-E28-23
EM42	ANN20001019.0900.0066-E12-24
EM43	ANN20001019.0900.0066-E13-25
EM44	ANN20001019.0900.0066-E14-26
EM45	ANN20001019.0900.0066-E15-27
EM46	ANN20001019.0900.0066-E12-28
EM47	ANN20001019.0900.0066-E12-29
EM48	ANN20001019.0900.0066-E12-30
EM49	ANN20001019.0900.0066-E33-31
EM50	ANN20001019.0900.0066-E33-32
EM51	ANN20001019.0900.0066-E12-33
EM52	ANN20001019.0900.0066-E16-34
EM53	ANN20001019.0900.0066-E6-35
EM54	ANN20001019.0900.0066-E6-36
EM55	ANN20001019.0900.0066-E17-37
EM56	ANN20001019.0900.0066-E18-38
EM57	ANN20001019.0900.0066-E6-39
EM58	ANN20001019.0900.0066-E6-40
EM59	ANN20001019.0900.0066-E19-41
EM60	ANN20001019.0900.0066-E20-42
EM61	ANN20001019.0900.0066-E21-43
EM62	ANN20001019.0900.0066-E6-44
EM63	ANN20001019.0900.0066-E6-45
EM64	ANN20001019.0900.0066-E22-46
