CE11	ALH20001129.0700.0029-CE1
CE12	ALH20001129.0700.0029-CE2
CE14	ALH20001129.0700.0029-CE3
CE15	ALH20001129.0700.0029-CE4
CE16	ALH20001129.0700.0029-CE5
CE17	ALH20001129.0700.0029-CE6
CE18	ALH20001129.0700.0029-CE7
CE19	ALH20001129.0700.0029-CE8
CE20	ALH20001129.0700.0029-CE9
CE21	ALH20001129.0700.0029-CE10
CE22	ALH20001129.0700.0029-CE11
CE23	ALH20001129.0700.0029-CE12
CE32	ALH20001129.0700.0029-CE13
CE24	ALH20001129.0700.0029-CE14
CE26	ALH20001129.0700.0029-CE15
CE33	ALH20001129.0700.0029-CE16
CE27	ALH20001129.0700.0029-CE17
CE28	ALH20001129.0700.0029-CE18
CE29	ALH20001129.0700.0029-CE19
CE30	ALH20001129.0700.0029-CE20
CE31	ALH20001129.0700.0029-CE21
CE34	ALH20001129.0700.0029-CE22
CE35	ALH20001129.0700.0029-CE23
CE36	ALH20001129.0700.0029-CE24
CE37	ALH20001129.0700.0029-CE25
CE38	ALH20001129.0700.0029-CE26
CE40	ALH20001129.0700.0029-CE27
CE41	ALH20001129.0700.0029-CE28
CE42	ALH20001129.0700.0029-CE29
CE43	ALH20001129.0700.0029-CE30
CE44	ALH20001129.0700.0029-CE31
CE45	ALH20001129.0700.0029-CE32
CE46	ALH20001129.0700.0029-CE33
CE47	ALH20001129.0700.0029-CE34
CE48	ALH20001129.0700.0029-CE35
CE49	ALH20001129.0700.0029-CE36
CE50	ALH20001129.0700.0029-CE37
CE51	ALH20001129.0700.0029-CE38
CE52	ALH20001129.0700.0029-CE39
CE53	ALH20001129.0700.0029-CE40
CE54	ALH20001129.0700.0029-CE41
CE55	ALH20001129.0700.0029-CE42
CE56	ALH20001129.0700.0029-CE43
CE57	ALH20001129.0700.0029-CE44
CE58	ALH20001129.0700.0029-CE45
CE1	ALH20001129.0700.0029-CE46
CE59	ALH20001129.0700.0029-CE47
CE60	ALH20001129.0700.0029-CE48
CE61	ALH20001129.0700.0029-CE49
CE62	ALH20001129.0700.0029-CE50
CE63	ALH20001129.0700.0029-CE51
CE65	ALH20001129.0700.0029-CE52
CE66	ALH20001129.0700.0029-CE53
CE67	ALH20001129.0700.0029-CE54
CE68	ALH20001129.0700.0029-CE55
CE69	ALH20001129.0700.0029-CE56
CE70	ALH20001129.0700.0029-CE57
CE71	ALH20001129.0700.0029-CE58
CE2	ALH20001129.0700.0029-CE59
CE3	ALH20001129.0700.0029-CE60
CE4	ALH20001129.0700.0029-CE61
CE5	ALH20001129.0700.0029-CE62
CE6	ALH20001129.0700.0029-CE63
CE7	ALH20001129.0700.0029-CE64
CE8	ALH20001129.0700.0029-CE65
CE9	ALH20001129.0700.0029-CE66
CE10	ALH20001129.0700.0029-CE67
E14	ALH20001129.0700.0029-E1
E15	ALH20001129.0700.0029-E2
E16	ALH20001129.0700.0029-E3
E104	ALH20001129.0700.0029-E4
E18	ALH20001129.0700.0029-E5
E19	ALH20001129.0700.0029-E6
E20	ALH20001129.0700.0029-E7
E21	ALH20001129.0700.0029-E8
E22	ALH20001129.0700.0029-E9
E23	ALH20001129.0700.0029-E10
E24	ALH20001129.0700.0029-E11
E25	ALH20001129.0700.0029-E12
E26	ALH20001129.0700.0029-E13
E27	ALH20001129.0700.0029-E14
E28	ALH20001129.0700.0029-E15
E29	ALH20001129.0700.0029-E16
E30	ALH20001129.0700.0029-E17
E31	ALH20001129.0700.0029-E18
E49	ALH20001129.0700.0029-E19
E32	ALH20001129.0700.0029-E20
E35	ALH20001129.0700.0029-E21
E50	ALH20001129.0700.0029-E22
E37	ALH20001129.0700.0029-E23
E38	ALH20001129.0700.0029-E24
E39	ALH20001129.0700.0029-E25
E41	ALH20001129.0700.0029-E26
E42	ALH20001129.0700.0029-E27
E43	ALH20001129.0700.0029-E28
E45	ALH20001129.0700.0029-E29
E46	ALH20001129.0700.0029-E30
E47	ALH20001129.0700.0029-E31
E48	ALH20001129.0700.0029-E32
E51	ALH20001129.0700.0029-E33
E52	ALH20001129.0700.0029-E34
E53	ALH20001129.0700.0029-E35
E54	ALH20001129.0700.0029-E36
E55	ALH20001129.0700.0029-E37
E57	ALH20001129.0700.0029-E38
E58	ALH20001129.0700.0029-E39
E59	ALH20001129.0700.0029-E40
E60	ALH20001129.0700.0029-E41
E61	ALH20001129.0700.0029-E42
E62	ALH20001129.0700.0029-E43
E63	ALH20001129.0700.0029-E44
E64	ALH20001129.0700.0029-E45
E65	ALH20001129.0700.0029-E46
E66	ALH20001129.0700.0029-E47
E67	ALH20001129.0700.0029-E48
E68	ALH20001129.0700.0029-E49
E69	ALH20001129.0700.0029-E50
E70	ALH20001129.0700.0029-E51
E71	ALH20001129.0700.0029-E52
E72	ALH20001129.0700.0029-E53
E73	ALH20001129.0700.0029-E54
E74	ALH20001129.0700.0029-E55
E75	ALH20001129.0700.0029-E56
E1	ALH20001129.0700.0029-E57
E76	ALH20001129.0700.0029-E58
E77	ALH20001129.0700.0029-E59
E78	ALH20001129.0700.0029-E60
E79	ALH20001129.0700.0029-E61
E80	ALH20001129.0700.0029-E62
E81	ALH20001129.0700.0029-E63
E82	ALH20001129.0700.0029-E64
E83	ALH20001129.0700.0029-E65
E84	ALH20001129.0700.0029-E66
E85	ALH20001129.0700.0029-E67
E86	ALH20001129.0700.0029-E68
E87	ALH20001129.0700.0029-E69
E88	ALH20001129.0700.0029-E70
E89	ALH20001129.0700.0029-E71
E90	ALH20001129.0700.0029-E72
E91	ALH20001129.0700.0029-E73
E92	ALH20001129.0700.0029-E74
E2	ALH20001129.0700.0029-E75
E94	ALH20001129.0700.0029-E76
E95	ALH20001129.0700.0029-E77
