CE8	AFA20001227.1800.0106-CE1
CE9	AFA20001227.1800.0106-CE2
CE10	AFA20001227.1800.0106-CE3
CE11	AFA20001227.1800.0106-CE4
CE12	AFA20001227.1800.0106-CE5
CE13	AFA20001227.1800.0106-CE6
CE14	AFA20001227.1800.0106-CE7
CE15	AFA20001227.1800.0106-CE8
CE16	AFA20001227.1800.0106-CE9
CE17	AFA20001227.1800.0106-CE10
CE18	AFA20001227.1800.0106-CE11
CE19	AFA20001227.1800.0106-CE12
CE20	AFA20001227.1800.0106-CE13
CE21	AFA20001227.1800.0106-CE14
CE22	AFA20001227.1800.0106-CE15
CE23	AFA20001227.1800.0106-CE16
CE24	AFA20001227.1800.0106-CE17
CE1	AFA20001227.1800.0106-CE18
CE2	AFA20001227.1800.0106-CE19
CE3	AFA20001227.1800.0106-CE20
CE4	AFA20001227.1800.0106-CE21
CE5	AFA20001227.1800.0106-CE22
CE6	AFA20001227.1800.0106-CE23
CE7	AFA20001227.1800.0106-CE24
E11	AFA20001227.1800.0106-E1
E12	AFA20001227.1800.0106-E2
E14	AFA20001227.1800.0106-E3
E15	AFA20001227.1800.0106-E4
E16	AFA20001227.1800.0106-E5
E17	AFA20001227.1800.0106-E6
E18	AFA20001227.1800.0106-E7
E19	AFA20001227.1800.0106-E8
E20	AFA20001227.1800.0106-E9
E21	AFA20001227.1800.0106-E10
E22	AFA20001227.1800.0106-E11
E23	AFA20001227.1800.0106-E12
E24	AFA20001227.1800.0106-E13
E25	AFA20001227.1800.0106-E14
E26	AFA20001227.1800.0106-E15
E27	AFA20001227.1800.0106-E16
E28	AFA20001227.1800.0106-E17
E29	AFA20001227.1800.0106-E18
E30	AFA20001227.1800.0106-E19
E31	AFA20001227.1800.0106-E20
E32	AFA20001227.1800.0106-E21
E33	AFA20001227.1800.0106-E22
E35	AFA20001227.1800.0106-E23
E1	AFA20001227.1800.0106-E24
E2	AFA20001227.1800.0106-E25
E3	AFA20001227.1800.0106-E26
E4	AFA20001227.1800.0106-E27
E5	AFA20001227.1800.0106-E28
E6	AFA20001227.1800.0106-E29
E7	AFA20001227.1800.0106-E30
E8	AFA20001227.1800.0106-E31
E9	AFA20001227.1800.0106-E32
E10	AFA20001227.1800.0106-E33
EM12	AFA20001227.1800.0106-E33-1
EM13	AFA20001227.1800.0106-E2-2
EM14	AFA20001227.1800.0106-E3-3
EM15	AFA20001227.1800.0106-E26-4
EM16	AFA20001227.1800.0106-E25-5
EM17	AFA20001227.1800.0106-E32-6
EM18	AFA20001227.1800.0106-E32-7
EM19	AFA20001227.1800.0106-E33-8
EM20	AFA20001227.1800.0106-E33-9
EM21	AFA20001227.1800.0106-E4-10
EM22	AFA20001227.1800.0106-E5-11
EM23	AFA20001227.1800.0106-E6-12
EM24	AFA20001227.1800.0106-E26-13
EM25	AFA20001227.1800.0106-E7-14
EM26	AFA20001227.1800.0106-E32-15
EM27	AFA20001227.1800.0106-E32-16
