CE11	NTV20001206.1530.0805-CE1
CE12	NTV20001206.1530.0805-CE2
CE13	NTV20001206.1530.0805-CE3
CE14	NTV20001206.1530.0805-CE4
CE15	NTV20001206.1530.0805-CE5
CE9	NTV20001206.1530.0805-CE6
CE16	NTV20001206.1530.0805-CE7
CE17	NTV20001206.1530.0805-CE8
CE18	NTV20001206.1530.0805-CE9
CE19	NTV20001206.1530.0805-CE10
CE20	NTV20001206.1530.0805-CE11
CE21	NTV20001206.1530.0805-CE12
CE22	NTV20001206.1530.0805-CE13
CE23	NTV20001206.1530.0805-CE14
CE2	NTV20001206.1530.0805-CE15
CE1	NTV20001206.1530.0805-CE16
CE3	NTV20001206.1530.0805-CE17
CE4	NTV20001206.1530.0805-CE18
CE6	NTV20001206.1530.0805-CE19
CE7	NTV20001206.1530.0805-CE20
CE5	NTV20001206.1530.0805-CE21
CE8	NTV20001206.1530.0805-CE22
CE10	NTV20001206.1530.0805-CE23
E13	NTV20001206.1530.0805-E1
E14	NTV20001206.1530.0805-E2
E16	NTV20001206.1530.0805-E3
E17	NTV20001206.1530.0805-E4
E18	NTV20001206.1530.0805-E5
E21	NTV20001206.1530.0805-E6
E22	NTV20001206.1530.0805-E7
E23	NTV20001206.1530.0805-E8
E24	NTV20001206.1530.0805-E9
E25	NTV20001206.1530.0805-E10
E26	NTV20001206.1530.0805-E11
E28	NTV20001206.1530.0805-E12
E46	NTV20001206.1530.0805-E13
E29	NTV20001206.1530.0805-E14
E31	NTV20001206.1530.0805-E15
E32	NTV20001206.1530.0805-E16
E33	NTV20001206.1530.0805-E17
E34	NTV20001206.1530.0805-E18
E35	NTV20001206.1530.0805-E19
E36	NTV20001206.1530.0805-E20
E37	NTV20001206.1530.0805-E21
E1	NTV20001206.1530.0805-E22
E55	NTV20001206.1530.0805-E23
E56	NTV20001206.1530.0805-E24
E40	NTV20001206.1530.0805-E25
E41	NTV20001206.1530.0805-E26
E42	NTV20001206.1530.0805-E27
E54	NTV20001206.1530.0805-E28
E2	NTV20001206.1530.0805-E29
E1	NTV20001206.1530.0805-E30
E4	NTV20001206.1530.0805-E31
E5	NTV20001206.1530.0805-E32
E6	NTV20001206.1530.0805-E33
E7	NTV20001206.1530.0805-E34
E8	NTV20001206.1530.0805-E35
E9	NTV20001206.1530.0805-E36
E10	NTV20001206.1530.0805-E37
E11	NTV20001206.1530.0805-E38
E12	NTV20001206.1530.0805-E39
EM2	NTV20001206.1530.0805-E22-1
EM23	NTV20001206.1530.0805-E1-2
EM25	NTV20001206.1530.0805-E34-3
EM26	NTV20001206.1530.0805-E34-4
EM27	NTV20001206.1530.0805-E32-5
EM28	NTV20001206.1530.0805-E3-6
EM29	NTV20001206.1530.0805-E4-7
EM30	NTV20001206.1530.0805-E5-8
EM31	NTV20001206.1530.0805-E35-9
EM32	NTV20001206.1530.0805-E38-10
EM73	NTV20001206.1530.0805-E2-11
EM33	NTV20001206.1530.0805-E6-12
EM35	NTV20001206.1530.0805-E32-13
EM38	NTV20001206.1530.0805-E7-14
EM37	NTV20001206.1530.0805-E8-15
EM39	NTV20001206.1530.0805-E35-16
EM40	NTV20001206.1530.0805-E39-17
EM17	NTV20001206.1530.0805-E13-18
EM41	NTV20001206.1530.0805-E39-19
EM44	NTV20001206.1530.0805-E9-20
EM34	NTV20001206.1530.0805-E32-21
EM46	NTV20001206.1530.0805-E34-22
EM47	NTV20001206.1530.0805-E35-23
EM48	NTV20001206.1530.0805-E10-24
EM49	NTV20001206.1530.0805-E32-25
EM50	NTV20001206.1530.0805-E32-26
EM53	NTV20001206.1530.0805-E11-27
EM22	NTV20001206.1530.0805-E23-28
EM52	NTV20001206.1530.0805-E12-29
EM54	NTV20001206.1530.0805-E14-30
EM55	NTV20001206.1530.0805-E14-31
EM36	NTV20001206.1530.0805-E32-32
EM56	NTV20001206.1530.0805-E15-33
EM57	NTV20001206.1530.0805-E16-34
EM58	NTV20001206.1530.0805-E17-35
EM59	NTV20001206.1530.0805-E32-36
EM60	NTV20001206.1530.0805-E18-37
EM61	NTV20001206.1530.0805-E19-38
EM62	NTV20001206.1530.0805-E19-39
EM65	NTV20001206.1530.0805-E20-40
EM63	NTV20001206.1530.0805-E36-41
EM66	NTV20001206.1530.0805-E35-42
EM67	NTV20001206.1530.0805-E21-43
EM68	NTV20001206.1530.0805-E32-44
EM69	NTV20001206.1530.0805-E35-45
EM70	NTV20001206.1530.0805-E32-46
EM71	NTV20001206.1530.0805-E14-47
EM72	NTV20001206.1530.0805-E21-48
EM43	NTV20001206.1530.0805-E24-49
EM74	NTV20001206.1530.0805-E2-50
EM75	NTV20001206.1530.0805-E39-51
EM77	NTV20001206.1530.0805-E39-52
EM78	NTV20001206.1530.0805-E39-53
EM79	NTV20001206.1530.0805-E30-54
EM80	NTV20001206.1530.0805-E39-55
EM81	NTV20001206.1530.0805-E39-56
EM82	NTV20001206.1530.0805-E39-57
EM83	NTV20001206.1530.0805-E25-58
EM84	NTV20001206.1530.0805-E25-59
EM85	NTV20001206.1530.0805-E39-60
EM86	NTV20001206.1530.0805-E26-61
EM87	NTV20001206.1530.0805-E26-62
EM89	NTV20001206.1530.0805-E39-63
EM88	NTV20001206.1530.0805-E27-64
EM91	NTV20001206.1530.0805-E32-65
EM90	NTV20001206.1530.0805-E21-66
EM92	NTV20001206.1530.0805-E21-67
EM93	NTV20001206.1530.0805-E21-68
EM94	NTV20001206.1530.0805-E21-69
EM95	NTV20001206.1530.0805-E34-70
EM96	NTV20001206.1530.0805-E35-71
