CE16	NTV20001206.1530.1289-CE1
CE14	NTV20001206.1530.1289-CE2
CE9	NTV20001206.1530.1289-CE3
CE10	NTV20001206.1530.1289-CE4
CE21	NTV20001206.1530.1289-CE5
CE11	NTV20001206.1530.1289-CE6
CE12	NTV20001206.1530.1289-CE7
CE15	NTV20001206.1530.1289-CE8
CE17	NTV20001206.1530.1289-CE9
CE18	NTV20001206.1530.1289-CE10
CE19	NTV20001206.1530.1289-CE11
CE13	NTV20001206.1530.1289-CE12
CE22	NTV20001206.1530.1289-CE13
CE23	NTV20001206.1530.1289-CE14
CE25	NTV20001206.1530.1289-CE15
CE26	NTV20001206.1530.1289-CE16
CE28	NTV20001206.1530.1289-CE17
CE29	NTV20001206.1530.1289-CE18
CE30	NTV20001206.1530.1289-CE19
CE27	NTV20001206.1530.1289-CE20
CE1	NTV20001206.1530.1289-CE21
CE32	NTV20001206.1530.1289-CE22
CE33	NTV20001206.1530.1289-CE23
CE34	NTV20001206.1530.1289-CE24
CE31	NTV20001206.1530.1289-CE25
CE35	NTV20001206.1530.1289-CE26
CE36	NTV20001206.1530.1289-CE27
CE24	NTV20001206.1530.1289-CE28
CE2	NTV20001206.1530.1289-CE29
CE3	NTV20001206.1530.1289-CE30
CE4	NTV20001206.1530.1289-CE31
CE5	NTV20001206.1530.1289-CE32
CE6	NTV20001206.1530.1289-CE33
CE7	NTV20001206.1530.1289-CE34
CE8	NTV20001206.1530.1289-CE35
CE20	NTV20001206.1530.1289-CE36
E13	NTV20001206.1530.1289-E1
E14	NTV20001206.1530.1289-E2
E52	NTV20001206.1530.1289-E3
E16	NTV20001206.1530.1289-E4
E17	NTV20001206.1530.1289-E5
E19	NTV20001206.1530.1289-E6
E21	NTV20001206.1530.1289-E7
E22	NTV20001206.1530.1289-E8
E23	NTV20001206.1530.1289-E9
E25	NTV20001206.1530.1289-E10
E26	NTV20001206.1530.1289-E11
E27	NTV20001206.1530.1289-E12
E1	NTV20001206.1530.1289-E13
E30	NTV20001206.1530.1289-E14
E31	NTV20001206.1530.1289-E15
E33	NTV20001206.1530.1289-E16
E34	NTV20001206.1530.1289-E17
E36	NTV20001206.1530.1289-E18
E37	NTV20001206.1530.1289-E19
E38	NTV20001206.1530.1289-E20
E39	NTV20001206.1530.1289-E21
E40	NTV20001206.1530.1289-E22
E42	NTV20001206.1530.1289-E23
E43	NTV20001206.1530.1289-E24
E44	NTV20001206.1530.1289-E25
E45	NTV20001206.1530.1289-E26
E53	NTV20001206.1530.1289-E27
E46	NTV20001206.1530.1289-E28
E48	NTV20001206.1530.1289-E29
E50	NTV20001206.1530.1289-E30
E2	NTV20001206.1530.1289-E31
E55	NTV20001206.1530.1289-E32
E3	NTV20001206.1530.1289-E33
E4	NTV20001206.1530.1289-E34
E5	NTV20001206.1530.1289-E35
E6	NTV20001206.1530.1289-E36
E7	NTV20001206.1530.1289-E37
E51	NTV20001206.1530.1289-E38
E8	NTV20001206.1530.1289-E39
E9	NTV20001206.1530.1289-E40
E10	NTV20001206.1530.1289-E41
EM1	NTV20001206.1530.1289-E13-1
EM65	NTV20001206.1530.1289-E35-2
EM64	NTV20001206.1530.1289-E35-3
EM90	NTV20001206.1530.1289-E1-4
EM91	NTV20001206.1530.1289-E1-5
EM93	NTV20001206.1530.1289-E2-6
EM92	NTV20001206.1530.1289-E33-7
EM95	NTV20001206.1530.1289-E1-8
EM96	NTV20001206.1530.1289-E1-9
EM97	NTV20001206.1530.1289-E1-10
EM51	NTV20001206.1530.1289-E3-11
EM15	NTV20001206.1530.1289-E37-12
EM16	NTV20001206.1530.1289-E37-13
EM17	NTV20001206.1530.1289-E4-14
EM18	NTV20001206.1530.1289-E4-15
EM19	NTV20001206.1530.1289-E5-16
EM4	NTV20001206.1530.1289-E34-17
EM21	NTV20001206.1530.1289-E6-18
EM22	NTV20001206.1530.1289-E37-19
EM24	NTV20001206.1530.1289-E37-20
EM29	NTV20001206.1530.1289-E4-21
EM23	NTV20001206.1530.1289-E7-22
EM25	NTV20001206.1530.1289-E8-23
EM30	NTV20001206.1530.1289-E9-24
EM32	NTV20001206.1530.1289-E33-25
EM58	NTV20001206.1530.1289-E27-26
EM5	NTV20001206.1530.1289-E33-27
EM33	NTV20001206.1530.1289-E10-28
EM34	NTV20001206.1530.1289-E10-29
EM35	NTV20001206.1530.1289-E33-30
EM36	NTV20001206.1530.1289-E33-31
EM37	NTV20001206.1530.1289-E11-32
EM38	NTV20001206.1530.1289-E4-33
EM39	NTV20001206.1530.1289-E4-34
EM42	NTV20001206.1530.1289-E12-35
EM40	NTV20001206.1530.1289-E5-36
EM43	NTV20001206.1530.1289-E11-37
EM44	NTV20001206.1530.1289-E11-38
EM46	NTV20001206.1530.1289-E11-39
EM45	NTV20001206.1530.1289-E14-40
EM26	NTV20001206.1530.1289-E15-41
EM47	NTV20001206.1530.1289-E15-42
EM52	NTV20001206.1530.1289-E38-43
EM55	NTV20001206.1530.1289-E16-44
EM56	NTV20001206.1530.1289-E38-45
EM57	NTV20001206.1530.1289-E17-46
EM59	NTV20001206.1530.1289-E11-47
EM60	NTV20001206.1530.1289-E18-48
EM61	NTV20001206.1530.1289-E19-49
EM63	NTV20001206.1530.1289-E20-50
EM66	NTV20001206.1530.1289-E21-51
EM67	NTV20001206.1530.1289-E22-52
EM69	NTV20001206.1530.1289-E35-53
EM75	NTV20001206.1530.1289-E35-54
EM76	NTV20001206.1530.1289-E35-55
EM62	NTV20001206.1530.1289-E23-56
EM70	NTV20001206.1530.1289-E24-57
EM71	NTV20001206.1530.1289-E25-58
EM72	NTV20001206.1530.1289-E37-59
EM73	NTV20001206.1530.1289-E26-60
EM74	NTV20001206.1530.1289-E26-61
EM77	NTV20001206.1530.1289-E28-62
EM79	NTV20001206.1530.1289-E29-63
EM81	NTV20001206.1530.1289-E30-64
EM83	NTV20001206.1530.1289-E39-65
EM82	NTV20001206.1530.1289-E39-66
EM84	NTV20001206.1530.1289-E11-67
EM85	NTV20001206.1530.1289-E4-68
EM86	NTV20001206.1530.1289-E4-69
EM87	NTV20001206.1530.1289-E4-70
EM88	NTV20001206.1530.1289-E4-71
EM89	NTV20001206.1530.1289-E9-72
EM94	NTV20001206.1530.1289-E33-73
EM98	NTV20001206.1530.1289-E9-74
EM99	NTV20001206.1530.1289-E4-75
EM2	NTV20001206.1530.1289-E31-76
EM100	NTV20001206.1530.1289-E33-77
EM78	NTV20001206.1530.1289-E37-78
EM53	NTV20001206.1530.1289-E39-79
EM54	NTV20001206.1530.1289-E39-80
EM49	NTV20001206.1530.1289-E39-81
EM50	NTV20001206.1530.1289-E39-82
EM80	NTV20001206.1530.1289-E4-83
EM41	NTV20001206.1530.1289-E33-84
EM20	NTV20001206.1530.1289-E33-85
EM68	NTV20001206.1530.1289-E28-86
EM27	NTV20001206.1530.1289-E1-87
EM28	NTV20001206.1530.1289-E32-88
EM3	NTV20001206.1530.1289-E33-89
EM31	NTV20001206.1530.1289-E38-90
EM6	NTV20001206.1530.1289-E35-91
EM7	NTV20001206.1530.1289-E36-92
EM8	NTV20001206.1530.1289-E37-93
EM10	NTV20001206.1530.1289-E39-94
EM11	NTV20001206.1530.1289-E39-95
EM12	NTV20001206.1530.1289-E40-96
EM13	NTV20001206.1530.1289-E33-97
EM14	NTV20001206.1530.1289-E39-98
EM9	NTV20001206.1530.1289-E39-99
EM48	NTV20001206.1530.1289-E41-100
R3	NTV20001206.1530.1289-R1
R1	NTV20001206.1530.1289-R2
R2	NTV20001206.1530.1289-R3
R4	NTV20001206.1530.1289-R4
R9	NTV20001206.1530.1289-R5
R11	NTV20001206.1530.1289-R6
R13	NTV20001206.1530.1289-R7
R15	NTV20001206.1530.1289-R8
R5	NTV20001206.1530.1289-R9
R6	NTV20001206.1530.1289-R10
R7	NTV20001206.1530.1289-R11
R8	NTV20001206.1530.1289-R12
R10	NTV20001206.1530.1289-R13
R12	NTV20001206.1530.1289-R14
RM3	NTV20001206.1530.1289-R1-1
RM1	NTV20001206.1530.1289-R2-1
RM2	NTV20001206.1530.1289-R3-1
RM4	NTV20001206.1530.1289-R4-1
RM9	NTV20001206.1530.1289-R5-1
RM11	NTV20001206.1530.1289-R6-1
RM13	NTV20001206.1530.1289-R7-1
RM15	NTV20001206.1530.1289-R8-1
RM5	NTV20001206.1530.1289-R9-1
RM6	NTV20001206.1530.1289-R10-1
RM7	NTV20001206.1530.1289-R9-2
RM8	NTV20001206.1530.1289-R10-2
RM10	NTV20001206.1530.1289-R13-1
RM12	NTV20001206.1530.1289-R14-1
V1	NTV20001206.1530.1289-EV1
V2	NTV20001206.1530.1289-EV2
V4	NTV20001206.1530.1289-EV3
V6	NTV20001206.1530.1289-EV4
V7	NTV20001206.1530.1289-EV5
V9	NTV20001206.1530.1289-EV6
V10	NTV20001206.1530.1289-EV7
V11	NTV20001206.1530.1289-EV8
V12	NTV20001206.1530.1289-EV9
V13	NTV20001206.1530.1289-EV10
V14	NTV20001206.1530.1289-EV11
V15	NTV20001206.1530.1289-EV12
V8	NTV20001206.1530.1289-EV13
V3	NTV20001206.1530.1289-EV14
V5	NTV20001206.1530.1289-EV15
VM1	NTV20001206.1530.1289-EV1-1
VM2	NTV20001206.1530.1289-EV2-1
VM4	NTV20001206.1530.1289-EV3-1
VM6	NTV20001206.1530.1289-EV4-1
VM7	NTV20001206.1530.1289-EV5-1
VM9	NTV20001206.1530.1289-EV6-1
VM10	NTV20001206.1530.1289-EV7-1
VM11	NTV20001206.1530.1289-EV8-1
VM12	NTV20001206.1530.1289-EV9-1
VM13	NTV20001206.1530.1289-EV10-1
VM14	NTV20001206.1530.1289-EV11-1
VM15	NTV20001206.1530.1289-EV12-1
VM8	NTV20001206.1530.1289-EV13-1
VM3	NTV20001206.1530.1289-EV14-1
VM5	NTV20001206.1530.1289-EV15-1
Q1	NTV20001206.1530.1289-T1
Q2	NTV20001206.1530.1289-T2
Q3	NTV20001206.1530.1289-T3
Q4	NTV20001206.1530.1289-T4
Q5	NTV20001206.1530.1289-T5
Q6	NTV20001206.1530.1289-T6
Q7	NTV20001206.1530.1289-T7
Q8	NTV20001206.1530.1289-T8
Q9	NTV20001206.1530.1289-T9
Q10	NTV20001206.1530.1289-T10
Q11	NTV20001206.1530.1289-T11
Q12	NTV20001206.1530.1289-T12
Q13	NTV20001206.1530.1289-T13
