CE10	NTV20001215.1530.0856-CE1
CE11	NTV20001215.1530.0856-CE2
CE12	NTV20001215.1530.0856-CE3
CE13	NTV20001215.1530.0856-CE4
CE14	NTV20001215.1530.0856-CE5
CE16	NTV20001215.1530.0856-CE6
CE17	NTV20001215.1530.0856-CE7
CE1	NTV20001215.1530.0856-CE8
CE2	NTV20001215.1530.0856-CE9
CE15	NTV20001215.1530.0856-CE10
CE3	NTV20001215.1530.0856-CE11
CE4	NTV20001215.1530.0856-CE12
CE5	NTV20001215.1530.0856-CE13
CE6	NTV20001215.1530.0856-CE14
CE7	NTV20001215.1530.0856-CE15
CE8	NTV20001215.1530.0856-CE16
CE9	NTV20001215.1530.0856-CE17
E14	NTV20001215.1530.0856-E1
E16	NTV20001215.1530.0856-E2
E18	NTV20001215.1530.0856-E3
E19	NTV20001215.1530.0856-E4
E20	NTV20001215.1530.0856-E5
E21	NTV20001215.1530.0856-E6
E22	NTV20001215.1530.0856-E7
E24	NTV20001215.1530.0856-E8
E26	NTV20001215.1530.0856-E9
E27	NTV20001215.1530.0856-E10
E28	NTV20001215.1530.0856-E11
E30	NTV20001215.1530.0856-E12
E31	NTV20001215.1530.0856-E13
E1	NTV20001215.1530.0856-E14
E33	NTV20001215.1530.0856-E15
E1	NTV20001215.1530.0856-E16
E34	NTV20001215.1530.0856-E17
E2	NTV20001215.1530.0856-E18
E3	NTV20001215.1530.0856-E19
E4	NTV20001215.1530.0856-E20
E5	NTV20001215.1530.0856-E21
E6	NTV20001215.1530.0856-E22
E8	NTV20001215.1530.0856-E23
E9	NTV20001215.1530.0856-E24
E10	NTV20001215.1530.0856-E25
E11	NTV20001215.1530.0856-E26
E12	NTV20001215.1530.0856-E27
E13	NTV20001215.1530.0856-E28
EM6	NTV20001215.1530.0856-E18-1
EM28	NTV20001215.1530.0856-E2-2
EM29	NTV20001215.1530.0856-E22-3
EM30	NTV20001215.1530.0856-E3-4
EM31	NTV20001215.1530.0856-E3-5
EM32	NTV20001215.1530.0856-E4-6
EM33	NTV20001215.1530.0856-E6-7
EM34	NTV20001215.1530.0856-E19-8
EM35	NTV20001215.1530.0856-E7-9
EM37	NTV20001215.1530.0856-E24-10
EM38	NTV20001215.1530.0856-E8-11
EM40	NTV20001215.1530.0856-E22-12
EM41	NTV20001215.1530.0856-E9-13
EM42	NTV20001215.1530.0856-E20-14
EM43	NTV20001215.1530.0856-E5-15
EM44	NTV20001215.1530.0856-E5-16
EM45	NTV20001215.1530.0856-E19-17
EM46	NTV20001215.1530.0856-E10-18
EM48	NTV20001215.1530.0856-E20-19
EM49	NTV20001215.1530.0856-E20-20
EM47	NTV20001215.1530.0856-E20-21
EM50	NTV20001215.1530.0856-E20-22
EM52	NTV20001215.1530.0856-E11-23
EM51	NTV20001215.1530.0856-E19-24
EM1	NTV20001215.1530.0856-E12-25
EM2	NTV20001215.1530.0856-E13-26
EM3	NTV20001215.1530.0856-E13-27
EM4	NTV20001215.1530.0856-E13-28
EM5	NTV20001215.1530.0856-E13-29
EM39	NTV20001215.1530.0856-E15-30
EM36	NTV20001215.1530.0856-E16-31
EM55	NTV20001215.1530.0856-E16-32
EM54	NTV20001215.1530.0856-E11-33
EM53	NTV20001215.1530.0856-E11-34
EM56	NTV20001215.1530.0856-E11-35
EM27	NTV20001215.1530.0856-E17-36
EM25	NTV20001215.1530.0856-E1-37
EM7	NTV20001215.1530.0856-E14-38
EM8	NTV20001215.1530.0856-E14-39
EM9	NTV20001215.1530.0856-E19-40
EM10	NTV20001215.1530.0856-E20-41
EM11	NTV20001215.1530.0856-E20-42
EM14	NTV20001215.1530.0856-E21-43
EM12	NTV20001215.1530.0856-E22-44
EM13	NTV20001215.1530.0856-E23-45
EM15	NTV20001215.1530.0856-E24-46
EM16	NTV20001215.1530.0856-E25-47
EM17	NTV20001215.1530.0856-E14-48
EM26	NTV20001215.1530.0856-E1-49
EM18	NTV20001215.1530.0856-E20-50
EM19	NTV20001215.1530.0856-E20-51
EM22	NTV20001215.1530.0856-E26-52
EM20	NTV20001215.1530.0856-E22-53
EM21	NTV20001215.1530.0856-E27-54
EM23	NTV20001215.1530.0856-E28-55
EM24	NTV20001215.1530.0856-E20-56
R1	NTV20001215.1530.0856-R1
R3	NTV20001215.1530.0856-R2
R5	NTV20001215.1530.0856-R3
R6	NTV20001215.1530.0856-R4
R9	NTV20001215.1530.0856-R5
R11	NTV20001215.1530.0856-R6
R10	NTV20001215.1530.0856-R7
R7	NTV20001215.1530.0856-R8
R8	NTV20001215.1530.0856-R9
R12	NTV20001215.1530.0856-R10
RM1	NTV20001215.1530.0856-R1-1
RM3	NTV20001215.1530.0856-R1-2
RM5	NTV20001215.1530.0856-R3-1
RM6	NTV20001215.1530.0856-R4-1
RM9	NTV20001215.1530.0856-R5-1
RM11	NTV20001215.1530.0856-R6-1
RM10	NTV20001215.1530.0856-R7-1
RM7	NTV20001215.1530.0856-R8-1
RM8	NTV20001215.1530.0856-R9-1
RM12	NTV20001215.1530.0856-R10-1
V1	NTV20001215.1530.0856-EV1
V2	NTV20001215.1530.0856-EV2
V3	NTV20001215.1530.0856-EV3
VM1	NTV20001215.1530.0856-EV1-1
VM2	NTV20001215.1530.0856-EV2-1
VM3	NTV20001215.1530.0856-EV3-1
Q2	NTV20001215.1530.0856-T1
Q3	NTV20001215.1530.0856-T2
Q1	NTV20001215.1530.0856-T3
