CE12	VAR20001001.1300.1079-CE1
CE13	VAR20001001.1300.1079-CE2
CE15	VAR20001001.1300.1079-CE3
CE16	VAR20001001.1300.1079-CE4
CE17	VAR20001001.1300.1079-CE5
CE18	VAR20001001.1300.1079-CE6
CE19	VAR20001001.1300.1079-CE7
CE20	VAR20001001.1300.1079-CE8
CE21	VAR20001001.1300.1079-CE9
CE2	VAR20001001.1300.1079-CE10
CE5	VAR20001001.1300.1079-CE11
CE14	VAR20001001.1300.1079-CE12
CE1	VAR20001001.1300.1079-CE13
CE3	VAR20001001.1300.1079-CE14
CE4	VAR20001001.1300.1079-CE15
CE6	VAR20001001.1300.1079-CE16
CE7	VAR20001001.1300.1079-CE17
CE8	VAR20001001.1300.1079-CE18
CE9	VAR20001001.1300.1079-CE19
CE10	VAR20001001.1300.1079-CE20
CE11	VAR20001001.1300.1079-CE21
E13	VAR20001001.1300.1079-E1
E14	VAR20001001.1300.1079-E2
E15	VAR20001001.1300.1079-E3
E16	VAR20001001.1300.1079-E4
E17	VAR20001001.1300.1079-E5
E18	VAR20001001.1300.1079-E6
E19	VAR20001001.1300.1079-E7
E20	VAR20001001.1300.1079-E8
E21	VAR20001001.1300.1079-E9
E22	VAR20001001.1300.1079-E10
E1	VAR20001001.1300.1079-E11
E23	VAR20001001.1300.1079-E12
E3	VAR20001001.1300.1079-E13
E4	VAR20001001.1300.1079-E14
E5	VAR20001001.1300.1079-E15
E6	VAR20001001.1300.1079-E16
E7	VAR20001001.1300.1079-E17
E8	VAR20001001.1300.1079-E18
E9	VAR20001001.1300.1079-E19
E10	VAR20001001.1300.1079-E20
E11	VAR20001001.1300.1079-E21
E12	VAR20001001.1300.1079-E22
EM1	VAR20001001.1300.1079-E10-1
EM21	VAR20001001.1300.1079-E1-2
EM22	VAR20001001.1300.1079-E14-3
EM23	VAR20001001.1300.1079-E2-4
EM24	VAR20001001.1300.1079-E11-5
EM25	VAR20001001.1300.1079-E11-6
EM26	VAR20001001.1300.1079-E3-7
EM27	VAR20001001.1300.1079-E11-8
EM28	VAR20001001.1300.1079-E11-9
EM29	VAR20001001.1300.1079-E15-10
EM30	VAR20001001.1300.1079-E4-11
EM31	VAR20001001.1300.1079-E4-12
EM32	VAR20001001.1300.1079-E4-13
EM34	VAR20001001.1300.1079-E6-14
EM35	VAR20001001.1300.1079-E5-15
EM36	VAR20001001.1300.1079-E7-16
EM37	VAR20001001.1300.1079-E7-17
EM38	VAR20001001.1300.1079-E8-18
EM39	VAR20001001.1300.1079-E9-19
EM2	VAR20001001.1300.1079-E10-20
EM19	VAR20001001.1300.1079-E10-21
EM20	VAR20001001.1300.1079-E10-22
EM9	VAR20001001.1300.1079-E12-23
EM12	VAR20001001.1300.1079-E12-24
EM3	VAR20001001.1300.1079-E13-25
EM33	VAR20001001.1300.1079-E5-26
EM4	VAR20001001.1300.1079-E14-27
EM8	VAR20001001.1300.1079-E15-28
EM7	VAR20001001.1300.1079-E14-29
EM6	VAR20001001.1300.1079-E14-30
EM5	VAR20001001.1300.1079-E14-31
EM10	VAR20001001.1300.1079-E16-32
EM11	VAR20001001.1300.1079-E17-33
EM13	VAR20001001.1300.1079-E18-34
EM14	VAR20001001.1300.1079-E14-35
EM15	VAR20001001.1300.1079-E19-36
EM16	VAR20001001.1300.1079-E20-37
EM17	VAR20001001.1300.1079-E21-38
EM18	VAR20001001.1300.1079-E22-39
R2	VAR20001001.1300.1079-R1
R3	VAR20001001.1300.1079-R2
R4	VAR20001001.1300.1079-R3
R5	VAR20001001.1300.1079-R4
R7	VAR20001001.1300.1079-R5
R8	VAR20001001.1300.1079-R6
RM2	VAR20001001.1300.1079-R1-1
RM3	VAR20001001.1300.1079-R2-1
RM4	VAR20001001.1300.1079-R3-1
RM5	VAR20001001.1300.1079-R4-1
RM7	VAR20001001.1300.1079-R5-1
RM8	VAR20001001.1300.1079-R6-1
V1	VAR20001001.1300.1079-EV1
V2	VAR20001001.1300.1079-EV2
V3	VAR20001001.1300.1079-EV3
V4	VAR20001001.1300.1079-EV4
V5	VAR20001001.1300.1079-EV5
VM1	VAR20001001.1300.1079-EV1-1
VM2	VAR20001001.1300.1079-EV2-1
VM3	VAR20001001.1300.1079-EV3-1
VM4	VAR20001001.1300.1079-EV4-1
VM5	VAR20001001.1300.1079-EV5-1
Q1	VAR20001001.1300.1079-T1
Q2	VAR20001001.1300.1079-T2
