CE15	VAR20001019.1300.0305-CE1
CE16	VAR20001019.1300.0305-CE2
CE18	VAR20001019.1300.0305-CE3
CE19	VAR20001019.1300.0305-CE4
CE21	VAR20001019.1300.0305-CE5
CE22	VAR20001019.1300.0305-CE6
CE23	VAR20001019.1300.0305-CE7
CE24	VAR20001019.1300.0305-CE8
CE25	VAR20001019.1300.0305-CE9
CE26	VAR20001019.1300.0305-CE10
CE17	VAR20001019.1300.0305-CE11
CE27	VAR20001019.1300.0305-CE12
CE28	VAR20001019.1300.0305-CE13
CE29	VAR20001019.1300.0305-CE14
CE30	VAR20001019.1300.0305-CE15
CE31	VAR20001019.1300.0305-CE16
CE40	VAR20001019.1300.0305-CE17
CE32	VAR20001019.1300.0305-CE18
CE33	VAR20001019.1300.0305-CE19
CE3	VAR20001019.1300.0305-CE20
CE34	VAR20001019.1300.0305-CE21
CE35	VAR20001019.1300.0305-CE22
CE36	VAR20001019.1300.0305-CE23
CE37	VAR20001019.1300.0305-CE24
CE2	VAR20001019.1300.0305-CE25
CE20	VAR20001019.1300.0305-CE26
CE38	VAR20001019.1300.0305-CE27
CE39	VAR20001019.1300.0305-CE28
CE41	VAR20001019.1300.0305-CE29
CE42	VAR20001019.1300.0305-CE30
CE4	VAR20001019.1300.0305-CE31
CE5	VAR20001019.1300.0305-CE32
CE1	VAR20001019.1300.0305-CE33
CE6	VAR20001019.1300.0305-CE34
CE7	VAR20001019.1300.0305-CE35
CE8	VAR20001019.1300.0305-CE36
CE9	VAR20001019.1300.0305-CE37
CE10	VAR20001019.1300.0305-CE38
CE11	VAR20001019.1300.0305-CE39
CE12	VAR20001019.1300.0305-CE40
CE13	VAR20001019.1300.0305-CE41
E16	VAR20001019.1300.0305-E1
E17	VAR20001019.1300.0305-E2
E18	VAR20001019.1300.0305-E3
E20	VAR20001019.1300.0305-E4
E21	VAR20001019.1300.0305-E5
E22	VAR20001019.1300.0305-E6
E25	VAR20001019.1300.0305-E7
E26	VAR20001019.1300.0305-E8
E27	VAR20001019.1300.0305-E9
E28	VAR20001019.1300.0305-E10
E31	VAR20001019.1300.0305-E11
E32	VAR20001019.1300.0305-E12
E33	VAR20001019.1300.0305-E13
E34	VAR20001019.1300.0305-E14
E37	VAR20001019.1300.0305-E15
E38	VAR20001019.1300.0305-E16
E39	VAR20001019.1300.0305-E17
E41	VAR20001019.1300.0305-E18
E42	VAR20001019.1300.0305-E19
E43	VAR20001019.1300.0305-E20
E1	VAR20001019.1300.0305-E21
E44	VAR20001019.1300.0305-E22
E45	VAR20001019.1300.0305-E23
E46	VAR20001019.1300.0305-E24
E47	VAR20001019.1300.0305-E25
E49	VAR20001019.1300.0305-E26
E75	VAR20001019.1300.0305-E27
E51	VAR20001019.1300.0305-E28
E1	VAR20001019.1300.0305-E29
E54	VAR20001019.1300.0305-E30
E56	VAR20001019.1300.0305-E31
E57	VAR20001019.1300.0305-E32
E58	VAR20001019.1300.0305-E33
E59	VAR20001019.1300.0305-E34
E60	VAR20001019.1300.0305-E35
E77	VAR20001019.1300.0305-E36
E62	VAR20001019.1300.0305-E37
E63	VAR20001019.1300.0305-E38
E64	VAR20001019.1300.0305-E39
E65	VAR20001019.1300.0305-E40
E66	VAR20001019.1300.0305-E41
E67	VAR20001019.1300.0305-E42
E68	VAR20001019.1300.0305-E43
E2	VAR20001019.1300.0305-E44
E3	VAR20001019.1300.0305-E45
E5	VAR20001019.1300.0305-E46
E6	VAR20001019.1300.0305-E47
E7	VAR20001019.1300.0305-E48
E8	VAR20001019.1300.0305-E49
E9	VAR20001019.1300.0305-E50
E10	VAR20001019.1300.0305-E51
E11	VAR20001019.1300.0305-E52
E12	VAR20001019.1300.0305-E53
E13	VAR20001019.1300.0305-E54
E14	VAR20001019.1300.0305-E55
EM1	VAR20001019.1300.0305-E21-1
EM17	VAR20001019.1300.0305-E2-2
EM18	VAR20001019.1300.0305-E1-3
EM19	VAR20001019.1300.0305-E3-4
EM20	VAR20001019.1300.0305-E1-5
EM21	VAR20001019.1300.0305-E55-6
EM22	VAR20001019.1300.0305-E55-7
EM23	VAR20001019.1300.0305-E55-8
EM24	VAR20001019.1300.0305-E47-9
EM43	VAR20001019.1300.0305-E7-10
EM2	VAR20001019.1300.0305-E44-11
EM27	VAR20001019.1300.0305-E4-12
EM28	VAR20001019.1300.0305-E5-13
EM26	VAR20001019.1300.0305-E18-14
EM31	VAR20001019.1300.0305-E18-15
EM30	VAR20001019.1300.0305-E6-16
EM33	VAR20001019.1300.0305-E7-17
EM34	VAR20001019.1300.0305-E8-18
EM35	VAR20001019.1300.0305-E9-19
EM36	VAR20001019.1300.0305-E10-20
EM37	VAR20001019.1300.0305-E48-21
EM39	VAR20001019.1300.0305-E11-22
EM40	VAR20001019.1300.0305-E12-23
EM41	VAR20001019.1300.0305-E13-24
EM38	VAR20001019.1300.0305-E11-25
EM42	VAR20001019.1300.0305-E14-26
EM44	VAR20001019.1300.0305-E15-27
EM45	VAR20001019.1300.0305-E16-28
EM46	VAR20001019.1300.0305-E17-29
EM65	VAR20001019.1300.0305-E30-30
EM57	VAR20001019.1300.0305-E21-31
EM48	VAR20001019.1300.0305-E18-32
EM49	VAR20001019.1300.0305-E19-33
EM50	VAR20001019.1300.0305-E20-34
EM51	VAR20001019.1300.0305-E22-35
EM52	VAR20001019.1300.0305-E23-36
EM81	VAR20001019.1300.0305-E27-37
EM54	VAR20001019.1300.0305-E25-38
EM56	VAR20001019.1300.0305-E47-39
EM59	VAR20001019.1300.0305-E26-40
EM58	VAR20001019.1300.0305-E24-41
EM71	VAR20001019.1300.0305-E34-42
EM60	VAR20001019.1300.0305-E28-43
EM64	VAR20001019.1300.0305-E30-44
EM32	VAR20001019.1300.0305-E37-45
EM63	VAR20001019.1300.0305-E30-46
EM66	VAR20001019.1300.0305-E31-47
EM67	VAR20001019.1300.0305-E32-48
EM68	VAR20001019.1300.0305-E33-49
EM69	VAR20001019.1300.0305-E32-50
EM70	VAR20001019.1300.0305-E34-51
EM78	VAR20001019.1300.0305-E36-52
EM72	VAR20001019.1300.0305-E35-53
EM73	VAR20001019.1300.0305-E20-54
EM47	VAR20001019.1300.0305-E37-55
EM76	VAR20001019.1300.0305-E38-56
EM77	VAR20001019.1300.0305-E39-57
EM79	VAR20001019.1300.0305-E38-58
EM80	VAR20001019.1300.0305-E38-59
EM82	VAR20001019.1300.0305-E40-60
EM83	VAR20001019.1300.0305-E41-61
EM84	VAR20001019.1300.0305-E42-62
EM85	VAR20001019.1300.0305-E40-63
EM86	VAR20001019.1300.0305-E40-64
EM87	VAR20001019.1300.0305-E43-65
EM29	VAR20001019.1300.0305-E4-66
EM55	VAR20001019.1300.0305-E22-67
EM62	VAR20001019.1300.0305-E55-68
EM61	VAR20001019.1300.0305-E29-69
EM53	VAR20001019.1300.0305-E24-70
EM15	VAR20001019.1300.0305-E29-71
EM74	VAR20001019.1300.0305-E29-72
EM75	VAR20001019.1300.0305-E29-73
EM3	VAR20001019.1300.0305-E45-74
EM4	VAR20001019.1300.0305-E46-75
EM5	VAR20001019.1300.0305-E47-76
EM6	VAR20001019.1300.0305-E48-77
EM7	VAR20001019.1300.0305-E49-78
EM8	VAR20001019.1300.0305-E49-79
EM9	VAR20001019.1300.0305-E50-80
EM10	VAR20001019.1300.0305-E51-81
EM11	VAR20001019.1300.0305-E52-82
EM12	VAR20001019.1300.0305-E53-83
EM13	VAR20001019.1300.0305-E54-84
EM14	VAR20001019.1300.0305-E55-85
EM16	VAR20001019.1300.0305-E1-86
R22	VAR20001019.1300.0305-R1
R18	VAR20001019.1300.0305-R2
R23	VAR20001019.1300.0305-R3
R24	VAR20001019.1300.0305-R4
R25	VAR20001019.1300.0305-R5
R26	VAR20001019.1300.0305-R6
R1	VAR20001019.1300.0305-R7
R3	VAR20001019.1300.0305-R8
R4	VAR20001019.1300.0305-R9
R5	VAR20001019.1300.0305-R10
R7	VAR20001019.1300.0305-R11
R8	VAR20001019.1300.0305-R12
R9	VAR20001019.1300.0305-R13
R19	VAR20001019.1300.0305-R14
R10	VAR20001019.1300.0305-R15
