CE11	VAR20001008.1300.1221-CE1
CE1	VAR20001008.1300.1221-CE2
CE12	VAR20001008.1300.1221-CE3
CE2	VAR20001008.1300.1221-CE4
CE3	VAR20001008.1300.1221-CE5
CE10	VAR20001008.1300.1221-CE6
CE5	VAR20001008.1300.1221-CE7
CE6	VAR20001008.1300.1221-CE8
CE8	VAR20001008.1300.1221-CE9
CE9	VAR20001008.1300.1221-CE10
CE7	VAR20001008.1300.1221-CE11
CE4	VAR20001008.1300.1221-CE12
E13	VAR20001008.1300.1221-E1
E14	VAR20001008.1300.1221-E2
E15	VAR20001008.1300.1221-E3
E17	VAR20001008.1300.1221-E4
E18	VAR20001008.1300.1221-E5
E21	VAR20001008.1300.1221-E6
E1	VAR20001008.1300.1221-E7
E19	VAR20001008.1300.1221-E8
E4	VAR20001008.1300.1221-E9
E6	VAR20001008.1300.1221-E10
E7	VAR20001008.1300.1221-E11
E8	VAR20001008.1300.1221-E12
E9	VAR20001008.1300.1221-E13
E10	VAR20001008.1300.1221-E14
E11	VAR20001008.1300.1221-E15
E12	VAR20001008.1300.1221-E16
EM23	VAR20001008.1300.1221-E16-1
EM24	VAR20001008.1300.1221-E14-2
EM8	VAR20001008.1300.1221-E14-3
EM14	VAR20001008.1300.1221-E14-4
EM2	VAR20001008.1300.1221-E8-5
EM25	VAR20001008.1300.1221-E2-6
EM26	VAR20001008.1300.1221-E3-7
EM27	VAR20001008.1300.1221-E16-8
EM28	VAR20001008.1300.1221-E16-9
EM31	VAR20001008.1300.1221-E4-10
EM16	VAR20001008.1300.1221-E5-11
EM32	VAR20001008.1300.1221-E10-12
EM33	VAR20001008.1300.1221-E14-13
EM34	VAR20001008.1300.1221-E14-14
EM1	VAR20001008.1300.1221-E7-15
EM9	VAR20001008.1300.1221-E12-16
EM29	VAR20001008.1300.1221-E6-17
EM30	VAR20001008.1300.1221-E6-18
EM4	VAR20001008.1300.1221-E7-19
EM5	VAR20001008.1300.1221-E7-20
EM6	VAR20001008.1300.1221-E10-21
EM7	VAR20001008.1300.1221-E11-22
EM10	VAR20001008.1300.1221-E12-23
EM11	VAR20001008.1300.1221-E13-24
EM12	VAR20001008.1300.1221-E7-25
EM13	VAR20001008.1300.1221-E13-26
EM15	VAR20001008.1300.1221-E9-27
EM17	VAR20001008.1300.1221-E14-28
EM20	VAR20001008.1300.1221-E15-29
EM21	VAR20001008.1300.1221-E9-30
EM19	VAR20001008.1300.1221-E14-31
EM18	VAR20001008.1300.1221-E14-32
EM22	VAR20001008.1300.1221-E16-33
EM3	VAR20001008.1300.1221-E1-34
R1	VAR20001008.1300.1221-R1
R2	VAR20001008.1300.1221-R2
R3	VAR20001008.1300.1221-R3
RM1	VAR20001008.1300.1221-R1-1
RM2	VAR20001008.1300.1221-R2-1
RM3	VAR20001008.1300.1221-R3-1
V1	VAR20001008.1300.1221-EV1
V2	VAR20001008.1300.1221-EV2
V3	VAR20001008.1300.1221-EV3
V4	VAR20001008.1300.1221-EV4
VM1	VAR20001008.1300.1221-EV1-1
VM2	VAR20001008.1300.1221-EV2-1
VM3	VAR20001008.1300.1221-EV3-1
VM4	VAR20001008.1300.1221-EV4-1
Q3	VAR20001008.1300.1221-T1
Q5	VAR20001008.1300.1221-T2
Q6	VAR20001008.1300.1221-T3
Q7	VAR20001008.1300.1221-T4
Q2	VAR20001008.1300.1221-T5
Q4	VAR20001008.1300.1221-V1
Q8	VAR20001008.1300.1221-T6
Q1	VAR20001008.1300.1221-T7
QM4	VAR20001008.1300.1221-V1-1
