CE1	VAR20001005.1300.1839-CE1
CE16	VAR20001005.1300.1839-CE2
CE17	VAR20001005.1300.1839-CE3
CE3	VAR20001005.1300.1839-CE4
CE21	VAR20001005.1300.1839-CE5
CE22	VAR20001005.1300.1839-CE6
CE23	VAR20001005.1300.1839-CE7
CE24	VAR20001005.1300.1839-CE8
CE25	VAR20001005.1300.1839-CE9
CE26	VAR20001005.1300.1839-CE10
CE2	VAR20001005.1300.1839-CE11
CE27	VAR20001005.1300.1839-CE12
CE28	VAR20001005.1300.1839-CE13
CE29	VAR20001005.1300.1839-CE14
CE18	VAR20001005.1300.1839-CE15
CE19	VAR20001005.1300.1839-CE16
CE20	VAR20001005.1300.1839-CE17
CE6	VAR20001005.1300.1839-CE18
CE7	VAR20001005.1300.1839-CE19
CE8	VAR20001005.1300.1839-CE20
CE9	VAR20001005.1300.1839-CE21
CE10	VAR20001005.1300.1839-CE22
CE11	VAR20001005.1300.1839-CE23
CE4	VAR20001005.1300.1839-CE24
CE12	VAR20001005.1300.1839-CE25
CE13	VAR20001005.1300.1839-CE26
CE14	VAR20001005.1300.1839-CE27
CE5	VAR20001005.1300.1839-CE28
CE15	VAR20001005.1300.1839-CE29
E16	VAR20001005.1300.1839-E1
E17	VAR20001005.1300.1839-E2
E18	VAR20001005.1300.1839-E3
E19	VAR20001005.1300.1839-E4
E21	VAR20001005.1300.1839-E5
E23	VAR20001005.1300.1839-E6
E26	VAR20001005.1300.1839-E7
E27	VAR20001005.1300.1839-E8
E28	VAR20001005.1300.1839-E9
E29	VAR20001005.1300.1839-E10
E30	VAR20001005.1300.1839-E11
E31	VAR20001005.1300.1839-E12
E33	VAR20001005.1300.1839-E13
E34	VAR20001005.1300.1839-E14
E35	VAR20001005.1300.1839-E15
E36	VAR20001005.1300.1839-E16
E1	VAR20001005.1300.1839-E17
E37	VAR20001005.1300.1839-E18
E38	VAR20001005.1300.1839-E19
E39	VAR20001005.1300.1839-E20
E2	VAR20001005.1300.1839-E21
E3	VAR20001005.1300.1839-E22
E4	VAR20001005.1300.1839-E23
E5	VAR20001005.1300.1839-E24
E6	VAR20001005.1300.1839-E25
E8	VAR20001005.1300.1839-E26
E9	VAR20001005.1300.1839-E27
E10	VAR20001005.1300.1839-E28
E11	VAR20001005.1300.1839-E29
E13	VAR20001005.1300.1839-E30
E14	VAR20001005.1300.1839-E31
EM2	VAR20001005.1300.1839-E17-1
EM17	VAR20001005.1300.1839-E2-2
EM19	VAR20001005.1300.1839-E4-3
EM20	VAR20001005.1300.1839-E3-4
EM21	VAR20001005.1300.1839-E5-5
EM23	VAR20001005.1300.1839-E18-6
EM24	VAR20001005.1300.1839-E6-7
EM26	VAR20001005.1300.1839-E19-8
EM28	VAR20001005.1300.1839-E19-9
EM29	VAR20001005.1300.1839-E7-10
EM30	VAR20001005.1300.1839-E8-11
EM31	VAR20001005.1300.1839-E8-12
EM32	VAR20001005.1300.1839-E9-13
EM33	VAR20001005.1300.1839-E10-14
EM34	VAR20001005.1300.1839-E11-15
EM35	VAR20001005.1300.1839-E12-16
EM36	VAR20001005.1300.1839-E13-17
EM37	VAR20001005.1300.1839-E14-18
EM38	VAR20001005.1300.1839-E15-19
EM39	VAR20001005.1300.1839-E16-20
EM40	VAR20001005.1300.1839-E16-21
EM41	VAR20001005.1300.1839-E16-22
EM42	VAR20001005.1300.1839-E16-23
EM22	VAR20001005.1300.1839-E18-24
EM25	VAR20001005.1300.1839-E19-25
EM27	VAR20001005.1300.1839-E20-26
EM1	VAR20001005.1300.1839-E17-27
EM3	VAR20001005.1300.1839-E17-28
EM4	VAR20001005.1300.1839-E21-29
EM5	VAR20001005.1300.1839-E22-30
EM6	VAR20001005.1300.1839-E23-31
EM7	VAR20001005.1300.1839-E24-32
EM8	VAR20001005.1300.1839-E23-33
EM9	VAR20001005.1300.1839-E25-34
EM10	VAR20001005.1300.1839-E26-35
EM12	VAR20001005.1300.1839-E25-36
EM11	VAR20001005.1300.1839-E27-37
EM13	VAR20001005.1300.1839-E28-38
EM15	VAR20001005.1300.1839-E29-39
EM14	VAR20001005.1300.1839-E30-40
EM16	VAR20001005.1300.1839-E31-41
EM18	VAR20001005.1300.1839-E1-42
R11	VAR20001005.1300.1839-R1
R12	VAR20001005.1300.1839-R2
R1	VAR20001005.1300.1839-R3
R2	VAR20001005.1300.1839-R4
R4	VAR20001005.1300.1839-R5
R3	VAR20001005.1300.1839-R6
R5	VAR20001005.1300.1839-R7
R6	VAR20001005.1300.1839-R8
R9	VAR20001005.1300.1839-R9
R10	VAR20001005.1300.1839-R10
R7	VAR20001005.1300.1839-R11
R8	VAR20001005.1300.1839-R12
RM11	VAR20001005.1300.1839-R1-1
RM12	VAR20001005.1300.1839-R2-1
RM1	VAR20001005.1300.1839-R3-1
RM2	VAR20001005.1300.1839-R4-1
RM4	VAR20001005.1300.1839-R5-1
RM3	VAR20001005.1300.1839-R6-1
RM5	VAR20001005.1300.1839-R7-1
RM6	VAR20001005.1300.1839-R8-1
RM9	VAR20001005.1300.1839-R9-1
RM10	VAR20001005.1300.1839-R10-1
RM7	VAR20001005.1300.1839-R11-1
RM8	VAR20001005.1300.1839-R12-1
V1	VAR20001005.1300.1839-EV1
V2	VAR20001005.1300.1839-EV2
V4	VAR20001005.1300.1839-EV3
V5	VAR20001005.1300.1839-EV4
V3	VAR20001005.1300.1839-EV5
VM1	VAR20001005.1300.1839-EV1-1
VM2	VAR20001005.1300.1839-EV2-1
VM3	VAR20001005.1300.1839-EV5-1
VM4	VAR20001005.1300.1839-EV3-1
VM5	VAR20001005.1300.1839-EV4-1
