CE10	VAR20001002.1300.0442-CE1
CE11	VAR20001002.1300.0442-CE2
CE12	VAR20001002.1300.0442-CE3
CE13	VAR20001002.1300.0442-CE4
CE23	VAR20001002.1300.0442-CE5
CE2	VAR20001002.1300.0442-CE6
CE14	VAR20001002.1300.0442-CE7
CE15	VAR20001002.1300.0442-CE8
CE3	VAR20001002.1300.0442-CE9
CE16	VAR20001002.1300.0442-CE10
CE17	VAR20001002.1300.0442-CE11
CE18	VAR20001002.1300.0442-CE12
CE19	VAR20001002.1300.0442-CE13
CE20	VAR20001002.1300.0442-CE14
CE21	VAR20001002.1300.0442-CE15
CE22	VAR20001002.1300.0442-CE16
CE4	VAR20001002.1300.0442-CE17
CE1	VAR20001002.1300.0442-CE18
CE5	VAR20001002.1300.0442-CE19
CE6	VAR20001002.1300.0442-CE20
CE7	VAR20001002.1300.0442-CE21
CE8	VAR20001002.1300.0442-CE22
CE9	VAR20001002.1300.0442-CE23
E16	VAR20001002.1300.0442-E1
E17	VAR20001002.1300.0442-E2
E18	VAR20001002.1300.0442-E3
E19	VAR20001002.1300.0442-E4
E20	VAR20001002.1300.0442-E5
E41	VAR20001002.1300.0442-E6
E22	VAR20001002.1300.0442-E7
E23	VAR20001002.1300.0442-E8
E25	VAR20001002.1300.0442-E9
E26	VAR20001002.1300.0442-E10
E42	VAR20001002.1300.0442-E11
E29	VAR20001002.1300.0442-E12
E30	VAR20001002.1300.0442-E13
E43	VAR20001002.1300.0442-E14
E32	VAR20001002.1300.0442-E15
E33	VAR20001002.1300.0442-E16
E35	VAR20001002.1300.0442-E17
E36	VAR20001002.1300.0442-E18
E37	VAR20001002.1300.0442-E19
E38	VAR20001002.1300.0442-E20
E39	VAR20001002.1300.0442-E21
E1	VAR20001002.1300.0442-E22
E44	VAR20001002.1300.0442-E23
E1	VAR20001002.1300.0442-E24
E4	VAR20001002.1300.0442-E25
E5	VAR20001002.1300.0442-E26
E9	VAR20001002.1300.0442-E27
E10	VAR20001002.1300.0442-E28
E11	VAR20001002.1300.0442-E29
E12	VAR20001002.1300.0442-E30
E13	VAR20001002.1300.0442-E31
E14	VAR20001002.1300.0442-E32
E15	VAR20001002.1300.0442-E33
EM1	VAR20001002.1300.0442-E22-1
EM18	VAR20001002.1300.0442-E1-2
EM20	VAR20001002.1300.0442-E3-3
EM21	VAR20001002.1300.0442-E4-4
EM22	VAR20001002.1300.0442-E26-5
EM23	VAR20001002.1300.0442-E24-6
EM24	VAR20001002.1300.0442-E24-7
EM4	VAR20001002.1300.0442-E6-8
EM26	VAR20001002.1300.0442-E1-9
EM25	VAR20001002.1300.0442-E1-10
EM27	VAR20001002.1300.0442-E1-11
EM2	VAR20001002.1300.0442-E22-12
