CE4	AFP_ENG_20030428.0720-CE1
CE16	AFP_ENG_20030428.0720-CE2
CE17	AFP_ENG_20030428.0720-CE3
CE14	AFP_ENG_20030428.0720-CE4
CE18	AFP_ENG_20030428.0720-CE5
CE19	AFP_ENG_20030428.0720-CE6
CE20	AFP_ENG_20030428.0720-CE7
CE21	AFP_ENG_20030428.0720-CE8
CE6	AFP_ENG_20030428.0720-CE9
CE5	AFP_ENG_20030428.0720-CE10
CE22	AFP_ENG_20030428.0720-CE11
CE23	AFP_ENG_20030428.0720-CE12
CE24	AFP_ENG_20030428.0720-CE13
CE11	AFP_ENG_20030428.0720-CE14
CE25	AFP_ENG_20030428.0720-CE15
CE26	AFP_ENG_20030428.0720-CE16
CE27	AFP_ENG_20030428.0720-CE17
CE28	AFP_ENG_20030428.0720-CE18
CE29	AFP_ENG_20030428.0720-CE19
CE3	AFP_ENG_20030428.0720-CE20
CE30	AFP_ENG_20030428.0720-CE21
CE31	AFP_ENG_20030428.0720-CE22
CE32	AFP_ENG_20030428.0720-CE23
CE1	AFP_ENG_20030428.0720-CE24
CE33	AFP_ENG_20030428.0720-CE25
CE12	AFP_ENG_20030428.0720-CE26
CE7	AFP_ENG_20030428.0720-CE27
CE8	AFP_ENG_20030428.0720-CE28
CE2	AFP_ENG_20030428.0720-CE29
CE9	AFP_ENG_20030428.0720-CE30
CE10	AFP_ENG_20030428.0720-CE31
CE13	AFP_ENG_20030428.0720-CE32
CE15	AFP_ENG_20030428.0720-CE33
E15	AFP_ENG_20030428.0720-E1
E16	AFP_ENG_20030428.0720-E2
E18	AFP_ENG_20030428.0720-E3
E19	AFP_ENG_20030428.0720-E4
E22	AFP_ENG_20030428.0720-E5
E23	AFP_ENG_20030428.0720-E6
E24	AFP_ENG_20030428.0720-E7
E26	AFP_ENG_20030428.0720-E8
E27	AFP_ENG_20030428.0720-E9
E28	AFP_ENG_20030428.0720-E10
E29	AFP_ENG_20030428.0720-E11
E30	AFP_ENG_20030428.0720-E12
E31	AFP_ENG_20030428.0720-E13
E33	AFP_ENG_20030428.0720-E14
E35	AFP_ENG_20030428.0720-E15
E37	AFP_ENG_20030428.0720-E16
E38	AFP_ENG_20030428.0720-E17
E1	AFP_ENG_20030428.0720-E18
E39	AFP_ENG_20030428.0720-E19
E40	AFP_ENG_20030428.0720-E20
E42	AFP_ENG_20030428.0720-E21
E43	AFP_ENG_20030428.0720-E22
E44	AFP_ENG_20030428.0720-E23
E45	AFP_ENG_20030428.0720-E24
E46	AFP_ENG_20030428.0720-E25
E47	AFP_ENG_20030428.0720-E26
E48	AFP_ENG_20030428.0720-E27
E49	AFP_ENG_20030428.0720-E28
E52	AFP_ENG_20030428.0720-E29
E53	AFP_ENG_20030428.0720-E30
E54	AFP_ENG_20030428.0720-E31
E58	AFP_ENG_20030428.0720-E32
E60	AFP_ENG_20030428.0720-E33
E61	AFP_ENG_20030428.0720-E34
E62	AFP_ENG_20030428.0720-E35
E65	AFP_ENG_20030428.0720-E36
E66	AFP_ENG_20030428.0720-E37
E68	AFP_ENG_20030428.0720-E38
E69	AFP_ENG_20030428.0720-E39
E70	AFP_ENG_20030428.0720-E40
E2	AFP_ENG_20030428.0720-E41
E73	AFP_ENG_20030428.0720-E42
E74	AFP_ENG_20030428.0720-E43
E75	AFP_ENG_20030428.0720-E44
E76	AFP_ENG_20030428.0720-E45
E77	AFP_ENG_20030428.0720-E46
E78	AFP_ENG_20030428.0720-E47
E3	AFP_ENG_20030428.0720-E48
E4	AFP_ENG_20030428.0720-E49
E5	AFP_ENG_20030428.0720-E50
E7	AFP_ENG_20030428.0720-E51
E8	AFP_ENG_20030428.0720-E52
E9	AFP_ENG_20030428.0720-E53
E10	AFP_ENG_20030428.0720-E54
E11	AFP_ENG_20030428.0720-E55
E12	AFP_ENG_20030428.0720-E56
E14	AFP_ENG_20030428.0720-E57
EM6	AFP_ENG_20030428.0720-E18-1
