CE9	APW_ENG_20030408.0090-CE1
CE1	APW_ENG_20030408.0090-CE2
CE10	APW_ENG_20030408.0090-CE3
CE11	APW_ENG_20030408.0090-CE4
CE12	APW_ENG_20030408.0090-CE5
CE13	APW_ENG_20030408.0090-CE6
CE14	APW_ENG_20030408.0090-CE7
CE15	APW_ENG_20030408.0090-CE8
CE16	APW_ENG_20030408.0090-CE9
CE17	APW_ENG_20030408.0090-CE10
CE18	APW_ENG_20030408.0090-CE11
CE19	APW_ENG_20030408.0090-CE12
CE20	APW_ENG_20030408.0090-CE13
CE21	APW_ENG_20030408.0090-CE14
CE22	APW_ENG_20030408.0090-CE15
CE23	APW_ENG_20030408.0090-CE16
CE24	APW_ENG_20030408.0090-CE17
CE2	APW_ENG_20030408.0090-CE18
CE3	APW_ENG_20030408.0090-CE19
CE4	APW_ENG_20030408.0090-CE20
CE5	APW_ENG_20030408.0090-CE21
CE6	APW_ENG_20030408.0090-CE22
CE7	APW_ENG_20030408.0090-CE23
CE8	APW_ENG_20030408.0090-CE24
E12	APW_ENG_20030408.0090-E1
E13	APW_ENG_20030408.0090-E2
E14	APW_ENG_20030408.0090-E3
E16	APW_ENG_20030408.0090-E4
E17	APW_ENG_20030408.0090-E5
E18	APW_ENG_20030408.0090-E6
E19	APW_ENG_20030408.0090-E7
E20	APW_ENG_20030408.0090-E8
E21	APW_ENG_20030408.0090-E9
E22	APW_ENG_20030408.0090-E10
E47	APW_ENG_20030408.0090-E11
E24	APW_ENG_20030408.0090-E12
E26	APW_ENG_20030408.0090-E13
E27	APW_ENG_20030408.0090-E14
E28	APW_ENG_20030408.0090-E15
E29	APW_ENG_20030408.0090-E16
E48	APW_ENG_20030408.0090-E17
E31	APW_ENG_20030408.0090-E18
E32	APW_ENG_20030408.0090-E19
E33	APW_ENG_20030408.0090-E20
E34	APW_ENG_20030408.0090-E21
E35	APW_ENG_20030408.0090-E22
E36	APW_ENG_20030408.0090-E23
E37	APW_ENG_20030408.0090-E24
E1	APW_ENG_20030408.0090-E25
E38	APW_ENG_20030408.0090-E26
E39	APW_ENG_20030408.0090-E27
E40	APW_ENG_20030408.0090-E28
E41	APW_ENG_20030408.0090-E29
E44	APW_ENG_20030408.0090-E30
E1	APW_ENG_20030408.0090-E31
E2	APW_ENG_20030408.0090-E32
E3	APW_ENG_20030408.0090-E33
E4	APW_ENG_20030408.0090-E34
E5	APW_ENG_20030408.0090-E35
E6	APW_ENG_20030408.0090-E36
E7	APW_ENG_20030408.0090-E37
E46	APW_ENG_20030408.0090-E38
E8	APW_ENG_20030408.0090-E39
E9	APW_ENG_20030408.0090-E40
E10	APW_ENG_20030408.0090-E41
E11	APW_ENG_20030408.0090-E42
EM1	APW_ENG_20030408.0090-E25-1
EM20	APW_ENG_20030408.0090-E1-2
EM23	APW_ENG_20030408.0090-E2-3
EM24	APW_ENG_20030408.0090-E3-4
EM25	APW_ENG_20030408.0090-E4-5
EM26	APW_ENG_20030408.0090-E33-6
EM27	APW_ENG_20030408.0090-E34-7
EM28	APW_ENG_20030408.0090-E34-8
EM29	APW_ENG_20030408.0090-E33-9
