CE4	NYT_ENG_20030403.0008-CE1
CE17	NYT_ENG_20030403.0008-CE2
CE18	NYT_ENG_20030403.0008-CE3
CE19	NYT_ENG_20030403.0008-CE4
CE21	NYT_ENG_20030403.0008-CE5
CE22	NYT_ENG_20030403.0008-CE6
CE23	NYT_ENG_20030403.0008-CE7
CE24	NYT_ENG_20030403.0008-CE8
CE25	NYT_ENG_20030403.0008-CE9
CE26	NYT_ENG_20030403.0008-CE10
CE27	NYT_ENG_20030403.0008-CE11
CE28	NYT_ENG_20030403.0008-CE12
CE3	NYT_ENG_20030403.0008-CE13
CE29	NYT_ENG_20030403.0008-CE14
CE2	NYT_ENG_20030403.0008-CE15
CE30	NYT_ENG_20030403.0008-CE16
CE31	NYT_ENG_20030403.0008-CE17
CE32	NYT_ENG_20030403.0008-CE18
CE33	NYT_ENG_20030403.0008-CE19
CE34	NYT_ENG_20030403.0008-CE20
CE35	NYT_ENG_20030403.0008-CE21
CE36	NYT_ENG_20030403.0008-CE22
CE37	NYT_ENG_20030403.0008-CE23
CE11	NYT_ENG_20030403.0008-CE24
CE38	NYT_ENG_20030403.0008-CE25
CE39	NYT_ENG_20030403.0008-CE26
CE40	NYT_ENG_20030403.0008-CE27
CE41	NYT_ENG_20030403.0008-CE28
CE42	NYT_ENG_20030403.0008-CE29
CE43	NYT_ENG_20030403.0008-CE30
CE46	NYT_ENG_20030403.0008-CE31
CE45	NYT_ENG_20030403.0008-CE32
CE47	NYT_ENG_20030403.0008-CE33
CE6	NYT_ENG_20030403.0008-CE34
CE7	NYT_ENG_20030403.0008-CE35
CE49	NYT_ENG_20030403.0008-CE36
CE50	NYT_ENG_20030403.0008-CE37
CE51	NYT_ENG_20030403.0008-CE38
CE52	NYT_ENG_20030403.0008-CE39
CE53	NYT_ENG_20030403.0008-CE40
CE54	NYT_ENG_20030403.0008-CE41
CE55	NYT_ENG_20030403.0008-CE42
CE56	NYT_ENG_20030403.0008-CE43
CE57	NYT_ENG_20030403.0008-CE44
CE59	NYT_ENG_20030403.0008-CE45
CE61	NYT_ENG_20030403.0008-CE46
CE62	NYT_ENG_20030403.0008-CE47
CE63	NYT_ENG_20030403.0008-CE48
CE64	NYT_ENG_20030403.0008-CE49
CE65	NYT_ENG_20030403.0008-CE50
CE66	NYT_ENG_20030403.0008-CE51
CE67	NYT_ENG_20030403.0008-CE52
CE68	NYT_ENG_20030403.0008-CE53
CE69	NYT_ENG_20030403.0008-CE54
CE70	NYT_ENG_20030403.0008-CE55
CE71	NYT_ENG_20030403.0008-CE56
CE72	NYT_ENG_20030403.0008-CE57
CE73	NYT_ENG_20030403.0008-CE58
CE5	NYT_ENG_20030403.0008-CE59
CE74	NYT_ENG_20030403.0008-CE60
CE75	NYT_ENG_20030403.0008-CE61
CE76	NYT_ENG_20030403.0008-CE62
CE77	NYT_ENG_20030403.0008-CE63
CE8	NYT_ENG_20030403.0008-CE64
CE78	NYT_ENG_20030403.0008-CE65
CE79	NYT_ENG_20030403.0008-CE66
CE80	NYT_ENG_20030403.0008-CE67
CE13	NYT_ENG_20030403.0008-CE68
CE44	NYT_ENG_20030403.0008-CE69
CE1	NYT_ENG_20030403.0008-CE70
CE60	NYT_ENG_20030403.0008-CE71
CE58	NYT_ENG_20030403.0008-CE72
CE9	NYT_ENG_20030403.0008-CE73
CE48	NYT_ENG_20030403.0008-CE74
CE10	NYT_ENG_20030403.0008-CE75
CE12	NYT_ENG_20030403.0008-CE76
CE14	NYT_ENG_20030403.0008-CE77
CE20	NYT_ENG_20030403.0008-CE78
CE15	NYT_ENG_20030403.0008-CE79
CE16	NYT_ENG_20030403.0008-CE80
E17	NYT_ENG_20030403.0008-E1
E20	NYT_ENG_20030403.0008-E2
E21	NYT_ENG_20030403.0008-E3
E22	NYT_ENG_20030403.0008-E4
E23	NYT_ENG_20030403.0008-E5
E24	NYT_ENG_20030403.0008-E6
E25	NYT_ENG_20030403.0008-E7
E26	NYT_ENG_20030403.0008-E8
E27	NYT_ENG_20030403.0008-E9
E28	NYT_ENG_20030403.0008-E10
