CE9	AFP_ENG_20030508.0118-CE1
CE10	AFP_ENG_20030508.0118-CE2
CE11	AFP_ENG_20030508.0118-CE3
CE12	AFP_ENG_20030508.0118-CE4
CE13	AFP_ENG_20030508.0118-CE5
CE14	AFP_ENG_20030508.0118-CE6
CE15	AFP_ENG_20030508.0118-CE7
CE16	AFP_ENG_20030508.0118-CE8
CE2	AFP_ENG_20030508.0118-CE9
CE3	AFP_ENG_20030508.0118-CE10
CE4	AFP_ENG_20030508.0118-CE11
CE1	AFP_ENG_20030508.0118-CE12
CE6	AFP_ENG_20030508.0118-CE13
CE5	AFP_ENG_20030508.0118-CE14
CE7	AFP_ENG_20030508.0118-CE15
CE8	AFP_ENG_20030508.0118-CE16
E17	AFP_ENG_20030508.0118-E1
E18	AFP_ENG_20030508.0118-E2
E19	AFP_ENG_20030508.0118-E3
E20	AFP_ENG_20030508.0118-E4
E21	AFP_ENG_20030508.0118-E5
E22	AFP_ENG_20030508.0118-E6
E23	AFP_ENG_20030508.0118-E7
E24	AFP_ENG_20030508.0118-E8
E25	AFP_ENG_20030508.0118-E9
E26	AFP_ENG_20030508.0118-E10
E27	AFP_ENG_20030508.0118-E11
E28	AFP_ENG_20030508.0118-E12
E32	AFP_ENG_20030508.0118-E13
E1	AFP_ENG_20030508.0118-E14
E33	AFP_ENG_20030508.0118-E15
E2	AFP_ENG_20030508.0118-E16
E3	AFP_ENG_20030508.0118-E17
E34	AFP_ENG_20030508.0118-E18
E6	AFP_ENG_20030508.0118-E19
E7	AFP_ENG_20030508.0118-E20
E9	AFP_ENG_20030508.0118-E21
E10	AFP_ENG_20030508.0118-E22
E13	AFP_ENG_20030508.0118-E23
E14	AFP_ENG_20030508.0118-E24
E15	AFP_ENG_20030508.0118-E25
E16	AFP_ENG_20030508.0118-E26
EM1	AFP_ENG_20030508.0118-E14-1
EM18	AFP_ENG_20030508.0118-E17-2
EM19	AFP_ENG_20030508.0118-E20-3
EM20	AFP_ENG_20030508.0118-E17-4
EM21	AFP_ENG_20030508.0118-E1-5
EM22	AFP_ENG_20030508.0118-E21-6
EM23	AFP_ENG_20030508.0118-E2-7
EM25	AFP_ENG_20030508.0118-E3-8
EM26	AFP_ENG_20030508.0118-E4-9
EM30	AFP_ENG_20030508.0118-E5-10
EM31	AFP_ENG_20030508.0118-E25-11
EM32	AFP_ENG_20030508.0118-E6-12
EM33	AFP_ENG_20030508.0118-E7-13
EM35	AFP_ENG_20030508.0118-E8-14
EM36	AFP_ENG_20030508.0118-E9-15
EM37	AFP_ENG_20030508.0118-E20-16
EM38	AFP_ENG_20030508.0118-E8-17
EM39	AFP_ENG_20030508.0118-E17-18
EM40	AFP_ENG_20030508.0118-E10-19
EM41	AFP_ENG_20030508.0118-E8-20
EM42	AFP_ENG_20030508.0118-E11-21
EM43	AFP_ENG_20030508.0118-E20-22
EM45	AFP_ENG_20030508.0118-E12-23
EM34	AFP_ENG_20030508.0118-E17-24
EM28	AFP_ENG_20030508.0118-E17-25
EM44	AFP_ENG_20030508.0118-E13-26
EM24	AFP_ENG_20030508.0118-E2-27
EM3	AFP_ENG_20030508.0118-E17-28
EM29	AFP_ENG_20030508.0118-E17-29
EM10	AFP_ENG_20030508.0118-E17-30
EM5	AFP_ENG_20030508.0118-E15-31
EM15	AFP_ENG_20030508.0118-E25-32
EM2	AFP_ENG_20030508.0118-E16-33
EM7	AFP_ENG_20030508.0118-E18-34
EM4	AFP_ENG_20030508.0118-E19-35
EM6	AFP_ENG_20030508.0118-E17-36
EM8	AFP_ENG_20030508.0118-E20-37
EM9	AFP_ENG_20030508.0118-E22-38
EM12	AFP_ENG_20030508.0118-E20-39
EM13	AFP_ENG_20030508.0118-E23-40
EM14	AFP_ENG_20030508.0118-E24-41
EM16	AFP_ENG_20030508.0118-E17-42
EM17	AFP_ENG_20030508.0118-E26-43
R11	AFP_ENG_20030508.0118-R1
R10	AFP_ENG_20030508.0118-R2
R1	AFP_ENG_20030508.0118-R3
R2	AFP_ENG_20030508.0118-R4
R4	AFP_ENG_20030508.0118-R5
