CE14	AFP_ENG_20030314.0238-CE1
CE15	AFP_ENG_20030314.0238-CE2
CE17	AFP_ENG_20030314.0238-CE3
CE18	AFP_ENG_20030314.0238-CE4
CE19	AFP_ENG_20030314.0238-CE5
CE20	AFP_ENG_20030314.0238-CE6
CE21	AFP_ENG_20030314.0238-CE7
CE22	AFP_ENG_20030314.0238-CE8
CE23	AFP_ENG_20030314.0238-CE9
CE24	AFP_ENG_20030314.0238-CE10
CE25	AFP_ENG_20030314.0238-CE11
CE26	AFP_ENG_20030314.0238-CE12
CE27	AFP_ENG_20030314.0238-CE13
CE28	AFP_ENG_20030314.0238-CE14
CE29	AFP_ENG_20030314.0238-CE15
CE30	AFP_ENG_20030314.0238-CE16
CE31	AFP_ENG_20030314.0238-CE17
CE4	AFP_ENG_20030314.0238-CE18
CE32	AFP_ENG_20030314.0238-CE19
CE3	AFP_ENG_20030314.0238-CE20
CE33	AFP_ENG_20030314.0238-CE21
CE34	AFP_ENG_20030314.0238-CE22
CE35	AFP_ENG_20030314.0238-CE23
CE36	AFP_ENG_20030314.0238-CE24
CE37	AFP_ENG_20030314.0238-CE25
CE38	AFP_ENG_20030314.0238-CE26
CE39	AFP_ENG_20030314.0238-CE27
CE40	AFP_ENG_20030314.0238-CE28
CE42	AFP_ENG_20030314.0238-CE29
CE44	AFP_ENG_20030314.0238-CE30
CE46	AFP_ENG_20030314.0238-CE31
CE12	AFP_ENG_20030314.0238-CE32
CE48	AFP_ENG_20030314.0238-CE33
CE13	AFP_ENG_20030314.0238-CE34
CE49	AFP_ENG_20030314.0238-CE35
CE50	AFP_ENG_20030314.0238-CE36
CE5	AFP_ENG_20030314.0238-CE37
CE1	AFP_ENG_20030314.0238-CE38
CE41	AFP_ENG_20030314.0238-CE39
CE43	AFP_ENG_20030314.0238-CE40
CE45	AFP_ENG_20030314.0238-CE41
CE47	AFP_ENG_20030314.0238-CE42
CE6	AFP_ENG_20030314.0238-CE43
CE7	AFP_ENG_20030314.0238-CE44
CE8	AFP_ENG_20030314.0238-CE45
CE16	AFP_ENG_20030314.0238-CE46
CE9	AFP_ENG_20030314.0238-CE47
CE10	AFP_ENG_20030314.0238-CE48
CE11	AFP_ENG_20030314.0238-CE49
CE2	AFP_ENG_20030314.0238-CE50
E18	AFP_ENG_20030314.0238-E1
E19	AFP_ENG_20030314.0238-E2
E20	AFP_ENG_20030314.0238-E3
E21	AFP_ENG_20030314.0238-E4
E22	AFP_ENG_20030314.0238-E5
E23	AFP_ENG_20030314.0238-E6
E24	AFP_ENG_20030314.0238-E7
E25	AFP_ENG_20030314.0238-E8
E26	AFP_ENG_20030314.0238-E9
E27	AFP_ENG_20030314.0238-E10
E28	AFP_ENG_20030314.0238-E11
E29	AFP_ENG_20030314.0238-E12
E30	AFP_ENG_20030314.0238-E13
E31	AFP_ENG_20030314.0238-E14
E32	AFP_ENG_20030314.0238-E15
E33	AFP_ENG_20030314.0238-E16
E34	AFP_ENG_20030314.0238-E17
E35	AFP_ENG_20030314.0238-E18
E36	AFP_ENG_20030314.0238-E19
E37	AFP_ENG_20030314.0238-E20
E38	AFP_ENG_20030314.0238-E21
E1	AFP_ENG_20030314.0238-E22
E39	AFP_ENG_20030314.0238-E23
E40	AFP_ENG_20030314.0238-E24
E41	AFP_ENG_20030314.0238-E25
E42	AFP_ENG_20030314.0238-E26
E43	AFP_ENG_20030314.0238-E27
E44	AFP_ENG_20030314.0238-E28
E45	AFP_ENG_20030314.0238-E29
E46	AFP_ENG_20030314.0238-E30
E47	AFP_ENG_20030314.0238-E31
E48	AFP_ENG_20030314.0238-E32
E49	AFP_ENG_20030314.0238-E33
E50	AFP_ENG_20030314.0238-E34
E51	AFP_ENG_20030314.0238-E35
E53	AFP_ENG_20030314.0238-E36
E54	AFP_ENG_20030314.0238-E37
E55	AFP_ENG_20030314.0238-E38
E56	AFP_ENG_20030314.0238-E39
E57	AFP_ENG_20030314.0238-E40
E58	AFP_ENG_20030314.0238-E41
E59	AFP_ENG_20030314.0238-E42
E61	AFP_ENG_20030314.0238-E43
E62	AFP_ENG_20030314.0238-E44
E63	AFP_ENG_20030314.0238-E45
E64	AFP_ENG_20030314.0238-E46
E65	AFP_ENG_20030314.0238-E47
E66	AFP_ENG_20030314.0238-E48
E67	AFP_ENG_20030314.0238-E49
E68	AFP_ENG_20030314.0238-E50
E106	AFP_ENG_20030314.0238-E51
E70	AFP_ENG_20030314.0238-E52
E71	AFP_ENG_20030314.0238-E53
E72	AFP_ENG_20030314.0238-E54
E73	AFP_ENG_20030314.0238-E55
E74	AFP_ENG_20030314.0238-E56
E75	AFP_ENG_20030314.0238-E57
E76	AFP_ENG_20030314.0238-E58
E77	AFP_ENG_20030314.0238-E59
E78	AFP_ENG_20030314.0238-E60
E79	AFP_ENG_20030314.0238-E61
E80	AFP_ENG_20030314.0238-E62
E81	AFP_ENG_20030314.0238-E63
E2	AFP_ENG_20030314.0238-E64
E82	AFP_ENG_20030314.0238-E65
E83	AFP_ENG_20030314.0238-E66
E85	AFP_ENG_20030314.0238-E67
E86	AFP_ENG_20030314.0238-E68
E107	AFP_ENG_20030314.0238-E69
E87	AFP_ENG_20030314.0238-E70
E88	AFP_ENG_20030314.0238-E71
E89	AFP_ENG_20030314.0238-E72
E90	AFP_ENG_20030314.0238-E73
E91	AFP_ENG_20030314.0238-E74
E92	AFP_ENG_20030314.0238-E75
E93	AFP_ENG_20030314.0238-E76
E100	AFP_ENG_20030314.0238-E77
E101	AFP_ENG_20030314.0238-E78
E102	AFP_ENG_20030314.0238-E79
E112	AFP_ENG_20030314.0238-E80
E104	AFP_ENG_20030314.0238-E81
E3	AFP_ENG_20030314.0238-E82
E4	AFP_ENG_20030314.0238-E83
E5	AFP_ENG_20030314.0238-E84
E6	AFP_ENG_20030314.0238-E85
E7	AFP_ENG_20030314.0238-E86
E8	AFP_ENG_20030314.0238-E87
E9	AFP_ENG_20030314.0238-E88
E10	AFP_ENG_20030314.0238-E89
E11	AFP_ENG_20030314.0238-E90
E12	AFP_ENG_20030314.0238-E91
E13	AFP_ENG_20030314.0238-E92
E114	AFP_ENG_20030314.0238-E93
EM1	AFP_ENG_20030314.0238-E22-1
EM24	AFP_ENG_20030314.0238-E1-2
EM19	AFP_ENG_20030314.0238-E1-3
EM20	AFP_ENG_20030314.0238-E84-4
EM21	AFP_ENG_20030314.0238-E2-5
EM22	AFP_ENG_20030314.0238-E86-6
EM23	AFP_ENG_20030314.0238-E85-7
EM25	AFP_ENG_20030314.0238-E3-8
EM26	AFP_ENG_20030314.0238-E2-9
EM27	AFP_ENG_20030314.0238-E4-10
EM28	AFP_ENG_20030314.0238-E82-11
EM29	AFP_ENG_20030314.0238-E5-12
EM30	AFP_ENG_20030314.0238-E82-13
EM31	AFP_ENG_20030314.0238-E82-14
EM32	AFP_ENG_20030314.0238-E6-15
EM34	AFP_ENG_20030314.0238-E6-16
EM33	AFP_ENG_20030314.0238-E7-17
EM35	AFP_ENG_20030314.0238-E8-18
EM36	AFP_ENG_20030314.0238-E9-19
EM37	AFP_ENG_20030314.0238-E10-20
EM38	AFP_ENG_20030314.0238-E11-21
EM39	AFP_ENG_20030314.0238-E12-22
EM40	AFP_ENG_20030314.0238-E13-23
EM41	AFP_ENG_20030314.0238-E14-24
EM42	AFP_ENG_20030314.0238-E15-25
EM43	AFP_ENG_20030314.0238-E16-26
EM44	AFP_ENG_20030314.0238-E85-27
EM45	AFP_ENG_20030314.0238-E91-28
EM46	AFP_ENG_20030314.0238-E17-29
EM49	AFP_ENG_20030314.0238-E18-30
EM48	AFP_ENG_20030314.0238-E85-31
EM47	AFP_ENG_20030314.0238-E17-32
EM50	AFP_ENG_20030314.0238-E17-33
EM51	AFP_ENG_20030314.0238-E17-34
EM52	AFP_ENG_20030314.0238-E19-35
EM55	AFP_ENG_20030314.0238-E20-36
EM54	AFP_ENG_20030314.0238-E21-37
EM53	AFP_ENG_20030314.0238-E19-38
EM56	AFP_ENG_20030314.0238-E19-39
EM57	AFP_ENG_20030314.0238-E3-40
EM58	AFP_ENG_20030314.0238-E3-41
EM59	AFP_ENG_20030314.0238-E23-42
EM60	AFP_ENG_20030314.0238-E82-43
EM61	AFP_ENG_20030314.0238-E24-44
EM62	AFP_ENG_20030314.0238-E1-45
EM63	AFP_ENG_20030314.0238-E25-46
EM64	AFP_ENG_20030314.0238-E82-47
EM65	AFP_ENG_20030314.0238-E82-48
EM66	AFP_ENG_20030314.0238-E84-49
EM67	AFP_ENG_20030314.0238-E26-50
EM68	AFP_ENG_20030314.0238-E27-51
EM69	AFP_ENG_20030314.0238-E85-52
EM70	AFP_ENG_20030314.0238-E28-53
EM71	AFP_ENG_20030314.0238-E29-54
EM72	AFP_ENG_20030314.0238-E30-55
EM73	AFP_ENG_20030314.0238-E31-56
EM74	AFP_ENG_20030314.0238-E83-57
EM75	AFP_ENG_20030314.0238-E83-58
EM76	AFP_ENG_20030314.0238-E32-59
EM77	AFP_ENG_20030314.0238-E84-60
EM78	AFP_ENG_20030314.0238-E32-61
EM79	AFP_ENG_20030314.0238-E28-62
EM80	AFP_ENG_20030314.0238-E83-63
EM81	AFP_ENG_20030314.0238-E28-64
EM82	AFP_ENG_20030314.0238-E33-65
EM83	AFP_ENG_20030314.0238-E34-66
EM84	AFP_ENG_20030314.0238-E35-67
EM85	AFP_ENG_20030314.0238-E83-68
EM86	AFP_ENG_20030314.0238-E83-69
EM88	AFP_ENG_20030314.0238-E82-70
EM89	AFP_ENG_20030314.0238-E36-71
EM90	AFP_ENG_20030314.0238-E86-72
EM91	AFP_ENG_20030314.0238-E83-73
EM92	AFP_ENG_20030314.0238-E86-74
EM93	AFP_ENG_20030314.0238-E86-75
EM94	AFP_ENG_20030314.0238-E37-76
EM95	AFP_ENG_20030314.0238-E82-77
EM96	AFP_ENG_20030314.0238-E86-78
EM97	AFP_ENG_20030314.0238-E86-79
EM98	AFP_ENG_20030314.0238-E38-80
EM99	AFP_ENG_20030314.0238-E39-81
EM100	AFP_ENG_20030314.0238-E40-82
EM101	AFP_ENG_20030314.0238-E86-83
EM102	AFP_ENG_20030314.0238-E41-84
EM103	AFP_ENG_20030314.0238-E38-85
EM104	AFP_ENG_20030314.0238-E91-86
EM105	AFP_ENG_20030314.0238-E42-87
EM2	AFP_ENG_20030314.0238-E64-88
EM117	AFP_ENG_20030314.0238-E51-89
EM106	AFP_ENG_20030314.0238-E3-90
EM107	AFP_ENG_20030314.0238-E43-91
EM108	AFP_ENG_20030314.0238-E44-92
EM109	AFP_ENG_20030314.0238-E45-93
EM110	AFP_ENG_20030314.0238-E46-94
EM111	AFP_ENG_20030314.0238-E47-95
EM112	AFP_ENG_20030314.0238-E82-96
EM113	AFP_ENG_20030314.0238-E43-97
EM114	AFP_ENG_20030314.0238-E48-98
EM115	AFP_ENG_20030314.0238-E49-99
EM116	AFP_ENG_20030314.0238-E82-100
EM118	AFP_ENG_20030314.0238-E82-101
EM119	AFP_ENG_20030314.0238-E50-102
EM15	AFP_ENG_20030314.0238-E69-103
EM120	AFP_ENG_20030314.0238-E43-104
EM121	AFP_ENG_20030314.0238-E88-105
EM122	AFP_ENG_20030314.0238-E82-106
EM123	AFP_ENG_20030314.0238-E82-107
EM124	AFP_ENG_20030314.0238-E43-108
EM125	AFP_ENG_20030314.0238-E52-109
EM129	AFP_ENG_20030314.0238-E53-110
EM130	AFP_ENG_20030314.0238-E52-111
EM126	AFP_ENG_20030314.0238-E52-112
EM127	AFP_ENG_20030314.0238-E55-113
EM128	AFP_ENG_20030314.0238-E85-114
EM131	AFP_ENG_20030314.0238-E56-115
EM132	AFP_ENG_20030314.0238-E54-116
EM133	AFP_ENG_20030314.0238-E57-117
EM134	AFP_ENG_20030314.0238-E58-118
EM135	AFP_ENG_20030314.0238-E59-119
EM136	AFP_ENG_20030314.0238-E60-120
EM137	AFP_ENG_20030314.0238-E60-121
EM138	AFP_ENG_20030314.0238-E54-122
EM140	AFP_ENG_20030314.0238-E86-123
EM141	AFP_ENG_20030314.0238-E88-124
EM142	AFP_ENG_20030314.0238-E61-125
EM144	AFP_ENG_20030314.0238-E84-126
EM145	AFP_ENG_20030314.0238-E54-127
EM146	AFP_ENG_20030314.0238-E82-128
EM147	AFP_ENG_20030314.0238-E57-129
EM148	AFP_ENG_20030314.0238-E62-130
EM149	AFP_ENG_20030314.0238-E63-131
