CE22	APW_ENG_20030403.0862-CE1
CE23	APW_ENG_20030403.0862-CE2
CE24	APW_ENG_20030403.0862-CE3
CE25	APW_ENG_20030403.0862-CE4
CE26	APW_ENG_20030403.0862-CE5
CE27	APW_ENG_20030403.0862-CE6
CE28	APW_ENG_20030403.0862-CE7
CE29	APW_ENG_20030403.0862-CE8
CE30	APW_ENG_20030403.0862-CE9
CE31	APW_ENG_20030403.0862-CE10
CE32	APW_ENG_20030403.0862-CE11
CE33	APW_ENG_20030403.0862-CE12
CE34	APW_ENG_20030403.0862-CE13
CE35	APW_ENG_20030403.0862-CE14
CE36	APW_ENG_20030403.0862-CE15
CE37	APW_ENG_20030403.0862-CE16
CE38	APW_ENG_20030403.0862-CE17
CE39	APW_ENG_20030403.0862-CE18
CE5	APW_ENG_20030403.0862-CE19
CE40	APW_ENG_20030403.0862-CE20
CE42	APW_ENG_20030403.0862-CE21
CE43	APW_ENG_20030403.0862-CE22
CE44	APW_ENG_20030403.0862-CE23
CE45	APW_ENG_20030403.0862-CE24
CE46	APW_ENG_20030403.0862-CE25
CE47	APW_ENG_20030403.0862-CE26
CE48	APW_ENG_20030403.0862-CE27
CE49	APW_ENG_20030403.0862-CE28
CE14	APW_ENG_20030403.0862-CE29
CE51	APW_ENG_20030403.0862-CE30
CE52	APW_ENG_20030403.0862-CE31
CE53	APW_ENG_20030403.0862-CE32
CE54	APW_ENG_20030403.0862-CE33
CE55	APW_ENG_20030403.0862-CE34
CE12	APW_ENG_20030403.0862-CE35
CE56	APW_ENG_20030403.0862-CE36
CE57	APW_ENG_20030403.0862-CE37
CE58	APW_ENG_20030403.0862-CE38
CE59	APW_ENG_20030403.0862-CE39
CE60	APW_ENG_20030403.0862-CE40
CE61	APW_ENG_20030403.0862-CE41
CE62	APW_ENG_20030403.0862-CE42
CE63	APW_ENG_20030403.0862-CE43
CE64	APW_ENG_20030403.0862-CE44
CE65	APW_ENG_20030403.0862-CE45
CE66	APW_ENG_20030403.0862-CE46
CE67	APW_ENG_20030403.0862-CE47
CE68	APW_ENG_20030403.0862-CE48
CE69	APW_ENG_20030403.0862-CE49
CE70	APW_ENG_20030403.0862-CE50
CE71	APW_ENG_20030403.0862-CE51
CE72	APW_ENG_20030403.0862-CE52
CE73	APW_ENG_20030403.0862-CE53
CE74	APW_ENG_20030403.0862-CE54
CE75	APW_ENG_20030403.0862-CE55
CE10	APW_ENG_20030403.0862-CE56
CE76	APW_ENG_20030403.0862-CE57
CE77	APW_ENG_20030403.0862-CE58
CE78	APW_ENG_20030403.0862-CE59
CE80	APW_ENG_20030403.0862-CE60
CE81	APW_ENG_20030403.0862-CE61
CE82	APW_ENG_20030403.0862-CE62
CE83	APW_ENG_20030403.0862-CE63
CE86	APW_ENG_20030403.0862-CE64
CE85	APW_ENG_20030403.0862-CE65
CE84	APW_ENG_20030403.0862-CE66
CE1	APW_ENG_20030403.0862-CE67
CE4	APW_ENG_20030403.0862-CE68
CE88	APW_ENG_20030403.0862-CE69
CE90	APW_ENG_20030403.0862-CE70
CE91	APW_ENG_20030403.0862-CE71
CE92	APW_ENG_20030403.0862-CE72
CE93	APW_ENG_20030403.0862-CE73
CE94	APW_ENG_20030403.0862-CE74
CE95	APW_ENG_20030403.0862-CE75
CE96	APW_ENG_20030403.0862-CE76
CE97	APW_ENG_20030403.0862-CE77
CE98	APW_ENG_20030403.0862-CE78
