CE10	CTV20001110.1330.1507-CE1
CE1	CTV20001110.1330.1507-CE2
CE2	CTV20001110.1330.1507-CE3
CE3	CTV20001110.1330.1507-CE4
CE4	CTV20001110.1330.1507-CE5
CE5	CTV20001110.1330.1507-CE6
CE6	CTV20001110.1330.1507-CE7
CE7	CTV20001110.1330.1507-CE8
CE8	CTV20001110.1330.1507-CE9
CE9	CTV20001110.1330.1507-CE10
E12	CTV20001110.1330.1507-E1
E1	CTV20001110.1330.1507-E2
E2	CTV20001110.1330.1507-E3
E3	CTV20001110.1330.1507-E4
E4	CTV20001110.1330.1507-E5
E5	CTV20001110.1330.1507-E6
E6	CTV20001110.1330.1507-E7
E7	CTV20001110.1330.1507-E8
E8	CTV20001110.1330.1507-E9
E9	CTV20001110.1330.1507-E10
E10	CTV20001110.1330.1507-E11
E11	CTV20001110.1330.1507-E12
EM1	CTV20001110.1330.1507-E2-1
EM21	CTV20001110.1330.1507-E1-2
EM22	CTV20001110.1330.1507-E6-3
EM2	CTV20001110.1330.1507-E3-4
EM3	CTV20001110.1330.1507-E3-5
EM4	CTV20001110.1330.1507-E4-6
EM5	CTV20001110.1330.1507-E5-7
EM6	CTV20001110.1330.1507-E6-8
EM7	CTV20001110.1330.1507-E6-9
EM8	CTV20001110.1330.1507-E7-10
EM9	CTV20001110.1330.1507-E8-11
EM10	CTV20001110.1330.1507-E7-12
EM12	CTV20001110.1330.1507-E2-13
EM13	CTV20001110.1330.1507-E6-14
EM14	CTV20001110.1330.1507-E9-15
EM15	CTV20001110.1330.1507-E3-16
EM16	CTV20001110.1330.1507-E3-17
EM17	CTV20001110.1330.1507-E10-18
EM18	CTV20001110.1330.1507-E11-19
EM19	CTV20001110.1330.1507-E12-20
EM20	CTV20001110.1330.1507-E3-21
R1	CTV20001110.1330.1507-R1
R2	CTV20001110.1330.1507-R2
R3	CTV20001110.1330.1507-R3
R4	CTV20001110.1330.1507-R4
R5	CTV20001110.1330.1507-R5
R6	CTV20001110.1330.1507-R6
R7	CTV20001110.1330.1507-R7
RM1	CTV20001110.1330.1507-R1-1
RM2	CTV20001110.1330.1507-R2-1
RM3	CTV20001110.1330.1507-R3-1
RM4	CTV20001110.1330.1507-R4-1
RM5	CTV20001110.1330.1507-R5-1
RM6	CTV20001110.1330.1507-R6-1
RM7	CTV20001110.1330.1507-R7-1
V1	CTV20001110.1330.1507-EV1
VM1	CTV20001110.1330.1507-EV1-1
VM2	CTV20001110.1330.1507-EV1-2
Q1	CTV20001110.1330.1507-T1
Q2	CTV20001110.1330.1507-T2
Q3	CTV20001110.1330.1507-T3
