CE10	CTS20001120.1300.0737-CE1
CE1	CTS20001120.1300.0737-CE2
CE2	CTS20001120.1300.0737-CE3
CE3	CTS20001120.1300.0737-CE4
CE4	CTS20001120.1300.0737-CE5
CE5	CTS20001120.1300.0737-CE6
CE7	CTS20001120.1300.0737-CE7
CE8	CTS20001120.1300.0737-CE8
CE9	CTS20001120.1300.0737-CE9
E12	CTS20001120.1300.0737-E1
E1	CTS20001120.1300.0737-E2
E2	CTS20001120.1300.0737-E3
E3	CTS20001120.1300.0737-E4
E4	CTS20001120.1300.0737-E5
E5	CTS20001120.1300.0737-E6
E7	CTS20001120.1300.0737-E7
E8	CTS20001120.1300.0737-E8
E9	CTS20001120.1300.0737-E9
E10	CTS20001120.1300.0737-E10
E11	CTS20001120.1300.0737-E11
EM1	CTS20001120.1300.0737-E2-1
EM21	CTS20001120.1300.0737-E4-2
EM22	CTS20001120.1300.0737-E4-3
EM24	CTS20001120.1300.0737-E4-4
EM25	CTS20001120.1300.0737-E10-5
EM26	CTS20001120.1300.0737-E1-6
EM27	CTS20001120.1300.0737-E1-7
EM28	CTS20001120.1300.0737-E1-8
EM2	CTS20001120.1300.0737-E3-9
EM3	CTS20001120.1300.0737-E4-10
EM5	CTS20001120.1300.0737-E5-11
EM6	CTS20001120.1300.0737-E4-12
EM7	CTS20001120.1300.0737-E6-13
EM9	CTS20001120.1300.0737-E7-14
EM10	CTS20001120.1300.0737-E7-15
EM11	CTS20001120.1300.0737-E8-16
EM12	CTS20001120.1300.0737-E9-17
EM14	CTS20001120.1300.0737-E10-18
EM16	CTS20001120.1300.0737-E4-19
EM17	CTS20001120.1300.0737-E11-20
EM18	CTS20001120.1300.0737-E4-21
EM19	CTS20001120.1300.0737-E5-22
EM20	CTS20001120.1300.0737-E10-23
R1	CTS20001120.1300.0737-R1
R2	CTS20001120.1300.0737-R2
R3	CTS20001120.1300.0737-R3
R4	CTS20001120.1300.0737-R4
R6	CTS20001120.1300.0737-R5
RM1	CTS20001120.1300.0737-R1-1
RM2	CTS20001120.1300.0737-R2-1
RM3	CTS20001120.1300.0737-R3-1
RM4	CTS20001120.1300.0737-R4-1
RM6	CTS20001120.1300.0737-R5-1
V1	CTS20001120.1300.0737-EV1
VM1	CTS20001120.1300.0737-EV1-1
Q1	CTS20001120.1300.0737-T1
Q2	CTS20001120.1300.0737-T2
Q3	CTS20001120.1300.0737-T3
Q4	CTS20001120.1300.0737-T4
Q5	CTS20001120.1300.0737-T5
Q8	CTS20001120.1300.0737-T6
Q7	CTS20001120.1300.0737-V1
QM7	CTS20001120.1300.0737-V1-1
