CE7	CBS20001021.1000.0734-CE1
CE8	CBS20001021.1000.0734-CE2
CE9	CBS20001021.1000.0734-CE3
CE10	CBS20001021.1000.0734-CE4
CE11	CBS20001021.1000.0734-CE5
CE12	CBS20001021.1000.0734-CE6
CE15	CBS20001021.1000.0734-CE7
CE18	CBS20001021.1000.0734-CE8
CE21	CBS20001021.1000.0734-CE9
CE22	CBS20001021.1000.0734-CE10
CE24	CBS20001021.1000.0734-CE11
CE25	CBS20001021.1000.0734-CE12
CE27	CBS20001021.1000.0734-CE13
CE28	CBS20001021.1000.0734-CE14
CE29	CBS20001021.1000.0734-CE15
CE30	CBS20001021.1000.0734-CE16
CE31	CBS20001021.1000.0734-CE17
CE32	CBS20001021.1000.0734-CE18
CE33	CBS20001021.1000.0734-CE19
CE1	CBS20001021.1000.0734-CE20
CE2	CBS20001021.1000.0734-CE21
CE3	CBS20001021.1000.0734-CE22
CE4	CBS20001021.1000.0734-CE23
CE5	CBS20001021.1000.0734-CE24
E8	CBS20001021.1000.0734-E1
E9	CBS20001021.1000.0734-E2
E10	CBS20001021.1000.0734-E3
E11	CBS20001021.1000.0734-E4
E12	CBS20001021.1000.0734-E5
E13	CBS20001021.1000.0734-E6
E16	CBS20001021.1000.0734-E7
E19	CBS20001021.1000.0734-E8
E22	CBS20001021.1000.0734-E9
E23	CBS20001021.1000.0734-E10
E25	CBS20001021.1000.0734-E11
E1	CBS20001021.1000.0734-E12
E26	CBS20001021.1000.0734-E13
E28	CBS20001021.1000.0734-E14
E29	CBS20001021.1000.0734-E15
E30	CBS20001021.1000.0734-E16
E31	CBS20001021.1000.0734-E17
E32	CBS20001021.1000.0734-E18
E33	CBS20001021.1000.0734-E19
E34	CBS20001021.1000.0734-E20
E2	CBS20001021.1000.0734-E21
E3	CBS20001021.1000.0734-E22
E4	CBS20001021.1000.0734-E23
E5	CBS20001021.1000.0734-E24
EM1	CBS20001021.1000.0734-E12-1
EM7	CBS20001021.1000.0734-E1-2
EM8	CBS20001021.1000.0734-E2-3
EM9	CBS20001021.1000.0734-E12-4
EM10	CBS20001021.1000.0734-E1-5
EM11	CBS20001021.1000.0734-E3-6
EM12	CBS20001021.1000.0734-E2-7
EM13	CBS20001021.1000.0734-E4-8
EM14	CBS20001021.1000.0734-E5-9
EM16	CBS20001021.1000.0734-E6-10
EM19	CBS20001021.1000.0734-E2-11
EM20	CBS20001021.1000.0734-E6-12
EM22	CBS20001021.1000.0734-E7-13
EM23	CBS20001021.1000.0734-E21-14
EM25	CBS20001021.1000.0734-E23-15
EM27	CBS20001021.1000.0734-E24-16
EM28	CBS20001021.1000.0734-E22-17
EM29	CBS20001021.1000.0734-E8-18
EM31	CBS20001021.1000.0734-E2-19
EM33	CBS20001021.1000.0734-E9-20
EM34	CBS20001021.1000.0734-E2-21
EM36	CBS20001021.1000.0734-E9-22
EM38	CBS20001021.1000.0734-E8-23
EM39	CBS20001021.1000.0734-E2-24
EM41	CBS20001021.1000.0734-E10-25
EM42	CBS20001021.1000.0734-E21-26
EM44	CBS20001021.1000.0734-E22-27
EM45	CBS20001021.1000.0734-E11-28
EM46	CBS20001021.1000.0734-E13-29
EM48	CBS20001021.1000.0734-E24-30
EM49	CBS20001021.1000.0734-E14-31
EM50	CBS20001021.1000.0734-E15-32
EM51	CBS20001021.1000.0734-E16-33
EM52	CBS20001021.1000.0734-E17-34
EM54	CBS20001021.1000.0734-E18-35
EM55	CBS20001021.1000.0734-E19-36
EM56	CBS20001021.1000.0734-E20-37
EM2	CBS20001021.1000.0734-E21-38
EM3	CBS20001021.1000.0734-E22-39
EM4	CBS20001021.1000.0734-E23-40
EM5	CBS20001021.1000.0734-E24-41
R4	CBS20001021.1000.0734-R1
RM4	CBS20001021.1000.0734-R1-1
Q20	CBS20001021.1000.0734-T1
Q1	CBS20001021.1000.0734-T2
Q2	CBS20001021.1000.0734-T3
Q3	CBS20001021.1000.0734-T4
Q4	CBS20001021.1000.0734-T5
Q5	CBS20001021.1000.0734-T6
Q6	CBS20001021.1000.0734-T7
Q7	CBS20001021.1000.0734-T8
Q8	CBS20001021.1000.0734-T9
Q9	CBS20001021.1000.0734-T10
Q10	CBS20001021.1000.0734-T11
Q11	CBS20001021.1000.0734-T12
Q12	CBS20001021.1000.0734-T13
Q13	CBS20001021.1000.0734-T14
Q14	CBS20001021.1000.0734-T15
Q15	CBS20001021.1000.0734-T16
Q16	CBS20001021.1000.0734-T17
Q17	CBS20001021.1000.0734-T18
Q18	CBS20001021.1000.0734-T19
Q19	CBS20001021.1000.0734-T20
