CE11	CTV20001017.1330.0441-CE1
CE12	CTV20001017.1330.0441-CE2
CE13	CTV20001017.1330.0441-CE3
CE14	CTV20001017.1330.0441-CE4
CE15	CTV20001017.1330.0441-CE5
CE1	CTV20001017.1330.0441-CE6
CE2	CTV20001017.1330.0441-CE7
CE3	CTV20001017.1330.0441-CE8
CE4	CTV20001017.1330.0441-CE9
CE5	CTV20001017.1330.0441-CE10
CE6	CTV20001017.1330.0441-CE11
CE8	CTV20001017.1330.0441-CE12
CE9	CTV20001017.1330.0441-CE13
CE10	CTV20001017.1330.0441-CE14
E13	CTV20001017.1330.0441-E1
E14	CTV20001017.1330.0441-E2
E15	CTV20001017.1330.0441-E3
E16	CTV20001017.1330.0441-E4
E17	CTV20001017.1330.0441-E5
E1	CTV20001017.1330.0441-E6
E2	CTV20001017.1330.0441-E7
E3	CTV20001017.1330.0441-E8
E4	CTV20001017.1330.0441-E9
E5	CTV20001017.1330.0441-E10
E6	CTV20001017.1330.0441-E11
E7	CTV20001017.1330.0441-E12
E8	CTV20001017.1330.0441-E13
E18	CTV20001017.1330.0441-E14
E10	CTV20001017.1330.0441-E15
E11	CTV20001017.1330.0441-E16
E12	CTV20001017.1330.0441-E17
EM1	CTV20001017.1330.0441-E6-1
EM20	CTV20001017.1330.0441-E1-2
EM21	CTV20001017.1330.0441-E2-3
EM22	CTV20001017.1330.0441-E2-4
EM23	CTV20001017.1330.0441-E3-5
EM24	CTV20001017.1330.0441-E6-6
EM25	CTV20001017.1330.0441-E2-7
EM26	CTV20001017.1330.0441-E4-8
EM27	CTV20001017.1330.0441-E5-9
EM29	CTV20001017.1330.0441-E14-10
EM2	CTV20001017.1330.0441-E6-11
EM3	CTV20001017.1330.0441-E7-12
EM4	CTV20001017.1330.0441-E8-13
EM5	CTV20001017.1330.0441-E9-14
EM6	CTV20001017.1330.0441-E10-15
EM7	CTV20001017.1330.0441-E11-16
EM8	CTV20001017.1330.0441-E12-17
EM9	CTV20001017.1330.0441-E12-18
EM10	CTV20001017.1330.0441-E6-19
EM11	CTV20001017.1330.0441-E13-20
EM28	CTV20001017.1330.0441-E14-21
EM13	CTV20001017.1330.0441-E15-22
EM14	CTV20001017.1330.0441-E16-23
EM15	CTV20001017.1330.0441-E17-24
EM16	CTV20001017.1330.0441-E9-25
EM17	CTV20001017.1330.0441-E16-26
EM18	CTV20001017.1330.0441-E12-27
EM19	CTV20001017.1330.0441-E6-28
R1	CTV20001017.1330.0441-R1
R2	CTV20001017.1330.0441-R2
R3	CTV20001017.1330.0441-R3
R4	CTV20001017.1330.0441-R4
R5	CTV20001017.1330.0441-R5
R6	CTV20001017.1330.0441-R6
R7	CTV20001017.1330.0441-R7
RM1	CTV20001017.1330.0441-R1-1
RM2	CTV20001017.1330.0441-R2-1
RM3	CTV20001017.1330.0441-R3-1
RM4	CTV20001017.1330.0441-R4-1
RM5	CTV20001017.1330.0441-R5-1
RM6	CTV20001017.1330.0441-R6-1
RM7	CTV20001017.1330.0441-R6-2
V1	CTV20001017.1330.0441-EV1
V2	CTV20001017.1330.0441-EV2
VM1	CTV20001017.1330.0441-EV1-1
VM2	CTV20001017.1330.0441-EV2-1
Q2	CTV20001017.1330.0441-T1
Q3	CTV20001017.1330.0441-T2
Q4	CTV20001017.1330.0441-T3
Q5	CTV20001017.1330.0441-T4
Q6	CTV20001017.1330.0441-V1
Q7	CTV20001017.1330.0441-V2
Q8	CTV20001017.1330.0441-V3
QM6	CTV20001017.1330.0441-V1-1
QM7	CTV20001017.1330.0441-V2-1
QM8	CTV20001017.1330.0441-V3-1
