CE11	CTS20001015.1300.1065-CE1
CE12	CTS20001015.1300.1065-CE2
CE13	CTS20001015.1300.1065-CE3
CE14	CTS20001015.1300.1065-CE4
CE15	CTS20001015.1300.1065-CE5
CE16	CTS20001015.1300.1065-CE6
CE18	CTS20001015.1300.1065-CE7
CE19	CTS20001015.1300.1065-CE8
CE1	CTS20001015.1300.1065-CE9
CE20	CTS20001015.1300.1065-CE10
CE3	CTS20001015.1300.1065-CE11
CE5	CTS20001015.1300.1065-CE12
CE6	CTS20001015.1300.1065-CE13
CE7	CTS20001015.1300.1065-CE14
CE21	CTS20001015.1300.1065-CE15
CE8	CTS20001015.1300.1065-CE16
CE9	CTS20001015.1300.1065-CE17
CE10	CTS20001015.1300.1065-CE18
E11	CTS20001015.1300.1065-E1
E12	CTS20001015.1300.1065-E2
E13	CTS20001015.1300.1065-E3
E14	CTS20001015.1300.1065-E4
E15	CTS20001015.1300.1065-E5
E16	CTS20001015.1300.1065-E6
E17	CTS20001015.1300.1065-E7
E18	CTS20001015.1300.1065-E8
E19	CTS20001015.1300.1065-E9
E20	CTS20001015.1300.1065-E10
E22	CTS20001015.1300.1065-E11
E23	CTS20001015.1300.1065-E12
E24	CTS20001015.1300.1065-E13
E1	CTS20001015.1300.1065-E14
E25	CTS20001015.1300.1065-E15
E3	CTS20001015.1300.1065-E16
E26	CTS20001015.1300.1065-E17
E5	CTS20001015.1300.1065-E18
E6	CTS20001015.1300.1065-E19
E7	CTS20001015.1300.1065-E20
E8	CTS20001015.1300.1065-E21
E9	CTS20001015.1300.1065-E22
E10	CTS20001015.1300.1065-E23
EM1	CTS20001015.1300.1065-E14-1
EM19	CTS20001015.1300.1065-E2-2
EM20	CTS20001015.1300.1065-E2-3
EM21	CTS20001015.1300.1065-E3-4
EM22	CTS20001015.1300.1065-E19-5
EM23	CTS20001015.1300.1065-E4-6
EM24	CTS20001015.1300.1065-E14-7
EM25	CTS20001015.1300.1065-E14-8
EM26	CTS20001015.1300.1065-E5-9
EM27	CTS20001015.1300.1065-E20-10
EM28	CTS20001015.1300.1065-E20-11
EM29	CTS20001015.1300.1065-E14-12
EM30	CTS20001015.1300.1065-E6-13
EM31	CTS20001015.1300.1065-E14-14
EM32	CTS20001015.1300.1065-E4-15
EM33	CTS20001015.1300.1065-E20-16
EM34	CTS20001015.1300.1065-E20-17
EM35	CTS20001015.1300.1065-E23-18
EM36	CTS20001015.1300.1065-E7-19
EM37	CTS20001015.1300.1065-E14-20
EM38	CTS20001015.1300.1065-E8-21
EM39	CTS20001015.1300.1065-E9-22
EM40	CTS20001015.1300.1065-E10-23
EM41	CTS20001015.1300.1065-E20-24
EM42	CTS20001015.1300.1065-E9-25
EM43	CTS20001015.1300.1065-E14-26
EM44	CTS20001015.1300.1065-E11-27
EM45	CTS20001015.1300.1065-E11-28
EM46	CTS20001015.1300.1065-E12-29
EM47	CTS20001015.1300.1065-E13-30
EM48	CTS20001015.1300.1065-E20-31
EM49	CTS20001015.1300.1065-E20-32
EM50	CTS20001015.1300.1065-E15-33
EM3	CTS20001015.1300.1065-E16-34
EM51	CTS20001015.1300.1065-E17-35
EM5	CTS20001015.1300.1065-E18-36
EM6	CTS20001015.1300.1065-E19-37
EM7	CTS20001015.1300.1065-E14-38
EM8	CTS20001015.1300.1065-E20-39
EM9	CTS20001015.1300.1065-E20-40
EM2	CTS20001015.1300.1065-E20-41
EM10	CTS20001015.1300.1065-E14-42
EM11	CTS20001015.1300.1065-E21-43
EM12	CTS20001015.1300.1065-E14-44
EM13	CTS20001015.1300.1065-E22-45
EM14	CTS20001015.1300.1065-E22-46
EM15	CTS20001015.1300.1065-E14-47
EM16	CTS20001015.1300.1065-E23-48
EM17	CTS20001015.1300.1065-E19-49
EM18	CTS20001015.1300.1065-E1-50
R7	CTS20001015.1300.1065-R1
R3	CTS20001015.1300.1065-R2
R4	CTS20001015.1300.1065-R3
R5	CTS20001015.1300.1065-R4
R6	CTS20001015.1300.1065-R5
R9	CTS20001015.1300.1065-R6
R10	CTS20001015.1300.1065-R7
R11	CTS20001015.1300.1065-R8
R12	CTS20001015.1300.1065-R9
R13	CTS20001015.1300.1065-R10
R14	CTS20001015.1300.1065-R11
RM7	CTS20001015.1300.1065-R1-1
RM3	CTS20001015.1300.1065-R2-1
RM4	CTS20001015.1300.1065-R3-1
RM5	CTS20001015.1300.1065-R4-1
RM6	CTS20001015.1300.1065-R4-2
RM9	CTS20001015.1300.1065-R6-1
RM10	CTS20001015.1300.1065-R7-1
RM11	CTS20001015.1300.1065-R8-1
RM12	CTS20001015.1300.1065-R9-1
RM13	CTS20001015.1300.1065-R10-1
RM14	CTS20001015.1300.1065-R11-1
V1	CTS20001015.1300.1065-EV1
V2	CTS20001015.1300.1065-EV2
V3	CTS20001015.1300.1065-EV3
V4	CTS20001015.1300.1065-EV4
VM1	CTS20001015.1300.1065-EV1-1
VM2	CTS20001015.1300.1065-EV2-1
VM3	CTS20001015.1300.1065-EV3-1
VM4	CTS20001015.1300.1065-EV4-1
Q1	CTS20001015.1300.1065-T1
Q2	CTS20001015.1300.1065-T2
Q3	CTS20001015.1300.1065-T3
Q4	CTS20001015.1300.1065-T4
Q5	CTS20001015.1300.1065-T5
Q6	CTS20001015.1300.1065-T6
