CE15	CTS20001011.1800.1546-CE1
CE16	CTS20001011.1800.1546-CE2
CE17	CTS20001011.1800.1546-CE3
CE18	CTS20001011.1800.1546-CE4
CE19	CTS20001011.1800.1546-CE5
CE20	CTS20001011.1800.1546-CE6
CE21	CTS20001011.1800.1546-CE7
CE22	CTS20001011.1800.1546-CE8
CE23	CTS20001011.1800.1546-CE9
CE24	CTS20001011.1800.1546-CE10
CE25	CTS20001011.1800.1546-CE11
CE26	CTS20001011.1800.1546-CE12
CE27	CTS20001011.1800.1546-CE13
CE1	CTS20001011.1800.1546-CE14
CE2	CTS20001011.1800.1546-CE15
CE3	CTS20001011.1800.1546-CE16
CE4	CTS20001011.1800.1546-CE17
CE5	CTS20001011.1800.1546-CE18
CE6	CTS20001011.1800.1546-CE19
CE7	CTS20001011.1800.1546-CE20
CE8	CTS20001011.1800.1546-CE21
CE9	CTS20001011.1800.1546-CE22
CE11	CTS20001011.1800.1546-CE23
CE12	CTS20001011.1800.1546-CE24
CE13	CTS20001011.1800.1546-CE25
E15	CTS20001011.1800.1546-E1
E16	CTS20001011.1800.1546-E2
E17	CTS20001011.1800.1546-E3
E18	CTS20001011.1800.1546-E4
E19	CTS20001011.1800.1546-E5
E20	CTS20001011.1800.1546-E6
E21	CTS20001011.1800.1546-E7
E22	CTS20001011.1800.1546-E8
E23	CTS20001011.1800.1546-E9
E24	CTS20001011.1800.1546-E10
E25	CTS20001011.1800.1546-E11
E1	CTS20001011.1800.1546-E12
E26	CTS20001011.1800.1546-E13
E27	CTS20001011.1800.1546-E14
E2	CTS20001011.1800.1546-E15
E3	CTS20001011.1800.1546-E16
E4	CTS20001011.1800.1546-E17
E5	CTS20001011.1800.1546-E18
E6	CTS20001011.1800.1546-E19
E7	CTS20001011.1800.1546-E20
E8	CTS20001011.1800.1546-E21
E9	CTS20001011.1800.1546-E22
E11	CTS20001011.1800.1546-E23
E12	CTS20001011.1800.1546-E24
E13	CTS20001011.1800.1546-E25
EM1	CTS20001011.1800.1546-E12-1
EM18	CTS20001011.1800.1546-E1-2
EM19	CTS20001011.1800.1546-E25-3
EM20	CTS20001011.1800.1546-E1-4
EM21	CTS20001011.1800.1546-E18-5
EM22	CTS20001011.1800.1546-E18-6
EM23	CTS20001011.1800.1546-E2-7
EM24	CTS20001011.1800.1546-E3-8
EM25	CTS20001011.1800.1546-E1-9
EM26	CTS20001011.1800.1546-E4-10
EM27	CTS20001011.1800.1546-E5-11
EM28	CTS20001011.1800.1546-E5-12
EM29	CTS20001011.1800.1546-E6-13
EM30	CTS20001011.1800.1546-E7-14
EM31	CTS20001011.1800.1546-E7-15
EM32	CTS20001011.1800.1546-E7-16
EM33	CTS20001011.1800.1546-E8-17
EM34	CTS20001011.1800.1546-E8-18
EM35	CTS20001011.1800.1546-E9-19
EM36	CTS20001011.1800.1546-E2-20
EM37	CTS20001011.1800.1546-E18-21
EM38	CTS20001011.1800.1546-E10-22
EM39	CTS20001011.1800.1546-E17-23
EM40	CTS20001011.1800.1546-E11-24
EM41	CTS20001011.1800.1546-E13-25
EM42	CTS20001011.1800.1546-E14-26
EM2	CTS20001011.1800.1546-E15-27
EM3	CTS20001011.1800.1546-E16-28
EM4	CTS20001011.1800.1546-E12-29
EM6	CTS20001011.1800.1546-E17-30
EM7	CTS20001011.1800.1546-E18-31
EM8	CTS20001011.1800.1546-E17-32
EM9	CTS20001011.1800.1546-E19-33
EM10	CTS20001011.1800.1546-E20-34
EM11	CTS20001011.1800.1546-E21-35
EM12	CTS20001011.1800.1546-E22-36
EM14	CTS20001011.1800.1546-E23-37
EM15	CTS20001011.1800.1546-E24-38
EM16	CTS20001011.1800.1546-E25-39
R1	CTS20001011.1800.1546-R1
R2	CTS20001011.1800.1546-R2
R3	CTS20001011.1800.1546-R3
R4	CTS20001011.1800.1546-R4
R5	CTS20001011.1800.1546-R5
R6	CTS20001011.1800.1546-R6
R7	CTS20001011.1800.1546-R7
R9	CTS20001011.1800.1546-R8
R10	CTS20001011.1800.1546-R9
R11	CTS20001011.1800.1546-R10
RM1	CTS20001011.1800.1546-R1-1
RM2	CTS20001011.1800.1546-R2-1
RM3	CTS20001011.1800.1546-R3-1
RM4	CTS20001011.1800.1546-R4-1
RM5	CTS20001011.1800.1546-R5-1
RM6	CTS20001011.1800.1546-R6-1
RM7	CTS20001011.1800.1546-R7-1
RM9	CTS20001011.1800.1546-R8-1
RM11	CTS20001011.1800.1546-R9-1
RM12	CTS20001011.1800.1546-R10-1
V1	CTS20001011.1800.1546-EV1
VM1	CTS20001011.1800.1546-EV1-1
Q1	CTS20001011.1800.1546-T1
Q2	CTS20001011.1800.1546-T2
Q3	CTS20001011.1800.1546-T3
Q4	CTS20001011.1800.1546-T4
Q5	CTS20001011.1800.1546-T5
Q6	CTS20001011.1800.1546-T6
Q7	CTS20001011.1800.1546-V1
Q8	CTS20001011.1800.1546-T7
QM7	CTS20001011.1800.1546-V1-1
