CE12	CTV20001106.1330.1457-CE1
CE1	CTV20001106.1330.1457-CE2
CE2	CTV20001106.1330.1457-CE3
CE3	CTV20001106.1330.1457-CE4
CE4	CTV20001106.1330.1457-CE5
CE5	CTV20001106.1330.1457-CE6
CE6	CTV20001106.1330.1457-CE7
CE7	CTV20001106.1330.1457-CE8
CE9	CTV20001106.1330.1457-CE9
CE10	CTV20001106.1330.1457-CE10
CE11	CTV20001106.1330.1457-CE11
E14	CTV20001106.1330.1457-E1
E1	CTV20001106.1330.1457-E2
E2	CTV20001106.1330.1457-E3
E3	CTV20001106.1330.1457-E4
E4	CTV20001106.1330.1457-E5
E5	CTV20001106.1330.1457-E6
E6	CTV20001106.1330.1457-E7
E7	CTV20001106.1330.1457-E8
E8	CTV20001106.1330.1457-E9
E9	CTV20001106.1330.1457-E10
E11	CTV20001106.1330.1457-E11
E12	CTV20001106.1330.1457-E12
E13	CTV20001106.1330.1457-E13
EM1	CTV20001106.1330.1457-E2-1
EM19	CTV20001106.1330.1457-E3-2
EM20	CTV20001106.1330.1457-E6-3
EM21	CTV20001106.1330.1457-E1-4
EM2	CTV20001106.1330.1457-E3-5
EM3	CTV20001106.1330.1457-E3-6
EM4	CTV20001106.1330.1457-E4-7
EM5	CTV20001106.1330.1457-E5-8
EM6	CTV20001106.1330.1457-E6-9
EM7	CTV20001106.1330.1457-E7-10
EM8	CTV20001106.1330.1457-E5-11
EM9	CTV20001106.1330.1457-E8-12
EM10	CTV20001106.1330.1457-E6-13
EM11	CTV20001106.1330.1457-E9-14
EM12	CTV20001106.1330.1457-E3-15
EM13	CTV20001106.1330.1457-E10-16
EM15	CTV20001106.1330.1457-E11-17
EM16	CTV20001106.1330.1457-E6-18
EM17	CTV20001106.1330.1457-E12-19
EM18	CTV20001106.1330.1457-E13-20
R1	CTV20001106.1330.1457-R1
R2	CTV20001106.1330.1457-R2
R3	CTV20001106.1330.1457-R3
R4	CTV20001106.1330.1457-R4
R5	CTV20001106.1330.1457-R5
R6	CTV20001106.1330.1457-R6
R7	CTV20001106.1330.1457-R7
R8	CTV20001106.1330.1457-R8
RM1	CTV20001106.1330.1457-R1-1
RM2	CTV20001106.1330.1457-R2-1
RM3	CTV20001106.1330.1457-R3-1
RM4	CTV20001106.1330.1457-R4-1
RM5	CTV20001106.1330.1457-R5-1
RM6	CTV20001106.1330.1457-R6-1
RM7	CTV20001106.1330.1457-R7-1
RM8	CTV20001106.1330.1457-R8-1
V1	CTV20001106.1330.1457-EV1
V4	CTV20001106.1330.1457-EV2
V6	CTV20001106.1330.1457-EV3
VM1	CTV20001106.1330.1457-EV1-1
VM5	CTV20001106.1330.1457-EV2-1
VM7	CTV20001106.1330.1457-EV3-1
Q1	CTV20001106.1330.1457-T1
Q2	CTV20001106.1330.1457-T2
Q3	CTV20001106.1330.1457-V1
Q4	CTV20001106.1330.1457-T3
Q5	CTV20001106.1330.1457-V2
Q6	CTV20001106.1330.1457-T4
Q7	CTV20001106.1330.1457-T5
QM3	CTV20001106.1330.1457-V1-1
QM5	CTV20001106.1330.1457-V2-1
