CE1	CNR20001217.1700.1117-CE1
CE2	CNR20001217.1700.1117-CE2
CE3	CNR20001217.1700.1117-CE3
CE4	CNR20001217.1700.1117-CE4
CE5	CNR20001217.1700.1117-CE5
CE6	CNR20001217.1700.1117-CE6
CE7	CNR20001217.1700.1117-CE7
CE8	CNR20001217.1700.1117-CE8
E1	CNR20001217.1700.1117-E1
E2	CNR20001217.1700.1117-E2
E3	CNR20001217.1700.1117-E3
E4	CNR20001217.1700.1117-E4
E5	CNR20001217.1700.1117-E5
E6	CNR20001217.1700.1117-E6
E7	CNR20001217.1700.1117-E7
E8	CNR20001217.1700.1117-E8
EM1	CNR20001217.1700.1117-E1-1
EM3	CNR20001217.1700.1117-E2-2
EM4	CNR20001217.1700.1117-E3-3
EM5	CNR20001217.1700.1117-E4-4
EM6	CNR20001217.1700.1117-E5-5
EM7	CNR20001217.1700.1117-E6-6
EM8	CNR20001217.1700.1117-E1-7
EM9	CNR20001217.1700.1117-E3-8
EM10	CNR20001217.1700.1117-E4-9
EM11	CNR20001217.1700.1117-E5-10
EM12	CNR20001217.1700.1117-E7-11
EM13	CNR20001217.1700.1117-E8-12
R1	CNR20001217.1700.1117-R1
R2	CNR20001217.1700.1117-R2
RM1	CNR20001217.1700.1117-R1-1
RM2	CNR20001217.1700.1117-R2-1
V1	CNR20001217.1700.1117-EV1
VM2	CNR20001217.1700.1117-EV1-1
VM1	CNR20001217.1700.1117-EV1-2
Q2	CNR20001217.1700.1117-T1
Q3	CNR20001217.1700.1117-T2
