CE13	CNR20001218.1700.1337-CE1
CE16	CNR20001218.1700.1337-CE2
CE17	CNR20001218.1700.1337-CE3
CE18	CNR20001218.1700.1337-CE4
CE19	CNR20001218.1700.1337-CE5
CE20	CNR20001218.1700.1337-CE6
CE21	CNR20001218.1700.1337-CE7
CE22	CNR20001218.1700.1337-CE8
CE23	CNR20001218.1700.1337-CE9
CE24	CNR20001218.1700.1337-CE10
CE25	CNR20001218.1700.1337-CE11
CE26	CNR20001218.1700.1337-CE12
CE27	CNR20001218.1700.1337-CE13
CE29	CNR20001218.1700.1337-CE14
CE30	CNR20001218.1700.1337-CE15
CE31	CNR20001218.1700.1337-CE16
CE32	CNR20001218.1700.1337-CE17
CE33	CNR20001218.1700.1337-CE18
CE35	CNR20001218.1700.1337-CE19
CE36	CNR20001218.1700.1337-CE20
CE37	CNR20001218.1700.1337-CE21
CE38	CNR20001218.1700.1337-CE22
CE39	CNR20001218.1700.1337-CE23
CE40	CNR20001218.1700.1337-CE24
CE42	CNR20001218.1700.1337-CE25
CE1	CNR20001218.1700.1337-CE26
CE43	CNR20001218.1700.1337-CE27
CE44	CNR20001218.1700.1337-CE28
CE45	CNR20001218.1700.1337-CE29
CE47	CNR20001218.1700.1337-CE30
CE48	CNR20001218.1700.1337-CE31
CE49	CNR20001218.1700.1337-CE32
CE50	CNR20001218.1700.1337-CE33
CE51	CNR20001218.1700.1337-CE34
CE52	CNR20001218.1700.1337-CE35
CE54	CNR20001218.1700.1337-CE36
CE55	CNR20001218.1700.1337-CE37
CE56	CNR20001218.1700.1337-CE38
CE58	CNR20001218.1700.1337-CE39
CE59	CNR20001218.1700.1337-CE40
CE62	CNR20001218.1700.1337-CE41
CE63	CNR20001218.1700.1337-CE42
CE64	CNR20001218.1700.1337-CE43
CE65	CNR20001218.1700.1337-CE44
CE4	CNR20001218.1700.1337-CE45
CE5	CNR20001218.1700.1337-CE46
CE6	CNR20001218.1700.1337-CE47
CE7	CNR20001218.1700.1337-CE48
CE8	CNR20001218.1700.1337-CE49
CE9	CNR20001218.1700.1337-CE50
CE11	CNR20001218.1700.1337-CE51
CE12	CNR20001218.1700.1337-CE52
E15	CNR20001218.1700.1337-E1
E16	CNR20001218.1700.1337-E2
E19	CNR20001218.1700.1337-E3
E20	CNR20001218.1700.1337-E4
E21	CNR20001218.1700.1337-E5
E22	CNR20001218.1700.1337-E6
E23	CNR20001218.1700.1337-E7
E24	CNR20001218.1700.1337-E8
E25	CNR20001218.1700.1337-E9
E26	CNR20001218.1700.1337-E10
E27	CNR20001218.1700.1337-E11
E28	CNR20001218.1700.1337-E12
E29	CNR20001218.1700.1337-E13
E30	CNR20001218.1700.1337-E14
E31	CNR20001218.1700.1337-E15
E32	CNR20001218.1700.1337-E16
E33	CNR20001218.1700.1337-E17
E34	CNR20001218.1700.1337-E18
E36	CNR20001218.1700.1337-E19
E37	CNR20001218.1700.1337-E20
E38	CNR20001218.1700.1337-E21
E39	CNR20001218.1700.1337-E22
E40	CNR20001218.1700.1337-E23
E1	CNR20001218.1700.1337-E24
E42	CNR20001218.1700.1337-E25
E44	CNR20001218.1700.1337-E26
E45	CNR20001218.1700.1337-E27
E46	CNR20001218.1700.1337-E28
E47	CNR20001218.1700.1337-E29
E48	CNR20001218.1700.1337-E30
E49	CNR20001218.1700.1337-E31
E50	CNR20001218.1700.1337-E32
E52	CNR20001218.1700.1337-E33
E53	CNR20001218.1700.1337-E34
E54	CNR20001218.1700.1337-E35
E55	CNR20001218.1700.1337-E36
E57	CNR20001218.1700.1337-E37
E58	CNR20001218.1700.1337-E38
E59	CNR20001218.1700.1337-E39
E60	CNR20001218.1700.1337-E40
E61	CNR20001218.1700.1337-E41
E62	CNR20001218.1700.1337-E42
E64	CNR20001218.1700.1337-E43
E65	CNR20001218.1700.1337-E44
E66	CNR20001218.1700.1337-E45
E68	CNR20001218.1700.1337-E46
E69	CNR20001218.1700.1337-E47
E72	CNR20001218.1700.1337-E48
E73	CNR20001218.1700.1337-E49
E74	CNR20001218.1700.1337-E50
E76	CNR20001218.1700.1337-E51
E75	CNR20001218.1700.1337-E52
E4	CNR20001218.1700.1337-E53
E5	CNR20001218.1700.1337-E54
E6	CNR20001218.1700.1337-E55
E7	CNR20001218.1700.1337-E56
E8	CNR20001218.1700.1337-E57
E9	CNR20001218.1700.1337-E58
E10	CNR20001218.1700.1337-E59
E12	CNR20001218.1700.1337-E60
E13	CNR20001218.1700.1337-E61
E14	CNR20001218.1700.1337-E62
EM1	CNR20001218.1700.1337-E24-1
EM19	CNR20001218.1700.1337-E1-2
