CE8	CTS20001206.1300.0190-CE1
CE9	CTS20001206.1300.0190-CE2
CE1	CTS20001206.1300.0190-CE3
CE2	CTS20001206.1300.0190-CE4
CE3	CTS20001206.1300.0190-CE5
CE4	CTS20001206.1300.0190-CE6
CE5	CTS20001206.1300.0190-CE7
CE6	CTS20001206.1300.0190-CE8
CE7	CTS20001206.1300.0190-CE9
E10	CTS20001206.1300.0190-E1
E11	CTS20001206.1300.0190-E2
E12	CTS20001206.1300.0190-E3
E1	CTS20001206.1300.0190-E4
E2	CTS20001206.1300.0190-E5
E3	CTS20001206.1300.0190-E6
E4	CTS20001206.1300.0190-E7
E5	CTS20001206.1300.0190-E8
E6	CTS20001206.1300.0190-E9
E7	CTS20001206.1300.0190-E10
E8	CTS20001206.1300.0190-E11
EM1	CTS20001206.1300.0190-E4-1
EM24	CTS20001206.1300.0190-E6-2
EM25	CTS20001206.1300.0190-E6-3
EM26	CTS20001206.1300.0190-E1-4
EM27	CTS20001206.1300.0190-E6-5
EM28	CTS20001206.1300.0190-E6-6
EM30	CTS20001206.1300.0190-E2-7
EM31	CTS20001206.1300.0190-E4-8
EM3	CTS20001206.1300.0190-E3-9
EM8	CTS20001206.1300.0190-E3-10
EM2	CTS20001206.1300.0190-E5-11
EM4	CTS20001206.1300.0190-E7-12
EM5	CTS20001206.1300.0190-E4-13
EM6	CTS20001206.1300.0190-E6-14
EM7	CTS20001206.1300.0190-E4-15
EM9	CTS20001206.1300.0190-E7-16
EM10	CTS20001206.1300.0190-E5-17
EM11	CTS20001206.1300.0190-E4-18
EM12	CTS20001206.1300.0190-E4-19
EM13	CTS20001206.1300.0190-E6-20
EM14	CTS20001206.1300.0190-E8-21
EM15	CTS20001206.1300.0190-E4-22
EM16	CTS20001206.1300.0190-E4-23
EM17	CTS20001206.1300.0190-E6-24
EM18	CTS20001206.1300.0190-E9-25
EM19	CTS20001206.1300.0190-E9-26
EM20	CTS20001206.1300.0190-E10-27
EM21	CTS20001206.1300.0190-E6-28
EM22	CTS20001206.1300.0190-E11-29
R1	CTS20001206.1300.0190-R1
R2	CTS20001206.1300.0190-R2
R3	CTS20001206.1300.0190-R3
R5	CTS20001206.1300.0190-R4
R6	CTS20001206.1300.0190-R5
R7	CTS20001206.1300.0190-R6
R8	CTS20001206.1300.0190-R7
R10	CTS20001206.1300.0190-R8
R11	CTS20001206.1300.0190-R9
RM1	CTS20001206.1300.0190-R1-1
RM2	CTS20001206.1300.0190-R2-1
RM3	CTS20001206.1300.0190-R3-1
RM4	CTS20001206.1300.0190-R2-2
RM5	CTS20001206.1300.0190-R5-1
RM6	CTS20001206.1300.0190-R6-1
RM8	CTS20001206.1300.0190-R8-1
RM9	CTS20001206.1300.0190-R9-1
V1	CTS20001206.1300.0190-EV1
V2	CTS20001206.1300.0190-EV2
V3	CTS20001206.1300.0190-EV3
VM1	CTS20001206.1300.0190-EV1-1
VM2	CTS20001206.1300.0190-EV2-1
VM3	CTS20001206.1300.0190-EV3-1
Q1	CTS20001206.1300.0190-T1
Q2	CTS20001206.1300.0190-T2
Q3	CTS20001206.1300.0190-T3
Q4	CTS20001206.1300.0190-T4
Q5	CTS20001206.1300.0190-T5
