CE10	NTV20001002.1530.0534-CE1
CE11	NTV20001002.1530.0534-CE2
CE12	NTV20001002.1530.0534-CE3
CE13	NTV20001002.1530.0534-CE4
CE14	NTV20001002.1530.0534-CE5
CE15	NTV20001002.1530.0534-CE6
CE16	NTV20001002.1530.0534-CE7
CE17	NTV20001002.1530.0534-CE8
CE18	NTV20001002.1530.0534-CE9
CE19	NTV20001002.1530.0534-CE10
CE20	NTV20001002.1530.0534-CE11
CE21	NTV20001002.1530.0534-CE12
CE22	NTV20001002.1530.0534-CE13
CE23	NTV20001002.1530.0534-CE14
CE1	NTV20001002.1530.0534-CE15
CE24	NTV20001002.1530.0534-CE16
CE25	NTV20001002.1530.0534-CE17
CE26	NTV20001002.1530.0534-CE18
CE27	NTV20001002.1530.0534-CE19
CE28	NTV20001002.1530.0534-CE20
CE29	NTV20001002.1530.0534-CE21
CE30	NTV20001002.1530.0534-CE22
CE31	NTV20001002.1530.0534-CE23
CE2	NTV20001002.1530.0534-CE24
CE3	NTV20001002.1530.0534-CE25
CE4	NTV20001002.1530.0534-CE26
CE5	NTV20001002.1530.0534-CE27
CE6	NTV20001002.1530.0534-CE28
CE8	NTV20001002.1530.0534-CE29
CE9	NTV20001002.1530.0534-CE30
E13	NTV20001002.1530.0534-E1
E14	NTV20001002.1530.0534-E2
E15	NTV20001002.1530.0534-E3
E16	NTV20001002.1530.0534-E4
E17	NTV20001002.1530.0534-E5
E18	NTV20001002.1530.0534-E6
E20	NTV20001002.1530.0534-E7
E21	NTV20001002.1530.0534-E8
E22	NTV20001002.1530.0534-E9
E23	NTV20001002.1530.0534-E10
E24	NTV20001002.1530.0534-E11
E25	NTV20001002.1530.0534-E12
E26	NTV20001002.1530.0534-E13
E27	NTV20001002.1530.0534-E14
E28	NTV20001002.1530.0534-E15
E29	NTV20001002.1530.0534-E16
E30	NTV20001002.1530.0534-E17
E31	NTV20001002.1530.0534-E18
E32	NTV20001002.1530.0534-E19
E33	NTV20001002.1530.0534-E20
E34	NTV20001002.1530.0534-E21
E35	NTV20001002.1530.0534-E22
E36	NTV20001002.1530.0534-E23
E1	NTV20001002.1530.0534-E24
E37	NTV20001002.1530.0534-E25
E38	NTV20001002.1530.0534-E26
E39	NTV20001002.1530.0534-E27
E40	NTV20001002.1530.0534-E28
E41	NTV20001002.1530.0534-E29
E42	NTV20001002.1530.0534-E30
E43	NTV20001002.1530.0534-E31
E44	NTV20001002.1530.0534-E32
E45	NTV20001002.1530.0534-E33
E46	NTV20001002.1530.0534-E34
E47	NTV20001002.1530.0534-E35
E1	NTV20001002.1530.0534-E36
E3	NTV20001002.1530.0534-E37
E4	NTV20001002.1530.0534-E38
E5	NTV20001002.1530.0534-E39
E6	NTV20001002.1530.0534-E40
E7	NTV20001002.1530.0534-E41
E8	NTV20001002.1530.0534-E42
E10	NTV20001002.1530.0534-E43
E11	NTV20001002.1530.0534-E44
E12	NTV20001002.1530.0534-E45
