CE11	VAR20001015.1300.1179-CE1
CE12	VAR20001015.1300.1179-CE2
CE13	VAR20001015.1300.1179-CE3
CE14	VAR20001015.1300.1179-CE4
CE1	VAR20001015.1300.1179-CE5
CE2	VAR20001015.1300.1179-CE6
CE3	VAR20001015.1300.1179-CE7
CE4	VAR20001015.1300.1179-CE8
CE5	VAR20001015.1300.1179-CE9
CE6	VAR20001015.1300.1179-CE10
CE7	VAR20001015.1300.1179-CE11
CE8	VAR20001015.1300.1179-CE12
CE9	VAR20001015.1300.1179-CE13
E20	VAR20001015.1300.1179-E1
E14	VAR20001015.1300.1179-E2
E15	VAR20001015.1300.1179-E3
E16	VAR20001015.1300.1179-E4
E18	VAR20001015.1300.1179-E5
E19	VAR20001015.1300.1179-E6
E21	VAR20001015.1300.1179-E7
E22	VAR20001015.1300.1179-E8
E23	VAR20001015.1300.1179-E9
E24	VAR20001015.1300.1179-E10
E1	VAR20001015.1300.1179-E11
E2	VAR20001015.1300.1179-E12
E3	VAR20001015.1300.1179-E13
E4	VAR20001015.1300.1179-E14
E6	VAR20001015.1300.1179-E15
E7	VAR20001015.1300.1179-E16
E8	VAR20001015.1300.1179-E17
E9	VAR20001015.1300.1179-E18
E10	VAR20001015.1300.1179-E19
E11	VAR20001015.1300.1179-E20
E12	VAR20001015.1300.1179-E21
EM1	VAR20001015.1300.1179-E11-1
EM27	VAR20001015.1300.1179-E1-2
EM21	VAR20001015.1300.1179-E2-3
EM22	VAR20001015.1300.1179-E3-4
EM20	VAR20001015.1300.1179-E13-5
EM23	VAR20001015.1300.1179-E12-6
EM24	VAR20001015.1300.1179-E16-7
EM25	VAR20001015.1300.1179-E16-8
EM26	VAR20001015.1300.1179-E17-9
EM2	VAR20001015.1300.1179-E7-10
EM28	VAR20001015.1300.1179-E17-11
EM29	VAR20001015.1300.1179-E12-12
EM30	VAR20001015.1300.1179-E13-13
EM31	VAR20001015.1300.1179-E4-14
EM32	VAR20001015.1300.1179-E5-15
EM33	VAR20001015.1300.1179-E12-16
EM34	VAR20001015.1300.1179-E6-17
EM3	VAR20001015.1300.1179-E8-18
EM12	VAR20001015.1300.1179-E9-19
EM16	VAR20001015.1300.1179-E10-20
EM4	VAR20001015.1300.1179-E14-21
EM5	VAR20001015.1300.1179-E14-22
EM6	VAR20001015.1300.1179-E15-23
EM7	VAR20001015.1300.1179-E16-24
EM8	VAR20001015.1300.1179-E16-25
EM9	VAR20001015.1300.1179-E17-26
EM10	VAR20001015.1300.1179-E17-27
EM11	VAR20001015.1300.1179-E18-28
EM13	VAR20001015.1300.1179-E19-29
EM14	VAR20001015.1300.1179-E19-30
EM15	VAR20001015.1300.1179-E20-31
EM17	VAR20001015.1300.1179-E11-32
EM18	VAR20001015.1300.1179-E21-33
EM19	VAR20001015.1300.1179-E11-34
R1	VAR20001015.1300.1179-R1
R2	VAR20001015.1300.1179-R2
R3	VAR20001015.1300.1179-R3
R4	VAR20001015.1300.1179-R4
R5	VAR20001015.1300.1179-R5
R6	VAR20001015.1300.1179-R6
R7	VAR20001015.1300.1179-R7
R8	VAR20001015.1300.1179-R8
R9	VAR20001015.1300.1179-R9
RM1	VAR20001015.1300.1179-R1-1
RM2	VAR20001015.1300.1179-R2-1
RM3	VAR20001015.1300.1179-R3-1
RM4	VAR20001015.1300.1179-R4-1
RM5	VAR20001015.1300.1179-R5-1
RM6	VAR20001015.1300.1179-R6-1
RM7	VAR20001015.1300.1179-R7-1
RM8	VAR20001015.1300.1179-R8-1
RM9	VAR20001015.1300.1179-R9-1
V1	VAR20001015.1300.1179-EV1
VM1	VAR20001015.1300.1179-EV1-1
Q1	VAR20001015.1300.1179-T1
