CE8	GLOVEBX_20041117.0650-CE1
CE9	GLOVEBX_20041117.0650-CE2
CE10	GLOVEBX_20041117.0650-CE3
CE11	GLOVEBX_20041117.0650-CE4
CE12	GLOVEBX_20041117.0650-CE5
CE14	GLOVEBX_20041117.0650-CE6
CE15	GLOVEBX_20041117.0650-CE7
CE18	GLOVEBX_20041117.0650-CE8
CE17	GLOVEBX_20041117.0650-CE9
CE19	GLOVEBX_20041117.0650-CE10
CE20	GLOVEBX_20041117.0650-CE11
CE21	GLOVEBX_20041117.0650-CE12
CE7	GLOVEBX_20041117.0650-CE13
CE16	GLOVEBX_20041117.0650-CE14
CE13	GLOVEBX_20041117.0650-CE15
CE1	GLOVEBX_20041117.0650-CE16
CE2	GLOVEBX_20041117.0650-CE17
CE3	GLOVEBX_20041117.0650-CE18
CE4	GLOVEBX_20041117.0650-CE19
CE5	GLOVEBX_20041117.0650-CE20
CE6	GLOVEBX_20041117.0650-CE21
E7	GLOVEBX_20041117.0650-E1
E8	GLOVEBX_20041117.0650-E2
E9	GLOVEBX_20041117.0650-E3
E10	GLOVEBX_20041117.0650-E4
E11	GLOVEBX_20041117.0650-E5
E21	GLOVEBX_20041117.0650-E6
E12	GLOVEBX_20041117.0650-E7
E13	GLOVEBX_20041117.0650-E8
E14	GLOVEBX_20041117.0650-E9
E15	GLOVEBX_20041117.0650-E10
E16	GLOVEBX_20041117.0650-E11
E17	GLOVEBX_20041117.0650-E12
E18	GLOVEBX_20041117.0650-E13
E20	GLOVEBX_20041117.0650-E14
E22	GLOVEBX_20041117.0650-E15
E1	GLOVEBX_20041117.0650-E16
E2	GLOVEBX_20041117.0650-E17
E3	GLOVEBX_20041117.0650-E18
E4	GLOVEBX_20041117.0650-E19
E5	GLOVEBX_20041117.0650-E20
E6	GLOVEBX_20041117.0650-E21
EM15	GLOVEBX_20041117.0650-E18-1
EM16	GLOVEBX_20041117.0650-E17-2
EM14	GLOVEBX_20041117.0650-E1-3
EM17	GLOVEBX_20041117.0650-E17-4
EM18	GLOVEBX_20041117.0650-E19-5
EM19	GLOVEBX_20041117.0650-E19-6
EM20	GLOVEBX_20041117.0650-E17-7
EM21	GLOVEBX_20041117.0650-E17-8
EM22	GLOVEBX_20041117.0650-E2-9
EM23	GLOVEBX_20041117.0650-E18-10
EM24	GLOVEBX_20041117.0650-E3-11
EM25	GLOVEBX_20041117.0650-E18-12
EM26	GLOVEBX_20041117.0650-E17-13
EM27	GLOVEBX_20041117.0650-E18-14
EM28	GLOVEBX_20041117.0650-E17-15
EM29	GLOVEBX_20041117.0650-E4-16
EM30	GLOVEBX_20041117.0650-E18-17
EM31	GLOVEBX_20041117.0650-E5-18
EM32	GLOVEBX_20041117.0650-E17-19
EM33	GLOVEBX_20041117.0650-E17-20
EM34	GLOVEBX_20041117.0650-E18-21
EM35	GLOVEBX_20041117.0650-E4-22
EM36	GLOVEBX_20041117.0650-E17-23
EM38	GLOVEBX_20041117.0650-E17-24
EM39	GLOVEBX_20041117.0650-E18-25
EM40	GLOVEBX_20041117.0650-E7-26
EM41	GLOVEBX_20041117.0650-E17-27
EM42	GLOVEBX_20041117.0650-E17-28
EM43	GLOVEBX_20041117.0650-E17-29
EM44	GLOVEBX_20041117.0650-E18-30
EM45	GLOVEBX_20041117.0650-E8-31
EM47	GLOVEBX_20041117.0650-E18-32
EM48	GLOVEBX_20041117.0650-E17-33
EM49	GLOVEBX_20041117.0650-E18-34
EM50	GLOVEBX_20041117.0650-E17-35
EM51	GLOVEBX_20041117.0650-E9-36
EM52	GLOVEBX_20041117.0650-E10-37
EM53	GLOVEBX_20041117.0650-E18-38
EM54	GLOVEBX_20041117.0650-E17-39
EM55	GLOVEBX_20041117.0650-E17-40
EM56	GLOVEBX_20041117.0650-E8-41
EM57	GLOVEBX_20041117.0650-E11-42
EM58	GLOVEBX_20041117.0650-E12-43
EM59	GLOVEBX_20041117.0650-E13-44
EM60	GLOVEBX_20041117.0650-E18-45
EM61	GLOVEBX_20041117.0650-E17-46
EM62	GLOVEBX_20041117.0650-E17-47
EM63	GLOVEBX_20041117.0650-E18-48
EM64	GLOVEBX_20041117.0650-E18-49
EM65	GLOVEBX_20041117.0650-E17-50
EM66	GLOVEBX_20041117.0650-E17-51
EM67	GLOVEBX_20041117.0650-E18-52
EM68	GLOVEBX_20041117.0650-E17-53
EM69	GLOVEBX_20041117.0650-E17-54
EM70	GLOVEBX_20041117.0650-E17-55
EM71	GLOVEBX_20041117.0650-E12-56
EM72	GLOVEBX_20041117.0650-E18-57
EM73	GLOVEBX_20041117.0650-E17-58
EM74	GLOVEBX_20041117.0650-E17-59
EM75	GLOVEBX_20041117.0650-E18-60
EM76	GLOVEBX_20041117.0650-E17-61
EM77	GLOVEBX_20041117.0650-E19-62
EM46	GLOVEBX_20041117.0650-E14-63
EM37	GLOVEBX_20041117.0650-E15-64
EM11	GLOVEBX_20041117.0650-E6-65
EM1	GLOVEBX_20041117.0650-E16-66
EM2	GLOVEBX_20041117.0650-E17-67
EM3	GLOVEBX_20041117.0650-E17-68
EM4	GLOVEBX_20041117.0650-E18-69
EM5	GLOVEBX_20041117.0650-E17-70
EM6	GLOVEBX_20041117.0650-E17-71
EM7	GLOVEBX_20041117.0650-E17-72
EM8	GLOVEBX_20041117.0650-E18-73
EM9	GLOVEBX_20041117.0650-E17-74
EM10	GLOVEBX_20041117.0650-E19-75
EM12	GLOVEBX_20041117.0650-E20-76
EM13	GLOVEBX_20041117.0650-E21-77
R1	GLOVEBX_20041117.0650-R1
R2	GLOVEBX_20041117.0650-R2
R6	GLOVEBX_20041117.0650-R3
R3	GLOVEBX_20041117.0650-R4
R4	GLOVEBX_20041117.0650-R5
R8	GLOVEBX_20041117.0650-R6
R10	GLOVEBX_20041117.0650-R7
R14	GLOVEBX_20041117.0650-R8
R15	GLOVEBX_20041117.0650-R9
R17	GLOVEBX_20041117.0650-R10
R18	GLOVEBX_20041117.0650-R11
R19	GLOVEBX_20041117.0650-R12
R20	GLOVEBX_20041117.0650-R13
R21	GLOVEBX_20041117.0650-R14
R24	GLOVEBX_20041117.0650-R15
R26	GLOVEBX_20041117.0650-R16
R29	GLOVEBX_20041117.0650-R17
R5	GLOVEBX_20041117.0650-R18
R7	GLOVEBX_20041117.0650-R19
R9	GLOVEBX_20041117.0650-R20
R11	GLOVEBX_20041117.0650-R21
R12	GLOVEBX_20041117.0650-R22
R13	GLOVEBX_20041117.0650-R23
R16	GLOVEBX_20041117.0650-R24
R22	GLOVEBX_20041117.0650-R25
R23	GLOVEBX_20041117.0650-R26
R25	GLOVEBX_20041117.0650-R27
R27	GLOVEBX_20041117.0650-R28
R28	GLOVEBX_20041117.0650-R29
RM1	GLOVEBX_20041117.0650-R1-1
RM2	GLOVEBX_20041117.0650-R1-2
RM6	GLOVEBX_20041117.0650-R3-1
RM3	GLOVEBX_20041117.0650-R4-1
RM4	GLOVEBX_20041117.0650-R5-1
RM8	GLOVEBX_20041117.0650-R1-3
RM10	GLOVEBX_20041117.0650-R7-1
RM14	GLOVEBX_20041117.0650-R8-1
RM15	GLOVEBX_20041117.0650-R8-2
RM17	GLOVEBX_20041117.0650-R10-1
RM19	GLOVEBX_20041117.0650-R1-4
RM20	GLOVEBX_20041117.0650-R12-1
RM18	GLOVEBX_20041117.0650-R13-1
RM21	GLOVEBX_20041117.0650-R14-1
RM24	GLOVEBX_20041117.0650-R15-1
RM26	GLOVEBX_20041117.0650-R16-1
RM29	GLOVEBX_20041117.0650-R17-1
RM5	GLOVEBX_20041117.0650-R18-1
RM7	GLOVEBX_20041117.0650-R19-1
RM9	GLOVEBX_20041117.0650-R18-2
RM11	GLOVEBX_20041117.0650-R1-5
RM12	GLOVEBX_20041117.0650-R1-6
RM13	GLOVEBX_20041117.0650-R23-1
RM16	GLOVEBX_20041117.0650-R24-1
RM22	GLOVEBX_20041117.0650-R1-7
RM23	GLOVEBX_20041117.0650-R1-8
RM25	GLOVEBX_20041117.0650-R1-9
RM27	GLOVEBX_20041117.0650-R1-10
RM28	GLOVEBX_20041117.0650-R1-11
V3	GLOVEBX_20041117.0650-EV1
V4	GLOVEBX_20041117.0650-EV2
V5	GLOVEBX_20041117.0650-EV3
V2	GLOVEBX_20041117.0650-EV4
V6	GLOVEBX_20041117.0650-EV5
V7	GLOVEBX_20041117.0650-EV6
V8	GLOVEBX_20041117.0650-EV7
V1	GLOVEBX_20041117.0650-EV8
VM4	GLOVEBX_20041117.0650-EV1-1
VM6	GLOVEBX_20041117.0650-EV2-1
VM8	GLOVEBX_20041117.0650-EV3-1
VM2	GLOVEBX_20041117.0650-EV4-1
VM3	GLOVEBX_20041117.0650-EV4-2
VM9	GLOVEBX_20041117.0650-EV5-1
VM10	GLOVEBX_20041117.0650-EV6-1
VM11	GLOVEBX_20041117.0650-EV7-1
VM1	GLOVEBX_20041117.0650-EV8-1
VM5	GLOVEBX_20041117.0650-EV4-3
