CE10	NJWSL_20041204.0809-CE1
CE13	NJWSL_20041204.0809-CE2
CE14	NJWSL_20041204.0809-CE3
CE15	NJWSL_20041204.0809-CE4
CE17	NJWSL_20041204.0809-CE5
CE18	NJWSL_20041204.0809-CE6
CE19	NJWSL_20041204.0809-CE7
CE20	NJWSL_20041204.0809-CE8
CE3	NJWSL_20041204.0809-CE9
CE2	NJWSL_20041204.0809-CE10
CE21	NJWSL_20041204.0809-CE11
CE1	NJWSL_20041204.0809-CE12
CE8	NJWSL_20041204.0809-CE13
CE4	NJWSL_20041204.0809-CE14
CE5	NJWSL_20041204.0809-CE15
CE6	NJWSL_20041204.0809-CE16
CE7	NJWSL_20041204.0809-CE17
CE16	NJWSL_20041204.0809-CE18
CE9	NJWSL_20041204.0809-CE19
CE11	NJWSL_20041204.0809-CE20
CE12	NJWSL_20041204.0809-CE21
E11	NJWSL_20041204.0809-E1
E12	NJWSL_20041204.0809-E2
E13	NJWSL_20041204.0809-E3
E15	NJWSL_20041204.0809-E4
E17	NJWSL_20041204.0809-E5
E18	NJWSL_20041204.0809-E6
E19	NJWSL_20041204.0809-E7
E20	NJWSL_20041204.0809-E8
E21	NJWSL_20041204.0809-E9
E1	NJWSL_20041204.0809-E10
E22	NJWSL_20041204.0809-E11
E23	NJWSL_20041204.0809-E12
E24	NJWSL_20041204.0809-E13
E25	NJWSL_20041204.0809-E14
E2	NJWSL_20041204.0809-E15
E3	NJWSL_20041204.0809-E16
E4	NJWSL_20041204.0809-E17
E5	NJWSL_20041204.0809-E18
E6	NJWSL_20041204.0809-E19
E27	NJWSL_20041204.0809-E20
E8	NJWSL_20041204.0809-E21
E9	NJWSL_20041204.0809-E22
E10	NJWSL_20041204.0809-E23
EM2	NJWSL_20041204.0809-E10-1
EM22	NJWSL_20041204.0809-E1-2
EM17	NJWSL_20041204.0809-E1-3
EM19	NJWSL_20041204.0809-E1-4
EM14	NJWSL_20041204.0809-E1-5
EM23	NJWSL_20041204.0809-E21-6
EM24	NJWSL_20041204.0809-E1-7
EM25	NJWSL_20041204.0809-E21-8
EM26	NJWSL_20041204.0809-E1-9
EM28	NJWSL_20041204.0809-E2-10
EM30	NJWSL_20041204.0809-E2-11
EM29	NJWSL_20041204.0809-E3-12
EM31	NJWSL_20041204.0809-E1-13
EM32	NJWSL_20041204.0809-E13-14
EM33	NJWSL_20041204.0809-E4-15
EM34	NJWSL_20041204.0809-E13-16
EM35	NJWSL_20041204.0809-E2-17
EM38	NJWSL_20041204.0809-E18-18
EM39	NJWSL_20041204.0809-E4-19
