CE10	GLOVEBX_20041122.0919-CE1
CE11	GLOVEBX_20041122.0919-CE2
CE12	GLOVEBX_20041122.0919-CE3
CE13	GLOVEBX_20041122.0919-CE4
CE15	GLOVEBX_20041122.0919-CE5
CE16	GLOVEBX_20041122.0919-CE6
CE20	GLOVEBX_20041122.0919-CE7
CE17	GLOVEBX_20041122.0919-CE8
CE18	GLOVEBX_20041122.0919-CE9
CE19	GLOVEBX_20041122.0919-CE10
CE22	GLOVEBX_20041122.0919-CE11
CE23	GLOVEBX_20041122.0919-CE12
CE24	GLOVEBX_20041122.0919-CE13
CE25	GLOVEBX_20041122.0919-CE14
CE26	GLOVEBX_20041122.0919-CE15
CE27	GLOVEBX_20041122.0919-CE16
CE28	GLOVEBX_20041122.0919-CE17
CE29	GLOVEBX_20041122.0919-CE18
CE30	GLOVEBX_20041122.0919-CE19
CE31	GLOVEBX_20041122.0919-CE20
CE32	GLOVEBX_20041122.0919-CE21
CE33	GLOVEBX_20041122.0919-CE22
CE14	GLOVEBX_20041122.0919-CE23
CE34	GLOVEBX_20041122.0919-CE24
CE21	GLOVEBX_20041122.0919-CE25
CE35	GLOVEBX_20041122.0919-CE26
CE2	GLOVEBX_20041122.0919-CE27
CE3	GLOVEBX_20041122.0919-CE28
CE4	GLOVEBX_20041122.0919-CE29
CE5	GLOVEBX_20041122.0919-CE30
CE6	GLOVEBX_20041122.0919-CE31
CE7	GLOVEBX_20041122.0919-CE32
CE8	GLOVEBX_20041122.0919-CE33
CE9	GLOVEBX_20041122.0919-CE34
E11	GLOVEBX_20041122.0919-E1
E44	GLOVEBX_20041122.0919-E2
E12	GLOVEBX_20041122.0919-E3
E13	GLOVEBX_20041122.0919-E4
E14	GLOVEBX_20041122.0919-E5
E15	GLOVEBX_20041122.0919-E6
E45	GLOVEBX_20041122.0919-E7
E20	GLOVEBX_20041122.0919-E8
E21	GLOVEBX_20041122.0919-E9
E22	GLOVEBX_20041122.0919-E10
E23	GLOVEBX_20041122.0919-E11
E24	GLOVEBX_20041122.0919-E12
E25	GLOVEBX_20041122.0919-E13
E26	GLOVEBX_20041122.0919-E14
E27	GLOVEBX_20041122.0919-E15
E28	GLOVEBX_20041122.0919-E16
E47	GLOVEBX_20041122.0919-E17
E30	GLOVEBX_20041122.0919-E18
E31	GLOVEBX_20041122.0919-E19
E32	GLOVEBX_20041122.0919-E20
E33	GLOVEBX_20041122.0919-E21
E34	GLOVEBX_20041122.0919-E22
E35	GLOVEBX_20041122.0919-E23
E36	GLOVEBX_20041122.0919-E24
E37	GLOVEBX_20041122.0919-E25
E39	GLOVEBX_20041122.0919-E26
E43	GLOVEBX_20041122.0919-E27
E48	GLOVEBX_20041122.0919-E28
E2	GLOVEBX_20041122.0919-E29
E3	GLOVEBX_20041122.0919-E30
E4	GLOVEBX_20041122.0919-E31
E5	GLOVEBX_20041122.0919-E32
E6	GLOVEBX_20041122.0919-E33
E7	GLOVEBX_20041122.0919-E34
E8	GLOVEBX_20041122.0919-E35
E9	GLOVEBX_20041122.0919-E36
E10	GLOVEBX_20041122.0919-E37
EM112	GLOVEBX_20041122.0919-E29-1
EM42	GLOVEBX_20041122.0919-E1-2
EM20	GLOVEBX_20041122.0919-E1-3
EM21	GLOVEBX_20041122.0919-E29-4
EM22	GLOVEBX_20041122.0919-E1-5
EM23	GLOVEBX_20041122.0919-E1-6
