CE8	NJWSL_20050102.1510-CE1
CE9	NJWSL_20050102.1510-CE2
CE10	NJWSL_20050102.1510-CE3
CE11	NJWSL_20050102.1510-CE4
CE12	NJWSL_20050102.1510-CE5
CE13	NJWSL_20050102.1510-CE6
CE14	NJWSL_20050102.1510-CE7
CE15	NJWSL_20050102.1510-CE8
CE18	NJWSL_20050102.1510-CE9
CE19	NJWSL_20050102.1510-CE10
CE20	NJWSL_20050102.1510-CE11
CE21	NJWSL_20050102.1510-CE12
CE1	NJWSL_20050102.1510-CE13
CE16	NJWSL_20050102.1510-CE14
CE17	NJWSL_20050102.1510-CE15
CE2	NJWSL_20050102.1510-CE16
CE4	NJWSL_20050102.1510-CE17
CE5	NJWSL_20050102.1510-CE18
CE3	NJWSL_20050102.1510-CE19
CE6	NJWSL_20050102.1510-CE20
CE7	NJWSL_20050102.1510-CE21
E8	NJWSL_20050102.1510-E1
E9	NJWSL_20050102.1510-E2
E10	NJWSL_20050102.1510-E3
E11	NJWSL_20050102.1510-E4
E12	NJWSL_20050102.1510-E5
E13	NJWSL_20050102.1510-E6
E14	NJWSL_20050102.1510-E7
E15	NJWSL_20050102.1510-E8
E16	NJWSL_20050102.1510-E9
E17	NJWSL_20050102.1510-E10
E18	NJWSL_20050102.1510-E11
E19	NJWSL_20050102.1510-E12
E1	NJWSL_20050102.1510-E13
E20	NJWSL_20050102.1510-E14
E21	NJWSL_20050102.1510-E15
E22	NJWSL_20050102.1510-E16
E2	NJWSL_20050102.1510-E17
E3	NJWSL_20050102.1510-E18
E4	NJWSL_20050102.1510-E19
E5	NJWSL_20050102.1510-E20
E6	NJWSL_20050102.1510-E21
E7	NJWSL_20050102.1510-E22
EM1	NJWSL_20050102.1510-E13-1
EM23	NJWSL_20050102.1510-E1-2
EM24	NJWSL_20050102.1510-E13-3
EM25	NJWSL_20050102.1510-E2-4
EM26	NJWSL_20050102.1510-E2-5
EM27	NJWSL_20050102.1510-E19-6
EM28	NJWSL_20050102.1510-E3-7
EM29	NJWSL_20050102.1510-E4-8
EM30	NJWSL_20050102.1510-E5-9
EM31	NJWSL_20050102.1510-E13-10
EM32	NJWSL_20050102.1510-E6-11
EM33	NJWSL_20050102.1510-E6-12
EM34	NJWSL_20050102.1510-E4-13
EM35	NJWSL_20050102.1510-E3-14
EM36	NJWSL_20050102.1510-E7-15
EM37	NJWSL_20050102.1510-E6-16
EM38	NJWSL_20050102.1510-E8-17
EM39	NJWSL_20050102.1510-E17-18
EM40	NJWSL_20050102.1510-E20-19
EM41	NJWSL_20050102.1510-E19-20
EM43	NJWSL_20050102.1510-E8-21
EM44	NJWSL_20050102.1510-E13-22
EM45	NJWSL_20050102.1510-E6-23
EM47	NJWSL_20050102.1510-E6-24
EM48	NJWSL_20050102.1510-E6-25
EM49	NJWSL_20050102.1510-E19-26
EM50	NJWSL_20050102.1510-E8-27
EM51	NJWSL_20050102.1510-E6-28
EM52	NJWSL_20050102.1510-E6-29
EM54	NJWSL_20050102.1510-E17-30
EM55	NJWSL_20050102.1510-E17-31
EM56	NJWSL_20050102.1510-E13-32
EM57	NJWSL_20050102.1510-E6-33
EM58	NJWSL_20050102.1510-E4-34
EM59	NJWSL_20050102.1510-E9-35
EM60	NJWSL_20050102.1510-E10-36
EM61	NJWSL_20050102.1510-E13-37
EM62	NJWSL_20050102.1510-E13-38
EM63	NJWSL_20050102.1510-E21-39
EM64	NJWSL_20050102.1510-E11-40
EM65	NJWSL_20050102.1510-E5-41
EM66	NJWSL_20050102.1510-E12-42
EM67	NJWSL_20050102.1510-E5-43
EM68	NJWSL_20050102.1510-E18-44
EM69	NJWSL_20050102.1510-E18-45
EM70	NJWSL_20050102.1510-E18-46
EM71	NJWSL_20050102.1510-E13-47
EM53	NJWSL_20050102.1510-E15-48
EM2	NJWSL_20050102.1510-E17-49
EM46	NJWSL_20050102.1510-E16-50
EM4	NJWSL_20050102.1510-E18-51
EM5	NJWSL_20050102.1510-E17-52
EM7	NJWSL_20050102.1510-E18-53
EM8	NJWSL_20050102.1510-E17-54
EM42	NJWSL_20050102.1510-E14-55
EM10	NJWSL_20050102.1510-E18-56
EM11	NJWSL_20050102.1510-E19-57
EM12	NJWSL_20050102.1510-E13-58
EM3	NJWSL_20050102.1510-E20-59
EM6	NJWSL_20050102.1510-E20-60
EM9	NJWSL_20050102.1510-E20-61
EM13	NJWSL_20050102.1510-E21-62
EM14	NJWSL_20050102.1510-E17-63
EM15	NJWSL_20050102.1510-E21-64
EM16	NJWSL_20050102.1510-E22-65
EM17	NJWSL_20050102.1510-E18-66
EM18	NJWSL_20050102.1510-E17-67
EM19	NJWSL_20050102.1510-E20-68
EM20	NJWSL_20050102.1510-E19-69
EM21	NJWSL_20050102.1510-E13-70
EM22	NJWSL_20050102.1510-E13-71
R3	NJWSL_20050102.1510-R1
R4	NJWSL_20050102.1510-R2
R2	NJWSL_20050102.1510-R3
R5	NJWSL_20050102.1510-R4
R6	NJWSL_20050102.1510-R5
R8	NJWSL_20050102.1510-R6
R9	NJWSL_20050102.1510-R7
R7	NJWSL_20050102.1510-R8
R1	NJWSL_20050102.1510-R9
RM3	NJWSL_20050102.1510-R1-1
RM4	NJWSL_20050102.1510-R2-1
RM2	NJWSL_20050102.1510-R3-1
RM5	NJWSL_20050102.1510-R4-1
RM6	NJWSL_20050102.1510-R5-1
RM8	NJWSL_20050102.1510-R6-1
RM9	NJWSL_20050102.1510-R7-1
RM7	NJWSL_20050102.1510-R8-1
RM1	NJWSL_20050102.1510-R9-1
V1	NJWSL_20050102.1510-EV1
V2	NJWSL_20050102.1510-EV2
V3	NJWSL_20050102.1510-EV3
V4	NJWSL_20050102.1510-EV4
V5	NJWSL_20050102.1510-EV5
V6	NJWSL_20050102.1510-EV6
V7	NJWSL_20050102.1510-EV7
V8	NJWSL_20050102.1510-EV8
VM1	NJWSL_20050102.1510-EV1-1
VM2	NJWSL_20050102.1510-EV1-2
VM3	NJWSL_20050102.1510-EV1-3
VM4	NJWSL_20050102.1510-EV1-4
VM5	NJWSL_20050102.1510-EV1-5
VM6	NJWSL_20050102.1510-EV2-1
VM7	NJWSL_20050102.1510-EV3-1
VM8	NJWSL_20050102.1510-EV4-1
VM9	NJWSL_20050102.1510-EV5-1
VM10	NJWSL_20050102.1510-EV6-1
VM11	NJWSL_20050102.1510-EV1-6
VM12	NJWSL_20050102.1510-EV1-7
VM13	NJWSL_20050102.1510-EV7-1
VM14	NJWSL_20050102.1510-EV1-8
VM15	NJWSL_20050102.1510-EV1-9
VM16	NJWSL_20050102.1510-EV8-1
Q1	NJWSL_20050102.1510-T1
Q2	NJWSL_20050102.1510-T2
Q3	NJWSL_20050102.1510-T3
Q4	NJWSL_20050102.1510-T4
Q5	NJWSL_20050102.1510-T5
Q6	NJWSL_20050102.1510-T6
Q7	NJWSL_20050102.1510-T7
Q8	NJWSL_20050102.1510-T8
Q9	NJWSL_20050102.1510-T9
Q10	NJWSL_20050102.1510-T10
Q11	NJWSL_20050102.1510-T11
Q12	NJWSL_20050102.1510-T12
Q13	NJWSL_20050102.1510-T13
Q14	NJWSL_20050102.1510-T14
Q15	NJWSL_20050102.1510-T15
Q16	NJWSL_20050102.1510-T16
Q17	NJWSL_20050102.1510-T17
