CE9	DAVYZW_20041227.1141-CE1
CE10	DAVYZW_20041227.1141-CE2
CE8	DAVYZW_20041227.1141-CE3
CE13	DAVYZW_20041227.1141-CE4
CE14	DAVYZW_20041227.1141-CE5
CE16	DAVYZW_20041227.1141-CE6
CE17	DAVYZW_20041227.1141-CE7
CE18	DAVYZW_20041227.1141-CE8
CE19	DAVYZW_20041227.1141-CE9
CE21	DAVYZW_20041227.1141-CE10
CE20	DAVYZW_20041227.1141-CE11
CE15	DAVYZW_20041227.1141-CE12
CE22	DAVYZW_20041227.1141-CE13
CE12	DAVYZW_20041227.1141-CE14
CE1	DAVYZW_20041227.1141-CE15
CE11	DAVYZW_20041227.1141-CE16
CE3	DAVYZW_20041227.1141-CE17
CE2	DAVYZW_20041227.1141-CE18
CE4	DAVYZW_20041227.1141-CE19
CE5	DAVYZW_20041227.1141-CE20
CE6	DAVYZW_20041227.1141-CE21
CE7	DAVYZW_20041227.1141-CE22
E9	DAVYZW_20041227.1141-E1
E10	DAVYZW_20041227.1141-E2
E12	DAVYZW_20041227.1141-E3
E13	DAVYZW_20041227.1141-E4
E14	DAVYZW_20041227.1141-E5
E15	DAVYZW_20041227.1141-E6
E16	DAVYZW_20041227.1141-E7
E17	DAVYZW_20041227.1141-E8
E18	DAVYZW_20041227.1141-E9
E19	DAVYZW_20041227.1141-E10
E20	DAVYZW_20041227.1141-E11
E21	DAVYZW_20041227.1141-E12
E22	DAVYZW_20041227.1141-E13
E1	DAVYZW_20041227.1141-E14
E23	DAVYZW_20041227.1141-E15
E24	DAVYZW_20041227.1141-E16
E28	DAVYZW_20041227.1141-E17
E29	DAVYZW_20041227.1141-E18
E2	DAVYZW_20041227.1141-E19
E3	DAVYZW_20041227.1141-E20
E4	DAVYZW_20041227.1141-E21
E5	DAVYZW_20041227.1141-E22
E7	DAVYZW_20041227.1141-E23
E8	DAVYZW_20041227.1141-E24
EM1	DAVYZW_20041227.1141-E14-1
EM25	DAVYZW_20041227.1141-E1-2
EM26	DAVYZW_20041227.1141-E2-3
EM29	DAVYZW_20041227.1141-E21-4
EM32	DAVYZW_20041227.1141-E17-5
EM33	DAVYZW_20041227.1141-E17-6
EM34	DAVYZW_20041227.1141-E17-7
EM35	DAVYZW_20041227.1141-E19-8
EM36	DAVYZW_20041227.1141-E2-9
