CE12	LIUYIFENG_20050128.0838-CE1
CE13	LIUYIFENG_20050128.0838-CE2
CE15	LIUYIFENG_20050128.0838-CE3
CE16	LIUYIFENG_20050128.0838-CE4
CE17	LIUYIFENG_20050128.0838-CE5
CE18	LIUYIFENG_20050128.0838-CE6
CE19	LIUYIFENG_20050128.0838-CE7
CE20	LIUYIFENG_20050128.0838-CE8
CE14	LIUYIFENG_20050128.0838-CE9
CE1	LIUYIFENG_20050128.0838-CE10
CE2	LIUYIFENG_20050128.0838-CE11
CE4	LIUYIFENG_20050128.0838-CE12
CE3	LIUYIFENG_20050128.0838-CE13
CE5	LIUYIFENG_20050128.0838-CE14
CE6	LIUYIFENG_20050128.0838-CE15
CE7	LIUYIFENG_20050128.0838-CE16
CE9	LIUYIFENG_20050128.0838-CE17
CE8	LIUYIFENG_20050128.0838-CE18
CE10	LIUYIFENG_20050128.0838-CE19
CE11	LIUYIFENG_20050128.0838-CE20
E12	LIUYIFENG_20050128.0838-E1
E13	LIUYIFENG_20050128.0838-E2
E14	LIUYIFENG_20050128.0838-E3
E15	LIUYIFENG_20050128.0838-E4
E16	LIUYIFENG_20050128.0838-E5
E17	LIUYIFENG_20050128.0838-E6
E19	LIUYIFENG_20050128.0838-E7
E20	LIUYIFENG_20050128.0838-E8
E1	LIUYIFENG_20050128.0838-E9
E25	LIUYIFENG_20050128.0838-E10
E2	LIUYIFENG_20050128.0838-E11
E3	LIUYIFENG_20050128.0838-E12
E4	LIUYIFENG_20050128.0838-E13
E5	LIUYIFENG_20050128.0838-E14
E6	LIUYIFENG_20050128.0838-E15
E7	LIUYIFENG_20050128.0838-E16
E8	LIUYIFENG_20050128.0838-E17
E9	LIUYIFENG_20050128.0838-E18
E10	LIUYIFENG_20050128.0838-E19
E11	LIUYIFENG_20050128.0838-E20
EM1	LIUYIFENG_20050128.0838-E9-1
EM20	LIUYIFENG_20050128.0838-E15-2
EM21	LIUYIFENG_20050128.0838-E11-3
EM23	LIUYIFENG_20050128.0838-E14-4
EM24	LIUYIFENG_20050128.0838-E15-5
EM25	LIUYIFENG_20050128.0838-E1-6
EM26	LIUYIFENG_20050128.0838-E1-7
EM27	LIUYIFENG_20050128.0838-E14-8
EM29	LIUYIFENG_20050128.0838-E2-9
EM31	LIUYIFENG_20050128.0838-E2-10
EM33	LIUYIFENG_20050128.0838-E3-11
EM34	LIUYIFENG_20050128.0838-E20-12
EM35	LIUYIFENG_20050128.0838-E11-13
EM36	LIUYIFENG_20050128.0838-E11-14
EM37	LIUYIFENG_20050128.0838-E20-15
EM38	LIUYIFENG_20050128.0838-E4-16
EM39	LIUYIFENG_20050128.0838-E5-17
EM40	LIUYIFENG_20050128.0838-E6-18
EM41	LIUYIFENG_20050128.0838-E17-19
EM42	LIUYIFENG_20050128.0838-E7-20
EM43	LIUYIFENG_20050128.0838-E8-21
EM22	LIUYIFENG_20050128.0838-E14-22
EM28	LIUYIFENG_20050128.0838-E15-23
EM30	LIUYIFENG_20050128.0838-E10-24
EM32	LIUYIFENG_20050128.0838-E10-25
EM2	LIUYIFENG_20050128.0838-E11-26
EM3	LIUYIFENG_20050128.0838-E12-27
EM4	LIUYIFENG_20050128.0838-E13-28
EM5	LIUYIFENG_20050128.0838-E14-29
EM6	LIUYIFENG_20050128.0838-E15-30
EM7	LIUYIFENG_20050128.0838-E16-31
EM9	LIUYIFENG_20050128.0838-E17-32
EM8	LIUYIFENG_20050128.0838-E18-33
EM10	LIUYIFENG_20050128.0838-E15-34
EM11	LIUYIFENG_20050128.0838-E19-35
EM12	LIUYIFENG_20050128.0838-E19-36
EM13	LIUYIFENG_20050128.0838-E12-37
EM14	LIUYIFENG_20050128.0838-E20-38
EM15	LIUYIFENG_20050128.0838-E12-39
EM16	LIUYIFENG_20050128.0838-E16-40
EM17	LIUYIFENG_20050128.0838-E11-41
EM18	LIUYIFENG_20050128.0838-E14-42
EM19	LIUYIFENG_20050128.0838-E11-43
R1	LIUYIFENG_20050128.0838-R1
R2	LIUYIFENG_20050128.0838-R2
R3	LIUYIFENG_20050128.0838-R3
R6	LIUYIFENG_20050128.0838-R4
